,2020-09-26,2020-06-27,2020-03-28,2019-12-28
Research Development,4978000000.0,4758000000.0,4565000000.0,4451000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,14901000000.0,13137000000.0,13135000000.0,25918000000.0
Minority Interest,,,,
Net Income,12673000000.0,11253000000.0,11249000000.0,22236000000.0
Selling General Administrative,4936000000.0,4831000000.0,4952000000.0,5197000000.0
Gross Profit,24689000000.0,22680000000.0,22370000000.0,35217000000.0
Ebit,14775000000.0,13091000000.0,12853000000.0,25569000000.0
Operating Income,14775000000.0,13091000000.0,12853000000.0,25569000000.0
Other Operating Expenses,,,,
Interest Expense,-634000000.0,-697000000.0,-757000000.0,-785000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2228000000.0,1884000000.0,1886000000.0,3682000000.0
Total Revenue,64698000000.0,59685000000.0,58313000000.0,91819000000.0
Total Operating Expenses,49923000000.0,46594000000.0,45460000000.0,66250000000.0
Cost Of Revenue,40009000000.0,37005000000.0,35943000000.0,56602000000.0
Total Other Income Expense Net,126000000.0,46000000.0,282000000.0,349000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,12673000000.0,11253000000.0,11249000000.0,22236000000.0
Net Income Applicable To Common Shares,12673000000.0,11253000000.0,11249000000.0,22236000000.0
