Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
ACU,1,0,-136.64,0,-53.48,0,-107.14,0,-27.94,-1.83,0.0,19.77,2.0
ACU,2,1,85.1,1,11.46,1,311.21,1,8.12,16.27,1.0,157.45,1.0
ACY,1,0,-129.24,2,911.07,0,-135.41,2,470.25,-79.8,0.0,-55.5,0.0
ACY,2,0,-225.24,0,-112.2,0,-457.59,0,-131.79,-0.98,0.0,-137.81,0.0
AE,1,0,-86.66,2,522.92,2,232.22,0,-89.23,-21.8,0.0,-75.94,0.0
AE,2,1,176.87,0,-49.22,0,-215.35,1,60.03,-78.37,0.0,722.29,1.0
AGE,1,2,107.43,2,365.45,2,124.63,2,4271.93,-106.07,0.0,,
AGE,2,0,-1014.96,0,-78.38,0,-216.8,0,-96.38,-3.3,0.0,,
AIM,1,0,-693.65,0,-48.7,0,-9.99,0,-286.08,-92.57,0.0,-210.74,0.0
AIM,2,0,-86.85,0,-15.54,0,-11.1,0,-104.27,1235.77,1.0,-60.31,0.0
AINC,1,2,254.24,0,-96.1,2,146.13,0,-75.59,-22.44,0.0,-595.1,0.0
AINC,2,0,-142.67,1,1519.34,0,-142.22,1,1521.48,-99.27,0.0,-71.6,0.0
AIRI,1,2,336.2,2,471.55,2,265.19,2,310.55,-10.0,0.0,-2.86,0.0
AIRI,2,0,-363.67,0,-15.2,0,-4285.23,0,-278.45,-0.0,0.0,-334.1,0.0
AMBO,1,0,-121.1,0,-72.67,0,-138.09,0,-50.03,-426.9,0.0,-2656.53,0.0
AMBO,2,1,633.73,0,-62.21,1,250.67,1,154.91,-85.64,0.0,-104.66,0.0
AMS,1,2,199.33,2,103.1,2,234.68,2,458.02,-46.67,0.0,-27.21,0.0
AMS,2,0,-2169.44,0,-594.16,0,-177.58,0,-82.31,-253.55,0.0,-151.51,0.0
APT,1,0,-57.85,0,-381.76,0,-56.13,0,-98.47,-15.7,0.0,-125.97,0.0
APT,2,0,-61.29,0,-46.38,0,-38.93,1,226.61,-45.03,0.0,944.87,1.0
AUMN,1,2,243.49,0,-1683.67,2,3119.23,0,-9.54,-19.98,0.0,-200.0,0.0
AUMN,2,1,181.0,0,-88.66,1,106.44,1,72.75,-16.65,0.0,-27.78,0.0
AWX,1,2,3221.55,0,-125.2,2,393.43,0,-13.91,-70.43,0.0,-78.18,0.0
AWX,2,1,110.82,1,256.78,0,-44.66,1,227.42,-224.67,0.0,-8.33,0.0
BATL,1,2,271.59,0,-73.17,2,289.19,0,-97.88,,,,
BATL,2,0,-276.42,0,-875.48,0,-119.91,0,-298.41,,,,
BDL,1,2,214.43,0,-1616.48,2,190.51,0,-212.55,-33.45,0.0,-6770.3,0.0
BDL,2,0,-2821.43,0,-109.17,0,-700.0,0,-61.94,-326.62,0.0,-104.7,0.0
BDR,1,0,-132.83,0,-923.32,2,263.96,0,-26.88,-28.69,0.0,-76.67,0.0
BDR,2,0,-15.67,0,-183.55,0,-72.57,0,-296.23,-99.6,0.0,-190.91,0.0
BHB,1,2,29633.33,2,3800.0,2,29633.33,2,3800.0,35.34,2.0,-227.88,0.0
BHB,2,0,-98.37,1,128.57,0,-98.37,1,128.57,422.22,1.0,475.99,1.0
BRG,1,0,-8.25,0,-83.25,2,163.58,0,-72.2,-4835.04,0.0,-2876.19,0.0
BRG,2,0,-290.57,1,115.4,0,-176.37,1,3.63,650.21,1.0,-98.26,0.0
BRN,1,2,269.23,2,659.14,2,282.15,2,79.72,-79.49,0.0,-89.91,0.0
BRN,2,0,-97.11,0,-28.78,0,-135.99,1,202.85,-253.59,0.0,-145.72,0.0
BTG,1,0,-42.12,0,-88.69,0,-36.89,0,-84.67,111.3,2.0,2124.9,2.0
BTG,2,0,-43.61,1,646.37,0,-23.72,1,1089.74,75.78,1.0,-233.34,0.0
CANF,1,2,13.2,0,-112.19,2,13.2,0,-112.19,-99.62,0.0,-235.14,0.0
CANF,2,0,-2.88,1,1.58,0,-2.88,1,1.58,-1166.67,0.0,-56.13,0.0
CBOE,1,0,-90.37,0,-129.55,0,-52.71,0,-140.69,-73.71,0.0,-687.89,0.0
CBOE,2,0,-161.59,0,-70.67,0,-110.62,0,-88.85,-62.57,0.0,-96.96,0.0
CCF,1,2,530.1,0,-80.02,2,443.62,0,-618.0,419.2,2.0,115.59,2.0
CCF,2,0,-379.44,0,-354.23,0,-37.96,0,-107.99,-182.4,0.0,-993.33,0.0
CDOR,1,2,694.75,0,-114.97,2,231.2,0,-133.58,-62.34,0.0,-257.14,0.0
CDOR,2,0,-424.08,1,8.03,0,-1395.32,1,58.94,-2.29,0.0,166.7,1.0
CEI,1,2,161.07,0,-45.51,2,213.61,0,-42.46,-99.94,0.0,-202.03,0.0
CEI,2,0,-85.14,0,-1963.21,0,-1020.94,0,-304.32,3839.94,1.0,207.19,1.0
CIX,1,0,-98.23,0,-81.72,2,173.8,0,-7.61,-12.57,0.0,-69.58,0.0
CIX,2,0,-273.95,1,1120.62,0,-391.37,1,93.01,-1183.23,0.0,-38.76,0.0
CKX,1,0,-297.76,0,-624.41,0,-420.87,0,-832.88,-100.0,0.0,-169.47,0.0
CKX,2,1,140.28,0,-86.5,1,130.32,0,-86.55,691.09,1.0,-44.45,0.0
CMCL,1,2,333.91,2,359.2,2,466.32,2,652.31,-71.2,0.0,1783.93,2.0
CMCL,2,0,-427.55,0,-228.07,0,-509.86,0,-116.01,-880.51,0.0,70.65,1.0
CMT,1,2,474.23,0,-303.73,2,242.54,0,-91.77,319.36,2.0,-12.9,0.0
CMT,2,0,-133.44,1,186.8,0,-390.84,1,983.31,-11.41,0.0,-577.33,0.0
COHN,1,0,-113.92,2,279.04,0,-113.92,2,279.04,-208.08,0.0,-93.4,0.0
COHN,2,1,303.02,0,-90.69,1,303.02,0,-90.69,-66.42,0.0,-1630.2,0.0
CPHI,1,0,-119.52,0,-24.75,0,-131.93,0,-71.06,-100.0,0.0,-113.06,0.0
CPHI,2,1,1597.99,0,-14.16,1,369.98,0,-55.97,-96.15,0.0,-60.57,0.0
CQP,1,0,-2729.58,0,-86.5,0,-129.92,0,-87.0,-198.08,0.0,-101.56,0.0
CQP,2,1,1100.0,0,-73.13,0,-44.98,0,-83.07,229.22,1.0,123.01,1.0
CRHM,1,2,106.96,0,-308.42,2,364.66,0,-63.76,-83.33,0.0,-73.33,0.0
CRHM,2,0,-1790.67,0,-94.02,0,-188.2,0,-12.09,-400.0,0.0,-537.37,0.0
CRMD,1,2,622.15,0,-340.35,2,698.6,0,-211.73,-866.99,0.0,-61.32,0.0
CRMD,2,0,-150.42,0,-133.79,0,-139.12,0,-35.02,-998.21,0.0,-545.9,0.0
CTEK,1,2,210.94,0,-64.7,0,-89.0,2,100.36,-93.41,0.0,42.54,2.0
CTEK,2,0,-0.21,0,-173.48,0,-3.45,0,-469.74,-80.06,0.0,543.09,1.0
CTO,1,0,-181.42,0,-44.25,2,803.01,0,-77.31,-209.09,0.0,2484.45,2.0
CTO,2,0,-81.88,1,145.04,0,-99.89,1,131.35,117.92,1.0,-106.25,0.0
CVM,1,0,-352.12,0,-147.42,0,-148.1,2,814.83,-100.0,0.0,-75.03,0.0
CVM,2,0,-582.61,0,-49.12,0,-104.64,0,-100.49,-222.55,0.0,-2867.94,0.0
CVR,1,2,2465.08,0,-27240.0,2,288.29,0,-393.65,-100.0,0.0,-1861.02,0.0
CVR,2,0,-296.9,0,-99.2,0,-945.76,1,215.88,-665.59,0.0,-68.71,0.0
CVU,1,0,-76.97,2,250.99,2,72.87,2,281.53,-835.68,0.0,-76.47,0.0
CVU,2,1,142.45,0,-123.34,0,-41.1,0,-22283.33,-91.21,0.0,-187.56,0.0
DIT,1,0,-133.03,0,-52.06,0,-151.64,2,44.55,-58.19,0.0,3649.59,2.0
DIT,2,1,188.34,1,48.95,0,-50.23,1,35.86,98.09,1.0,-109.21,0.0
DLA,1,2,361.41,0,-163.87,2,343.04,0,-228.03,-94.14,0.0,-141.96,0.0
DLA,2,0,-872.25,1,137.27,0,-3315.0,1,240.89,-5354.41,0.0,736.06,1.0
DPW,1,0,-111.61,0,-255.27,2,239.18,0,-101.42,-17.12,0.0,-148.23,0.0
DPW,2,1,129.86,0,-5.94,0,-82.12,1,391.58,-89.32,0.0,-91.77,0.0
DSS,1,2,165.48,2,116.83,2,188.81,2,711.39,-202.3,0.0,-168.38,0.0
DSS,2,0,-32.77,0,-157.97,0,-32.97,0,-70.63,-86.94,0.0,858.28,1.0
ELLO,1,0,-91.16,0,-229.79,0,-6.34,0,-85.36,-181.61,0.0,786.04,2.0
ELLO,2,1,198.65,0,-51.58,1,137.25,1,90.71,432.64,1.0,111.04,1.0
ELMD,1,2,165.68,0,-40.5,2,176.72,0,-64.62,-688.48,0.0,996.11,2.0
ELMD,2,0,-1139.02,1,62.91,0,-1028.26,1,11.73,-68.91,0.0,149.51,1.0
EMX,1,0,-301.64,0,-86.03,0,-121.76,2,84.49,-49.99,0.0,-112.94,0.0
