Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
LIN,1,0,-3.51,0,-15.19
LIN,2,2,10.03,0,-2.33
LIN,3,0,-4.22,1,6.92
SHW,1,4,17.41,4,22.26
SHW,2,2,70.88,2,7.88
SHW,3,0,-2.52,1,13.67
APD,1,4,9.07,4,4.33
APD,2,0,-4.22,2,3.23
APD,3,0,-2.07,1,17.83
ECL,1,4,67.91,4,7.08
ECL,2,0,-33.55,2,18.56
ECL,3,0,-35.09,1,7.47
DD,1,4,113.39,0,-28.26
DD,2,0,-10682.18,2,51090.38
DD,3,0,-102.92,0,-99.98
NEM,1,4,48.56,4,135.07
NEM,2,0,-21.48,0,-42.14
NEM,3,1,10.22,1,50.59
DOW,1,4,317.74,0,-72.7
DOW,2,0,-155.8,2,424.05
DOW,3,1,185.21,0,-89.47
FCX,1,4,132.36,0,-121.31
FCX,2,2,136.12,2,79.12
FCX,3,0,-79.94,1,176.88
PPG,1,4,98.08,4,3.17
PPG,2,0,-16.8,0,-6.59
PPG,3,0,-6.23,1,8.21
CTVA.N,1,0,-139.85,4,111.12
CTVA.N,2,2,159.06,0,-187.57
CTVA.N,3,1,1544.5,1,290.87
LYB,1,4,49.18,0,-20.27
LYB,2,0,-38.36,2,18.23
LYB,3,0,-31.3,1,11.59
VMC,1,0,-3.05,4,14.11
VMC,2,2,247.46,2,77.74
VMC,3,0,-51.64,0,-25.08
NUE,1,0,-33.39,0,-44.15
NUE,2,2,42.97,2,117.14
NUE,3,1,31.56,1,43.08
MLM,1,4,34.98,4,28.23
MLM,2,2,734.73,2,4.6
MLM,3,0,-80.0,1,9.29
CE,1,4,67.12,0,-6.24
CE,2,0,-42.94,2,22.43
CE,3,1,115.17,1,16.5
FMC,1,0,-32.81,0,-14.26
FMC,2,0,-4.6,2,120.49
FMC,3,1,259.78,1,97.36
ALB,1,4,9.1,4,4.06
ALB,2,0,-12.07,2,14.67
ALB,3,0,-10.2,1,34.32
EMN,1,4,74.96,0,-11.21
EMN,2,0,-55.85,2,12.74
EMN,3,1,62.29,1,1.76
IFF,1,0,-54.06,4,6.3
IFF,2,2,71.8,0,-19.52
IFF,3,1,24.28,1,14.91
MOS,1,0,-60.99,0,-103.54
MOS,2,2,134.34,2,51.11
MOS,3,0,-7.44,1,20.29
CF,1,0,-111.83,4,55.47
CF,2,2,211.67,2,413.54
CF,3,0,-6.43,0,-5300.84
