Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
FB.OQ,1,4,50.9,4,2.01
FB.OQ,2,2,5.23,2,22.9
FB.OQ,3,0,-22.69,1,76.33
GOOGL.OQ,1,4,61.89,4,2.43
GOOGL.OQ,2,2,2.58,2,42.29
GOOGL.OQ,3,0,-35.67,1,26.18
GOOG.O,1,4,61.89,4,2.43
GOOG.O,2,2,2.58,2,42.29
GOOG.O,3,0,-35.67,1,26.18
DIS,1,0,-68.41,0,-56.95
DIS,2,0,-151.08,0,-27.92
DIS,3,1,25.23,1,21.78
VZ,1,4,6.01,4,11.09
VZ,2,0,-5.66,2,34.29
VZ,3,0,-21.8,0,-1.24
NFLX.OQ,1,4,21.09,4,46.94
NFLX.OQ,2,0,-5.1,2,83.49
NFLX.OQ,3,1,96.12,1,235.54
CMCSA.OQ,1,0,-32.77,4,15.25
CMCSA.OQ,2,2,39.35,2,20.7
CMCSA.OQ,3,0,-31.89,1,15.44
T,1,0,-12.32,0,-22.87
T,2,0,-21.08,2,46.41
T,3,1,2.67,0,-12.32
CHTR.OQ,1,4,10.74,4,29.58
CHTR.OQ,2,2,88.11,2,61.96
CHTR.OQ,3,0,-42.33,0,-80.11
TMUS.OQ,1,4,81.38,4,35.45
TMUS.OQ,2,0,-51.06,2,39.02
TMUS.OQ,3,1,35.04,1,128.84
ATVI.OQ,1,4,8.59,4,3.85
ATVI.OQ,2,2,11.26,2,75.5
ATVI.OQ,3,0,-2.2,0,-16.71
TWTR.N,1,4,102.05,4,19.75
TWTR.N,2,0,-42749.69,2,305.27
TWTR.N,3,0,-102.72,1,169.08
EA.OQ,1,0,-48.97,4,205.72
EA.OQ,2,0,-11.75,0,-17.65
EA.OQ,3,1,20.99,1,31.38
TTWO.OQ,1,4,12.0,4,23.39
TTWO.OQ,2,0,-27.94,2,59.09
TTWO.OQ,3,0,-25.31,1,99.19
VIAC.O,1,0,-2.95,0,-6.67
VIAC.O,2,2,1.27,2,15.73
VIAC.O,3,0,-48.51,1,35.9
OMC,1,4,99.44,4,13.11
OMC,2,0,-37.27,2,5.07
OMC,3,0,-38.73,1,6.83
LYV,1,0,-8.29,4,220.21
LYV,2,0,-191.96,0,-94.33
LYV,3,0,-5.92,0,-268.14
LUMN.N,1,0,-5.29,0,-328.64
LUMN.N,2,2,2.85,2,58.29
LUMN.N,3,0,-1.13,0,-82.56
FOXA.OQ,1,4,126.7,0,-16.77
FOXA.OQ,2,2,371.48,2,11.91
FOXA.OQ,3,0,-66.25,1,2.97
IPG,1,4,670.94,4,5.32
IPG,2,2,105.43,2,20.85
IPG,3,0,-94.27,0,-7.92
DISCK.O,1,0,-4.5,4,67.97
DISCK.O,2,0,-7.73,2,5.07
DISCK.O,3,0,-21.55,1,34.04
DISH.OQ,1,4,11.44,0,-12.62
DISH.OQ,2,2,41.8,2,31.54
DISH.OQ,3,0,-21.91,0,-28.49
NWSA.OQ,1,4,432.61,0,-133.5
NWSA.OQ,2,0,-53.18,2,125.03
NWSA.OQ,3,0,-111.3,0,-418.88
DISCA.OQ,1,0,-4.5,4,67.97
DISCA.OQ,2,0,-7.73,2,5.07
DISCA.OQ,3,0,-21.55,1,34.04
FOX.TA,1,0,-38.34,4,118.98
FOX.TA,2,2,371.99,0,-20.85
FOX.TA,3,0,-141.48,1,168.77
NWS.O,1,4,432.61,0,-133.5
NWS.O,2,0,-53.18,2,125.03
NWS.O,3,0,-111.3,0,-418.88
