Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
FB,1,4,16.27,4,24.62,4,14.89,4,26.61,4,50.9,4,2.01
FB,2,2,4.06,2,32.06,2,5.36,2,37.35,2,5.23,2,22.9
FB,3,0,-18.83,1,47.59,0,-15.87,1,47.09,0,-22.69,1,76.33
GOOGL,1,4,26.9,4,16.42,4,20.57,4,18.3,4,61.89,4,2.43
GOOGL,2,0,-10.97,2,18.38,0,-6.95,2,23.42,2,2.58,2,42.29
GOOGL,3,0,-11.49,1,18.39,0,-10.67,1,22.8,0,-35.67,1,26.18
GOOG,1,4,26.9,4,16.42,4,20.57,4,18.3,4,61.89,4,2.43
GOOG,2,0,-10.97,2,18.38,0,-6.95,2,23.42,2,2.58,2,42.29
GOOG,3,0,-11.49,1,18.39,0,-10.67,1,22.8,0,-35.67,1,26.18
DIS,1,0,-4.87,0,-21.92,4,24.86,0,-6.06,0,-68.41,0,-56.95
DIS,2,0,-36.23,2,3.14,0,-34.72,2,17.12,0,-151.08,0,-27.92
DIS,3,0,-22.35,1,7.56,0,-13.49,1,7.79,1,25.23,1,21.78
VZ,1,4,2.73,4,1.96,4,3.6,4,0.77,4,6.01,4,11.09
VZ,2,0,-3.19,2,3.68,0,-3.68,2,3.83,0,-5.66,2,34.29
VZ,3,1,0.89,0,-0.42,0,-9.1,1,0.04,0,-21.8,0,-1.24
NFLX,1,4,2.53,4,32.43,4,4.67,4,27.62,4,21.09,4,46.94
NFLX,2,2,15.53,2,59.21,2,6.6,2,35.08,0,-5.1,2,83.49
NFLX,3,1,8.32,1,42.22,1,5.49,1,32.41,1,96.12,1,235.54
CMCSA,1,4,0.41,4,14.95,4,7.66,4,15.27,0,-32.77,4,15.25
CMCSA,2,0,-7.7,2,8.62,0,-10.88,2,11.15,2,39.35,2,20.7
CMCSA,3,0,-4.14,1,5.83,0,-6.3,1,5.32,0,-31.89,1,15.44
