Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
AMZN.OQ,1,4,10.13,4,15.93
AMZN.OQ,2,2,237.66,2,335.7
AMZN.OQ,3,0,-22.58,0,-7.08
HD,1,0,-21.24,4,4.37
HD,2,2,62.64,2,32.76
HD,3,1,17.52,1,14.7
NKE,1,0,-18.42,0,-26.93
NKE,2,2,288.4,2,4.14
NKE,3,0,-165.35,0,-4.61
MCD,1,4,191.9,4,4.71
MCD,2,0,-50.46,2,18.02
MCD,3,0,-23.62,1,15.41
LOW,1,0,-46.25,4,46.49
LOW,2,2,111.59,0,-15.05
LOW,3,1,731.39,1,28.41
SBUX.OQ,1,4,189.32,0,-58.16
SBUX.OQ,2,0,-293.45,2,9.75
SBUX.OQ,3,0,-62.87,1,16.7
BKNG.OQ,1,4,877.88,4,35.38
BKNG.OQ,2,2,144.97,2,9.53
BKNG.OQ,3,0,-127.58,1,28.6
TJX,1,4,499.38,4,8.85
TJX,2,0,-75.88,2,22.53
TJX,3,0,-191.74,1,13.14
GM,1,4,1239.15,0,-24.53
GM,2,0,-67.84,2,24.33
GM,3,1,201.83,0,-11.21
ROST.OQ,1,4,494.69,4,7.96
ROST.OQ,2,2,107.17,2,27.63
ROST.OQ,3,0,-168.03,1,17.94
CMG,1,4,635.68,4,62.49
CMG,2,0,-85.84,2,26.85
CMG,3,1,5.84,1,419.47
F,1,4,2041.6,4,63.88
F,2,2,128.75,0,-23.2
F,3,0,-113.39,1,6049.28
EBAY.OQ,1,0,-47.35,4,10.57
EBAY.OQ,2,2,138.03,2,14.65
EBAY.OQ,3,1,3.86,0,-71.46
MAR.OQ,1,4,238.86,0,-26.61
MAR.OQ,2,0,-336.38,0,-1.23
MAR.OQ,3,0,-61.9,1,58.68
APTV.N,1,4,187.06,0,-14.16
APTV.N,2,0,-297.6,2,6.29
APTV.N,3,0,-31.88,0,-5.74
ORLY.OQ,1,0,-0.5,4,11.2
ORLY.OQ,2,2,78.93,2,33.17
ORLY.OQ,3,0,-6.52,1,12.55
YUM,1,4,26.52,4,53.57
YUM,2,2,6.02,2,110.65
YUM,3,0,-42.99,0,-45.1
BLL,1,4,35.21,4,22.51
BLL,2,2,47.98,2,4.17
BLL,3,0,-44.01,1,63.62
HLT.N,1,0,-81.51,4,17.61
HLT.N,2,0,-540.34,2,59.29
HLT.N,3,0,-52.31,1,1477.37
VFC,1,4,202.76,0,-4.82
VFC,2,0,-2.19,2,727.86
VFC,3,0,-151.52,0,-82.15
AZO,1,0,-40.52,4,18.34
AZO,2,2,85.98,2,50.88
AZO,3,1,35.78,0,-5.13
DHI,1,4,30.59,4,47.83
DHI,2,2,36.6,2,2.61
DHI,3,1,15.38,1,48.86
BBY,1,4,7.95,4,7.98
BBY,2,2,168.7,2,29.43
BBY,3,0,-78.17,1,18.38
ETSY.OQ,1,4,3.8,4,17.29
ETSY.OQ,2,2,583.65,2,24.92
ETSY.OQ,3,0,-53.03,1,296.76
LEN,1,4,36.04,0,-3.12
LEN,2,2,22.93,2,60.89
LEN,3,0,-40.06,0,-4.23
IP,1,0,-3.64,0,-14.23
IP,2,0,-5.83,2,40.69
IP,3,1,30.52,1,31.38
LVS,1,0,-35.44,0,-11.55
LVS,2,0,-36326.33,2,16.47
LVS,3,0,-99.67,1,31.87
AMCR.N,1,0,-1.47,0,-5.91
AMCR.N,2,2,13.05,0,-10.21
AMCR.N,3,0,-2.74,0,-9.89
TSCO.OQ,1,0,-46.33,4,8.02
TSCO.OQ,2,2,329.33,2,29.3
TSCO.OQ,3,0,-37.15,1,2.08
EXPE.OQ,1,0,-81.84,4,34.02
EXPE.OQ,2,0,-4.0,2,18.31
EXPE.OQ,3,0,-880.37,1,4.29
KMX,1,0,-20.76,4,11.19
KMX,2,2,1480.74,2,30.7
KMX,3,0,-110.01,1,12.35
DRI,1,4,158.6,0,-58.45
DRI,2,2,115.61,2,39.91
DRI,3,0,-196.04,1,10.96
ULTA.OQ,1,4,128.6,4,11.03
ULTA.OQ,2,2,161.34,2,14.27
ULTA.OQ,3,0,-129.97,1,46.89
DPZ,1,0,-16.06,4,16.16
DPZ,2,0,-2.66,2,40.59
DPZ,3,0,-1.68,1,36.49
NVR,1,4,53.21,4,13.58
NVR,2,0,-5.48,2,37.53
NVR,3,0,-30.31,1,36.61
POOL.OQ,1,0,-24.64,4,13.82
POOL.OQ,2,2,311.54,2,32.89
POOL.OQ,3,1,114.04,1,22.12
GPC,1,4,3339.96,4,5.64
GPC,2,0,-105.51,2,18.6
GPC,3,0,-19.65,0,-1.45
TIF,1,4,273.04,0,-3.67
TIF,2,2,149.18,2,11.93
TIF,3,0,-132.45,1,15.74
RCL,1,0,-11.47,4,2.04
RCL,2,0,-308.7,2,17.78
RCL,3,0,-223.5,1,26.66
PKG,1,4,43.85,0,-6.22
PKG,2,0,-27.77,2,37.13
PKG,3,1,3.26,1,20.29
MGM,1,0,-30.53,0,-42.74
MGM,2,0,-751.83,0,-11.57
MGM,3,0,-132.8,0,-35.59
FBHS.N,1,4,24.7,4,7.55
FBHS.N,2,2,11.6,2,5.51
FBHS.N,3,1,0.39,1,12.09
PHM,1,0,-26.89,4,3.08
PHM,2,2,157.53,2,76.91
PHM,3,0,-33.99,1,12.66
WHR,1,4,318.94,4,144.47
WHR,2,0,-32.67,0,-50.51
WHR,3,0,-59.36,0,-5.55
HAS.OQ,1,4,925.33,4,1.96
HAS.OQ,2,0,-198.21,0,-27.11
HAS.OQ,3,0,-89.93,1,29.25
WRK,1,4,61.42,4,-0.0
WRK,2,2,37.77,2,9.44
WRK,3,0,-14.29,1,21.22
CCL,1,0,-4.66,0,-1.41
CCL,2,0,-799.54,2,18.27
CCL,3,0,-29.83,0,-0.19
AAP,1,0,-3.86,4,24.21
AAP,2,2,251.85,2,37.99
AAP,3,0,-48.54,0,-27.77
WYNN.OQ,1,0,-18.59,0,-72.87
WYNN.OQ,2,0,-58.63,2,0.26
WYNN.OQ,3,0,-451.32,1,89.37
LKQ.OQ,1,4,49.29,4,14.77
LKQ.OQ,2,0,-12.42,2,9.74
LKQ.OQ,3,1,4.1,0,-3.67
BWA,1,4,336.79,0,-27.74
BWA,2,0,-132.81,2,23.4
BWA,3,1,7.59,1,20.31
LB,1,4,216.8,0,-17.07
LB,2,2,195.65,2,4.02
LB,3,0,-122.56,0,-21.9
ROL,1,4,7.38,4,3.6
ROL,2,2,74.23,2,22.2
ROL,3,0,-13.61,1,13.92
TPR,1,4,204.38,0,-100.69
TPR,2,0,-39.55,2,12.48
TPR,3,0,-182.18,0,-6.26
MHK,1,4,5030.43,0,-1.82
MHK,2,0,-103.83,0,-9.57
MHK,3,0,-58.89,1,8.53
NCLH.N,1,0,-17.55,4,2.32
NCLH.N,2,0,-22.16,2,28.36
NCLH.N,3,0,-759.5,1,16.42
SEE,1,4,19.56,4,42.56
SEE,2,0,-7.53,2,353.39
SEE,3,1,110.03,0,-66.07
PVH,1,4,954.43,0,-13.17
PVH,2,0,-98.2,2,78.16
