Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
PG,1,4,37.67,4,3.62
PG,2,0,-1.95,2,14.39
PG,3,0,-17.06,1,2.9
KO,1,0,-8.53,4,8.93
KO,2,0,-7.56,2,31.03
KO,3,1,1.67,0,-20.48
WMT,1,0,-29.39,4,51.31
WMT,2,2,69.05,0,-10.77
WMT,3,1,11.01,0,-10.56
PEP.OQ,1,4,22.5,0,-39.36
PEP.OQ,2,2,39.62,2,70.28
PEP.OQ,3,0,-16.27,1,18.04
COST.OQ,1,0,-19.48,4,27.27
COST.OQ,2,2,57.2,2,11.87
COST.OQ,3,1,13.74,1,17.45
PM,1,4,15.2,0,-1.35
PM,2,2,9.73,2,3.87
PM,3,0,-2.95,1,9.55
TGT,1,0,-17.91,4,14.86
TGT,2,2,451.66,2,12.71
TGT,3,0,-61.89,0,-3.49
MDLZ.OQ,1,4,86.83,4,5.2
MDLZ.OQ,2,0,-16.83,2,23.69
MDLZ.OQ,3,0,-3.81,1,9.33
MO,1,0,-57.79,0,-27.11
MO,2,2,0.14,2,18.08
MO,3,1,70.79,1,14.61
CL,1,4,9.55,0,-2.61
CL,2,0,-11.73,2,4.49
CL,3,1,5.12,1,0.78
EL,1,4,305.07,0,-16.09
EL,2,0,-207.34,2,19.97
EL,3,0,-78.31,1,19.53
DG,1,0,-26.17,4,13.5
DG,2,2,21.78,2,31.65
DG,3,1,22.21,1,1.45
KMB,1,0,-30.09,0,-14.16
KMB,2,2,3.25,2,29.73
KMB,3,1,33.09,1,4.59
SYY,1,4,179.26,0,-59.47
SYY,2,0,-474.79,2,39.07
SYY,3,0,-87.04,1,14.46
STZ,1,4,394.1,0,-92.34
STZ,2,0,-134.83,2,70.66
STZ,3,0,-23.08,1,56.27
GIS,1,4,8.16,4,5.34
GIS,2,0,-1.26,2,10.89
GIS,3,1,39.6,0,-1.07
MNST.OQ,1,4,11.62,4,13.54
MNST.OQ,2,2,13.03,2,16.94
MNST.OQ,3,1,10.33,1,20.59
ADM,1,4,0.2,0,-2.64
ADM,2,2,5.71,2,39.17
ADM,3,0,-32.47,1,9.14
DLTR.OQ,1,4,0.4,4,471.8
DLTR.OQ,2,2,19.95,0,-83.74
DLTR.OQ,3,0,-7.22,1,29.49
CLX,1,4,34.13,4,16.61
CLX,2,2,26.99,2,11.51
CLX,3,1,29.81,1,4.82
KR,1,0,-21.46,0,-6.13
KR,2,0,-32.1,2,93.08
KR,3,1,285.36,0,-45.62
MKC,1,4,3.6,4,7.54
MKC,2,2,36.26,2,21.91
MKC,3,0,-32.68,1,5.36
KHC.OQ,1,4,263.86,4,480.61
KHC.OQ,2,0,-59.29,0,-86.28
KHC.OQ,3,0,-8.4,1,2.21
HSY,1,4,64.38,0,-3.21
HSY,2,0,-2.86,2,38.84
HSY,3,0,-13.66,1,22.85
CHD,1,4,13.07,4,8.78
CHD,2,0,-17.55,2,23.45
CHD,3,1,59.08,1,4.91
TSN,1,4,8.42,4,27.3
TSN,2,2,119.62,0,-5.71
TSN,3,0,-39.05,1,15.87
CAG,1,4,5.99,4,21.64
CAG,2,2,45.88,2,12.38
CAG,3,0,-24.73,0,-26.6
K,1,4,2.15,0,-8.51
K,2,2,4.92,0,-1.72
K,3,1,97.03,1,92.96
BFB.N,1,4,13.36,4,17.39
BFB.N,2,2,53.26,0,-5.36
BFB.N,3,0,-40.2,1,14.5
HRL,1,4,15.19,0,-7.46
HRL,2,0,-10.94,2,2.45
HRL,3,0,-6.5,1,11.55
SJM,1,0,-2.71,4,19.79
SJM,2,2,2.7,0,-3.94
SJM,3,1,0.07,0,-0.28
LW,1,4,5648.57,0,-21.27
LW,2,0,-101.45,2,34.47
LW,3,0,-20.71,1,0.89
CPB,1,4,215.38,4,3.02
CPB,2,0,-54.87,0,-11.07
CPB,3,1,12.26,0,-6.39
TAP,1,4,70.42,0,-32.71
TAP,2,2,899.59,0,-12.43
TAP,3,0,-114.27,1,294.26
NWL.OQ,1,4,245.76,4,198.44
NWL.OQ,2,2,127.81,0,-230.52
NWL.OQ,3,0,-139.58,1,2278.93
