Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
PG,1,4,12.58,4,8.6,4,9.15,4,4.83,4,37.67,4,3.62
PG,2,2,3.94,2,3.2,2,2.81,2,1.27,0,-1.95,2,14.39
PG,3,0,-7.82,0,-0.06,0,-5.63,1,2.73,0,-17.06,1,2.9
KO,1,4,25.24,4,6.66,4,21.01,4,8.65,0,-8.53,4,8.93
KO,2,0,-20.9,0,-5.59,0,-16.87,0,-5.28,0,-7.56,2,31.03
KO,3,0,-4.94,0,-11.45,0,-5.15,0,-13.5,1,1.67,0,-20.48
WMT,1,0,-1.95,4,0.2,0,-2.2,4,1.86,0,-29.39,4,51.31
WMT,2,2,7.54,2,1.7,2,2.32,2,2.81,2,69.05,0,-10.77
WMT,3,0,-3.91,1,1.87,0,-4.98,1,2.98,1,11.01,0,-10.56
PEP,1,4,12.05,4,5.37,4,13.46,4,3.87,4,22.5,0,-39.36
PEP,2,2,14.45,2,1.6,2,14.87,2,1.79,2,39.62,2,70.28
PEP,3,0,-31.42,1,0.44,0,-32.75,1,1.16,0,-16.27,1,18.04
COST,1,0,-18.9,4,10.66,0,-19.06,4,9.21,0,-19.48,4,27.27
COST,2,2,40.09,2,7.56,2,43.25,2,7.86,2,57.2,2,11.87
COST,3,1,0.9,1,7.47,0,-4.62,1,9.73,1,13.74,1,17.45
PM,1,4,12.48,4,2.25,4,11.95,4,0.61,4,15.2,0,-1.35
PM,2,0,-5.87,2,3.01,0,-7.02,2,3.05,2,9.73,2,3.87
PM,3,0,-3.73,1,5.91,0,-7.26,1,7.73,0,-2.95,1,9.55
TGT,1,0,-2.45,4,5.4,0,-1.49,4,3.66,0,-17.91,4,14.86
TGT,2,2,37.23,2,2.17,2,17.13,2,3.63,2,451.66,2,12.71
TGT,3,0,-16.11,1,2.19,0,-16.17,1,3.48,0,-61.89,0,-3.49
MDLZ,1,4,19.78,0,-0.14,4,12.76,0,-0.27,4,86.83,4,5.2
MDLZ,2,0,-4.9,2,3.17,0,-11.87,2,0.16,0,-16.83,2,23.69
MDLZ,3,0,-11.16,0,-0.69,0,-2.98,0,-0.1,0,-3.81,1,9.33
MO,1,4,11.35,4,4.41,4,12.17,4,0.86,0,-57.79,0,-27.11
MO,2,2,2.27,2,1.44,2,0.32,2,0.68,2,0.14,2,18.08
MO,3,1,5.77,1,3.47,1,5.08,1,0.81,1,70.79,1,14.61
CL,1,4,7.22,4,0.8,4,6.57,4,0.96,4,9.55,0,-2.61
CL,2,0,-4.05,0,-0.99,0,-4.88,2,0.58,0,-11.73,2,4.49
CL,3,1,2.19,1,2.03,1,2.04,1,1.7,1,5.12,1,0.78
EL,1,4,64.66,0,-6.49,4,46.58,0,-3.83,4,305.07,0,-16.09
EL,2,0,-33.71,2,5.9,0,-27.35,2,8.62,0,-207.34,2,19.97
EL,3,0,-29.95,1,15.44,0,-27.66,1,15.72,0,-78.31,1,19.53
DG,1,0,-8.87,4,8.78,0,-5.58,4,8.31,0,-26.17,4,13.5
DG,2,2,8.57,2,8.07,2,2.79,2,9.18,2,21.78,2,31.65
DG,3,1,14.21,1,6.47,1,18.03,1,6.75,1,22.21,1,1.45
KMB,1,0,-7.62,4,5.1,4,1.54,0,-0.19,0,-30.09,0,-14.16
KMB,2,0,-1.29,0,-6.82,0,-7.93,2,0.75,2,3.25,2,29.73
KMB,3,1,12.72,0,-1.64,1,9.3,1,0.33,1,33.09,1,4.59
SYY,1,4,41.78,0,-13.21,4,32.83,0,-12.01,4,179.26,0,-59.47
SYY,2,0,-38.94,2,2.92,0,-35.27,2,2.36,0,-474.79,2,39.07
SYY,3,0,-9.34,1,5.0,0,-8.83,1,6.06,0,-87.04,1,14.46
STZ,1,4,19.7,4,4.44,4,15.13,4,2.8,4,394.1,0,-92.34
STZ,2,2,7.01,2,6.57,2,3.18,2,7.07,0,-134.83,2,70.66
STZ,3,0,-9.58,1,8.79,0,-4.83,1,3.54,0,-23.08,1,56.27
GIS,1,4,8.22,4,5.78,4,8.14,4,4.51,4,8.16,4,5.34
GIS,2,0,-10.12,2,6.59,0,-13.12,2,7.15,0,-1.26,2,10.89
GIS,3,1,25.51,0,-3.4,1,20.16,1,0.77,1,39.6,0,-1.07
MNST,1,4,11.69,4,9.72,4,13.94,4,10.34,4,11.62,4,13.54
MNST,2,2,3.5,2,7.38,2,2.99,2,13.0,2,13.03,2,16.94
MNST,3,1,4.33,1,10.08,1,4.41,1,10.48,1,10.33,1,20.59
ADM,1,0,-5.96,0,-0.81,0,-7.09,4,0.49,4,0.2,0,-2.64
ADM,2,2,16.51,2,18.85,2,8.76,2,5.78,2,5.71,2,39.17
ADM,3,0,-18.65,0,-2.76,0,-8.32,0,-2.43,0,-32.47,1,9.14
DLTR,1,4,0.4,4,28.85,0,-1.6,4,3.45,4,0.4,4,471.8
DLTR,2,2,7.39,0,-1.06,0,-0.15,2,2.6,2,19.95,0,-83.74
DLTR,3,0,-53.64,0,-8.54,0,-0.45,1,7.37,0,-7.22,1,29.49
CLX,1,0,-0.97,4,12.28,0,-3.38,4,8.16,4,34.13,4,16.61
CLX,2,2,11.66,2,1.98,2,11.22,2,1.47,2,26.99,2,11.51
CLX,3,1,30.2,1,0.15,1,23.05,1,2.53,1,29.81,1,4.82
