Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
XOM,1,0,-37.04,0,-47.02
XOM,2,0,-77.0,2,50.88
XOM,3,0,-128.96,1,72.35
CVX,1,0,-95.63,0,-83.53
CVX,2,0,-240.6,2,104.52
CVX,3,1,148.32,1,1524.64
COP,1,0,-247.2,4,8.3
COP,2,0,-90.43,2,397.14
COP,3,0,-248.3,1,131.71
SLB,1,4,114.33,0,-178.11
SLB,2,0,-44.84,2,161.77
SLB,3,0,-472.94,1,5.42
EOG,1,4,118.21,4,1.12
EOG,2,0,-164.69,2,387.08
EOG,3,1,32.82,1,182.9
PSX,1,0,-69.42,0,-24.74
PSX,2,0,-63.32,2,157.53
PSX,3,0,-170.4,1,57.81
KMI,1,4,3371.78,0,-18.15
KMI,2,0,-95.88,2,264.32
KMI,3,1,369.75,0,-211.73
MPC,1,0,-56.94,4,11.85
MPC,2,0,-121.69,2,46.54
MPC,3,0,-175.89,1,105.22
WMB,1,4,1.59,4,85.49
WMB,2,2,41.91,0,-38.23
WMB,3,0,-45.48,1,66.99
VLO,1,0,-215.01,0,-19.36
VLO,2,0,-6.52,2,46.72
VLO,3,0,-118.91,0,-1.59
PXD,1,4,109.39,4,7.68
PXD,2,0,-214.19,2,404.1
PXD,3,0,-5.22,1,150.35
OKE,1,4,124.1,4,10.91
OKE,2,0,-51.33,2,53.58
OKE,3,0,-16.91,1,10.79
HAL,1,4,124.62,0,-21.72
HAL,2,0,-33.48,2,235.59
HAL,3,0,-6.22,1,166.25
OXY,1,0,-25.92,0,-79.31
OXY,2,0,-189.61,2,113.74
OXY,3,0,-316.81,1,617.79
HES,1,0,-25.28,0,-34.26
HES,2,0,-69.16,0,-75.14
HES,3,0,-371.44,0,-78.27
BKR,1,0,-94.96,0,-22.82
BKR,2,0,-30.48,2,52.9
BKR,3,1,104.71,1,112.97
CXO,1,0,-91.13,0,-102.8
CXO,2,0,-83.03,2,768.64
CXO,3,0,-1089.73,1,129.64
FANG.OQ,1,0,-77.25,0,-28.71
FANG.OQ,2,0,-462.64,2,48.4
FANG.OQ,3,1,232.82,1,2525.91
COG,1,0,-149.35,4,31.34
COG,2,0,-43.45,2,224.81
COG,3,0,-63.19,1,235.3
DVN,1,0,-87.3,0,-109.62
DVN,2,0,-1760.1,2,344.63
DVN,3,1,218.55,0,-67.46
APA.N,1,4,103.25,0,-254.74
APA.N,2,0,-71.96,0,-24.44
APA.N,3,0,-80.81,1,257.93
MRO,1,0,-57.66,0,-46.48
MRO,2,0,-6816.17,2,226.52
MRO,3,1,179.84,0,-69.76
NOV,1,0,-130.0,0,-12740.92
NOV,2,0,-92.6,0,-96.39
NOV,3,0,-1152.05,0,-73.16
FTI,1,0,-27.15,0,-7.12
FTI,2,2,106.63,0,-267.39
FTI,3,0,-33.35,0,-83.46
HFC,1,0,-164.47,0,-14.02
HFC,2,2,129.64,2,122.36
HFC,3,0,-575.7,1,187.58
