Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
XOM,1,4,27.04,0,-12.9,4,40.73,0,-8.5,0,-37.04,0,-47.02
XOM,2,0,-23.32,2,13.41,0,-41.46,2,17.78,0,-77.0,2,50.88
XOM,3,0,-29.63,1,15.09,0,-12.52,1,18.21,0,-128.96,1,72.35
CVX,1,4,35.56,0,-7.11,4,50.68,0,-11.98,0,-95.63,0,-83.53
CVX,2,0,-45.18,2,9.19,0,-46.39,2,24.64,0,-240.6,2,104.52
CVX,3,0,-4.6,1,15.75,0,-14.08,1,23.4,1,148.32,1,1524.64
COP,1,4,149.46,0,-10.02,4,56.44,0,-11.06,0,-247.2,4,8.3
COP,2,0,-74.63,2,46.92,0,-55.79,2,25.48,0,-90.43,2,397.14
COP,3,0,-31.8,1,50.97,0,-18.43,1,25.83,0,-248.3,1,131.71
SLB,1,4,47.1,0,-3.23,0,-1.83,4,0.31,4,114.33,0,-178.11
SLB,2,0,-48.13,2,4.71,0,-28.16,2,7.8,0,-44.84,2,161.77
SLB,3,0,-30.23,1,11.95,0,-9.39,1,9.46,0,-472.94,1,5.42
EOG,1,4,358.84,0,-4.93,4,90.75,0,-1.1,4,118.21,4,1.12
EOG,2,0,-83.82,2,59.26,0,-65.2,2,52.97,0,-164.69,2,387.08
EOG,3,0,-26.96,1,64.51,0,-18.0,1,49.62,1,32.82,1,182.9
PSX,1,4,8.81,0,-13.06,4,45.96,0,-3.74,0,-69.42,0,-24.74
PSX,2,0,-46.47,0,-41.03,0,-47.73,2,24.82,0,-63.32,2,157.53
PSX,3,0,-19.03,1,5.2,0,-28.32,1,25.96,0,-170.4,1,57.81
KMI,1,4,7.14,4,2.14,4,14.02,0,-6.61,4,3371.78,0,-18.15
KMI,2,0,-17.0,2,4.5,0,-17.58,2,3.2,0,-95.88,2,264.32
KMI,3,0,-3.9,0,-5.04,0,-7.34,1,4.95,1,369.75,0,-211.73
VLO,1,0,-95.05,0,-12.23,4,50.53,0,-7.79,0,-215.01,0,-19.36
