Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
BRKB.N,1,0,-10.5,4,2102.41
BRKB.N,2,2,169.28,0,-77.77
BRKB.N,3,0,-271.15,0,-30.5
JPM,1,4,13.89,4,20.86
JPM,2,2,21.99,2,30.56
JPM,3,0,-18.43,1,11.46
V.N,1,0,-40.73,0,-20.61
V.N,2,0,-22.7,2,17.7
V.N,3,0,-4.96,1,65.58
MA,1,4,5.49,4,23.91
MA,2,0,-15.12,2,39.17
MA,3,0,-17.84,1,22.0
PYPL.OQ,1,0,-34.22,4,7.79
PYPL.OQ,2,2,1427.8,2,16.07
PYPL.OQ,3,0,-79.66,1,50.98
BAC,1,0,-28.75,4,13.38
BAC,2,2,4.57,2,51.92
BAC,3,1,16.41,1,11.24
C,1,4,163.99,4,21.74
C,2,0,-81.96,2,24.89
C,3,1,37.79,1,8.21
WFC,1,4,285.4,0,-6.0
WFC,2,0,-48.56,2,18.09
WFC,3,0,-5.05,0,-9.11
BLK,1,4,18.14,4,5.88
BLK,2,0,-1.29,2,16.84
BLK,3,0,-3.65,1,20.14
MS,1,0,-15.26,4,9.66
MS,2,2,93.6,2,26.62
MS,3,0,-22.38,1,28.09
GS,1,4,14.4,0,-8.07
GS,2,2,50.22,2,27.97
GS,3,0,-17.35,1,18.77
AXP,1,4,341.18,4,9.09
AXP,2,0,-86.06,2,23.69
AXP,3,1,4.04,1,24.75
SPGI.N,1,0,-15.35,4,12.25
SPGI.N,2,2,24.76,2,22.07
SPGI.N,3,1,7.88,1,29.94
SCHW.N,1,0,-5.02,4,9.21
SCHW.N,2,0,-13.1,2,48.67
SCHW.N,3,0,-2.06,1,25.7
CB,1,4,120.22,4,12.36
CB,2,2,84.59,2,12.37
CB,3,0,-75.23,0,-21.98
CME.OQ,1,0,-18.23,4,3.51
CME.OQ,2,0,-34.31,0,-50.98
CME.OQ,3,1,63.15,1,157.29
TFC,1,0,-21.64,4,1.16
TFC,2,2,11.19,2,28.53
TFC,3,1,45.17,1,7.29
ICE,1,0,-16.17,0,-1.23
ICE,2,0,-19.58,2,14.93
ICE,3,1,48.8,1,21.51
USB,1,4,101.9,4,0.41
USB,2,0,-33.68,2,39.32
USB,3,0,-8.86,0,-8.36
