Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
BRK-B,1,0,-18.26,4,952.6,4,10.88,4,3.46,0,-10.5,4,2102.41
BRK-B,2,2,175.9,0,-60.25,0,-7.22,2,2.86,2,169.28,0,-77.77
BRK-B,3,0,-265.96,0,-30.55,0,-6.66,1,11.48,0,-271.15,0,-30.5
JPM,1,4,26.79,4,5.82,4,26.79,4,5.82,4,13.89,4,20.86
JPM,2,2,13.06,2,9.75,2,13.06,2,9.75,2,21.99,2,30.56
JPM,3,0,-26.0,1,3.88,0,-26.0,1,3.88,0,-18.43,1,11.46
V,1,4,5.25,0,-5.11,4,5.46,0,-4.92,0,-40.73,0,-20.61
V,2,0,-17.74,2,11.71,0,-17.37,2,11.49,0,-22.7,2,17.7
V,3,0,-3.44,1,12.32,0,-3.3,1,12.26,0,-4.96,1,65.58
MA,1,4,15.05,4,12.93,4,15.05,4,12.93,4,5.49,4,23.91
MA,2,0,-16.81,2,19.63,0,-16.81,2,19.63,0,-15.12,2,39.17
MA,3,0,-9.18,1,15.97,0,-9.18,1,15.97,0,-17.84,1,22.0
PYPL,1,4,3.48,4,11.1,4,3.76,4,15.02,0,-34.22,4,7.79
PYPL,2,2,35.26,2,12.35,2,13.92,2,18.0,2,1427.8,2,16.07
PYPL,3,0,-15.25,1,24.47,0,-6.91,1,20.77,0,-79.66,1,50.98
BAC,1,4,10.1,0,-3.26,4,10.1,0,-3.26,0,-28.75,4,13.38
BAC,2,0,-4.43,2,5.66,0,-4.43,2,5.66,2,4.57,2,51.92
BAC,3,0,-15.89,1,4.53,0,-15.89,1,4.53,1,16.41,1,11.24
C,1,4,28.82,4,0.87,4,28.82,4,0.87,4,163.99,4,21.74
