Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
BRKB.N,2,4
JPM,6,7
V.N,0,3
MA,4,7
PYPL.OQ,2,7
BAC,3,7
C,5,7
WFC,4,2
BLK,4,7
MS,2,7
GS,6,3
AXP,5,7
SPGI.N,3,7
SCHW.N,0,7
CB,6,6
CME.OQ,1,5
TFC,3,7
ICE,1,3
USB,4,6
PNC,5,7
MMC,1,5
PGR,2,7
AON,1,6
MCO,3,7
COF,4,3
MSCI.N,5,7
MET,5,7
TRV,4,6
TROW.OQ,6,7
ALL,2,5
AIG,5,7
BK,1,2
PRU,4,5
AFL,6,7
WLTW.OQ,0,7
DFS,4,7
STT,1,3
AJG,5,3
FRC,6,7
AMP,0,7
MKTX.OQ,1,7
FITB.OQ,6,6
NTRS.OQ,0,3
SIVB.OQ,5,7
SYF,5,6
HIG,6,6
MTB,2,7
KEY,6,3
RF,4,7
CFG,2,7
NDAQ.OQ,7,6
CINF.OQ,2,4
HBAN.OQ,7,7
PFG.OQ,2,1
RJF,4,7
L,4,5
CBOE.Z,1,3
WU,5,3
RE,6,4
WRB,6,6
GL,6,7
LNC,4,3
AIZ,3,4
CMA,2,7
ZION.OQ,6,7
BEN,6,1
IVZ,4,5
PBCT.OQ,5,7
UNM,2,5
AIV,3,2
