Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
JNJ,1,4,16.58,4,13.7
JNJ,2,0,-11.1,2,11.11
JNJ,3,0,-25.39,0,-2.47
UNH,1,0,-52.31,4,17.49
UNH,2,2,96.65,2,28.34
UNH,3,0,-4.39,1,31.06
PFE,1,0,-24.72,0,-2.49
PFE,2,2,8.7,2,5.88
PFE,3,1,18.6,1,9.95
MRK,1,4,0.72,4,30.37
MRK,2,0,-8.77,2,3.16
MRK,3,1,0.44,0,-34.71
ABT,1,4,108.6,4,40.34
ABT,2,2,0.25,2,28.2
ABT,3,0,-54.19,1,60.87
ABBV.N,1,4,1952.97,0,-8.27
ABBV.N,2,0,-96.57,2,59.17
ABBV.N,3,1,30.69,1,4.54
TMO,1,4,57.04,4,14.45
TMO,2,2,45.92,2,17.24
TMO,3,0,-19.32,1,14.9
MDT,1,4,96.77,0,-4.18
MDT,2,0,-32.4,2,12.76
MDT,3,0,-62.75,1,11.3
DHR,1,4,52.56,0,-1.96
DHR,2,0,-6.24,2,9.81
DHR,3,0,-13.84,0,-11.26
BMY,1,4,588.94,0,-37.39
BMY,2,2,168.32,2,24.51
BMY,3,0,-15.98,1,27.11
LLY,1,0,-21.82,4,6.15
LLY,2,2,6.06,0,-12.7
LLY,3,0,-0.84,1,112.22
AMGN.OQ,1,4,12.66,0,-0.5
AMGN.OQ,2,0,-0.87,2,13.99
AMGN.OQ,3,1,7.7,1,11.51
ISRG.OQ,1,4,358.17,4,17.45
ISRG.OQ,2,0,-78.29,2,13.86
ISRG.OQ,3,0,-12.52,1,36.24
CVS,1,0,-47.31,4,74.48
CVS,2,2,46.97,0,-38.07
CVS,3,1,5.71,0,-3.18
ANTM.N,1,0,-73.63,4,31.2
ANTM.N,2,2,42.35,2,28.73
ANTM.N,3,1,69.33,1,16.71
SYK,1,4,107.82,0,-35.82
SYK,2,0,-43.76,2,80.29
SYK,3,0,-26.11,1,13.75
