Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
JNJ,1,4,20.06,4,0.21,4,14.98,4,0.59,4,16.58,4,13.7
JNJ,2,0,-13.67,2,6.82,0,-11.38,2,6.71,0,-11.1,2,11.11
JNJ,3,1,0.09,1,1.82,0,-0.27,1,6.34,0,-25.39,0,-2.47
UNH,1,0,-22.12,4,6.97,4,4.79,4,7.03,0,-52.31,4,17.49
UNH,2,2,26.85,2,14.54,0,-3.54,2,12.47,2,96.65,2,28.34
UNH,3,1,4.1,1,8.36,1,5.78,1,8.83,0,-4.39,1,31.06
PFE,1,4,0.68,0,-1.83,4,2.8,0,-3.54,0,-24.72,0,-2.49
PFE,2,0,-1.17,2,1.92,0,-1.89,2,2.1,2,8.7,2,5.88
PFE,3,0,-4.06,1,1.99,0,-5.2,0,-0.53,1,18.6,1,9.95
MRK,1,4,17.7,4,16.93,4,15.44,4,10.75,4,0.72,4,30.37
MRK,2,0,-12.2,2,5.11,0,-9.83,2,5.41,0,-8.77,2,3.16
MRK,3,1,6.17,1,4.19,1,1.59,1,0.79,1,0.44,0,-34.71
ABT,1,4,20.22,4,4.4,4,20.81,4,4.34,4,108.6,4,40.34
ABT,2,0,-8.63,2,12.7,0,-5.15,2,11.64,2,0.25,2,28.2
ABT,3,0,-8.96,1,35.11,0,-7.07,1,31.35,0,-54.19,1,60.87
ABBV,1,4,9.68,4,3.16,4,23.76,4,1.57,4,1952.97,0,-8.27
ABBV,2,2,14.94,2,16.29,2,20.95,2,16.08,0,-96.57,2,59.17
ABBV,3,0,-6.75,1,8.48,0,-0.98,1,10.06,1,30.69,1,4.54
TMO,1,4,28.2,4,4.37,4,23.19,4,4.86,4,57.04,4,14.45
TMO,2,2,23.23,2,13.98,2,11.03,2,16.45,2,45.92,2,17.24
