Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
JNJ,4,6
UNH,2,7
PFE,3,3
MRK,5,6
ABT,6,7
ABBV.N,5,3
TMO,6,7
MDT,4,3
DHR,4,2
BMY,6,3
LLY,2,5
AMGN.OQ,5,3
ISRG.OQ,4,7
CVS,3,4
ANTM.N,3,7
SYK,4,3
ZTS,5,7
CI,3,7
GILD.OQ,4,4
BDX,5,3
VRTX.OQ,3,7
EW,4,7
ILMN.OQ,4,5
HUM,2,7
REGN.OQ,2,3
BSX,4,3
HCA,4,6
BAX,5,4
IDXX.OQ,3,7
BIIB.OQ,3,6
ALGN.OQ,5,7
A,6,3
CNC,3,7
ALXN.OQ,4,7
DXCM.OQ,6,5
IQV,5,1
ZBH,4,5
RMD,7,5
WBA.OQ,5,1
MCK,6,2
MTD,6,7
CERN.OQ,4,1
VTRS.RTS,5,3
WST,3,5
LH,6,3
HOLX.OQ,6,6
TFX,5,4
COO,6,2
CTLT.N,2,7
INCY.OQ,2,6
DGX,6,7
PKI,6,5
CAH,3,2
VAR,6,1
WAT,6,7
STE,5,7
ABC,1,3
ABMD.OQ,6,3
BIO,7,6
XRAY.OQ,4,4
UHS,2,7
HSIC.OQ,4,6
DVA,4,6
PRGO.N,1,5
