Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
HON,1,0.0,-18.12,0.0,-13.83
HON,2,0.0,-17.29,2.0,47.75
HON,3,1.0,3.52,1.0,0.97
UNP,1,4.0,27.71,4.0,4.99
UNP,2,0.0,-26.29,2.0,34.78
UNP,3,1.0,6.02,1.0,18.28
UPS,1,4.0,5.03,0.0,-6.26
UPS,2,2.0,87.16,2.0,9.89
UPS,3,1.0,2162.45,1.0,37.66
BA,1,0.0,-96.04,0.0,-53.12
BA,2,0.0,-626.96,2.0,50.99
BA,3,0.0,-63.89,1.0,49.92
RTX.CO,1,0.0,-12.49,0.0,-9.22
RTX.CO,2,2.0,928.5,2.0,17.65
RTX.CO,3,0.0,-75.44,1.0,11.73
MMM,1,4.0,29.28,4.0,5.61
MMM,2,0.0,-12.97,2.0,2.08
MMM,3,0.0,-4.59,1.0,5.34
CAT,1,4.0,35.5,4.0,1.88
CAT,2,0.0,-49.71,2.0,57.75
CAT,3,0.0,-2.85,1.0,298.92
GE,1,0.0,-10.0,4.0,138.39
GE,2,0.0,-90.71,0.0,-284.53
GE,3,0.0,-1047.92,0.0,-133.16
LMT,1,4.0,1.28,4.0,22.35
LMT,2,2.0,1.52,2.0,36.46
LMT,3,1.0,14.86,1.0,5.8
DE,1,4.0,15.34,0.0,-1.49
DE,2,2.0,13.12,2.0,6.38
DE,3,1.0,17.64,1.0,42.5
ADP.OQ,1,4.0,9.86,4.0,7.56
ADP.OQ,2,0.0,-31.46,2.0,21.23
ADP.OQ,3,1.0,20.43,1.0,17.36
FDX,1,0.0,-8.63,4.0,62.94
FDX,2,2.0,2589.85,0.0,-67.72
FDX,3,0.0,-114.24,1.0,14.44
CSX.OQ,1,4.0,47.49,4.0,8.65
CSX.OQ,2,0.0,-34.69,2.0,62.03
CSX.OQ,3,1.0,0.39,1.0,25.94
ITW,1,4.0,82.16,4.0,0.41
ITW,2,0.0,-43.23,2.0,15.91
ITW,3,0.0,-10.9,1.0,14.7
NSC,1,4.0,44.98,4.0,7.75
NSC,2,0.0,-44.86,2.0,33.32
NSC,3,1.0,8.82,1.0,26.9
GPN,1,4.0,62.3,4.0,10.43
GPN,2,0.0,-27.7,2.0,49.69
GPN,3,1.0,54.53,1.0,145.85
EMR,1,4.0,64.78,0.0,-5.26
EMR,2,0.0,-10.11,2.0,18.23
EMR,3,1.0,35.34,1.0,26.48
NOC,1,0.0,-1.89,0.0,-26.59
NOC,2,2.0,16.54,2.0,0.29
NOC,3,1.0,312.22,1.0,58.69
ETN,1,4.0,34.55,0.0,-0.98
ETN,2,2.0,48.56,2.0,22.04
ETN,3,0.0,-55.1,1.0,1.22
WM,1,4.0,18.74,0.0,-1.67
WM,2,0.0,-0.6,0.0,-24.67
WM,3,0.0,-21.37,1.0,103.53
ROP,1,4.0,6.53,4.0,9.29
ROP,2,0.0,-8.95,2.0,23.58
ROP,3,0.0,-8.62,1.0,13.56
LHX,1,4.0,4.89,0.0,-59.48
LHX,2,0.0,-18.38,2.0,36.52
LHX,3,1.0,48.97,1.0,14.86
PH,1,0.0,-1.57,0.0,-17.49
PH,2,0.0,-10.69,2.0,3.63
PH,3,1.0,74.73,1.0,55.64
JCI,1,4.0,167.05,4.0,15.71
JCI,2,0.0,-33.96,0.0,-8.47
JCI,3,1.0,39.74,1.0,43.8
TTG.L,1,0.0,-74.96,4.0,21.05
TTG.L,2,2.0,4840.27,2.0,32.69
TTG.L,3,0.0,-92.07,1.0,83.04
CMI,1,4.0,80.51,4.0,14.28
CMI,2,0.0,-44.45,2.0,25.66
