Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
HON,1,4,9.68,0,-3.03,4,4.28,0,-12.18,0.0,-18.12,0.0,-13.83
HON,2,0,-24.85,2,2.95,0,-11.65,2,3.13,0.0,-17.29,2.0,47.75
HON,3,0,-7.54,1,6.58,0,-10.88,1,3.13,1.0,3.52,1.0,0.97
UNP,1,4,18.2,4,1.05,4,15.9,0,-4.92,4.0,27.71,4.0,4.99
UNP,2,0,-18.19,2,5.07,0,-18.84,2,7.5,0.0,-26.29,2.0,34.78
UNP,3,0,-0.03,1,8.66,1,0.33,1,6.51,1.0,6.02,1.0,18.28
UPS,1,4,1.98,4,3.86,4,3.81,4,3.11,4.0,5.03,0.0,-6.26
UPS,2,2,34.23,0,-5.31,2,13.44,2,7.92,2.0,87.16,2.0,9.89
UPS,3,1,156.1,1,18.43,0,-12.32,1,8.07,1.0,2162.45,1.0,37.66
BA,1,4,698.77,0,-75.77,4,19.75,0,-24.29,0.0,-96.04,0.0,-53.12
BA,2,0,-130.35,2,12.9,0,-30.17,2,7.58,0.0,-626.96,2.0,50.99
BA,3,1,313.1,1,20.2,0,-5.6,1,0.54,0.0,-63.89,1.0,49.92
RTX,1,0,-7.14,4,22.38,4,4.88,4,15.86,0.0,-12.49,0.0,-9.22
RTX,2,0,-27.32,2,5.63,2,23.78,2,11.14,2.0,928.5,2.0,17.65
RTX,3,0,-43.34,0,-0.87,0,-41.9,1,4.53,0.0,-75.44,1.0,11.73
MMM,1,4,18.13,0,-4.41,4,16.36,0,-1.92,4.0,29.28,4.0,5.61
MMM,2,0,-13.62,2,2.69,0,-11.13,2,3.5,0.0,-12.97,2.0,2.08
MMM,3,1,0.53,1,4.65,0,-0.44,1,5.14,0.0,-4.59,1.0,5.34
CAT,1,4,5.57,0,-2.96,0,-1.16,0,-1.68,4.0,35.5,4.0,1.88
