Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
HON,1.0,3.0
UNP,5.0,7.0
UPS,7.0,3.0
BA,0.0,3.0
RTX.CO,2.0,3.0
MMM,4.0,7.0
CAT,4.0,7.0
GE,0.0,4.0
LMT,7.0,7.0
DE,7.0,3.0
ADP.OQ,5.0,7.0
FDX,2.0,5.0
CSX.OQ,5.0,7.0
ITW,4.0,7.0
NSC,5.0,7.0
GPN,5.0,7.0
EMR,5.0,3.0
NOC,3.0,3.0
ETN,6.0,3.0
WM,4.0,1.0
ROP,4.0,7.0
LHX,5.0,3.0
PH,1.0,3.0
JCI,5.0,5.0
TTG.L,2.0,7.0
CMI,5.0,7.0
VRSK.OQ,7.0,3.0
INFO.N,6.0,3.0
TDG,5.0,3.0
CARRA.MI,,
CTAS.OQ,4.0,7.0
PAYX.OQ,6.0,7.0
PCAR.OQ,4.0,7.0
SWK,6.0,5.0
ROK,2.0,5.0
FAST.OQ,3.0,7.0
LUV,0.0,3.0
AME,6.0,7.0
ZOT.MC,2.0,0.0
DAL,0.0,6.0
CPRT.OQ,6.0,7.0
EFX,5.0,1.0
RSG,6.0,7.0
ODFL.OQ,6.0,7.0
KSU,5.0,7.0
GWW,5.0,7.0
DOV,4.0,7.0
XYL,7.0,3.0
IR,4.0,7.0
URI,2.0,7.0
EXPD.OQ,6.0,3.0
IEX,5.0,7.0
MAS,7.0,6.0
J,2.0,7.0
UAL.OQ,0.0,6.0
WAB,4.0,0.0
AVY,4.0,7.0
CHRW.OQ,2.0,2.0
JBHT.OQ,6.0,5.0
TXT,4.0,6.0
ALLE.N,6.0,7.0
HWM,4.0,7.0
PWR,6.0,7.0
SNA,4.0,7.0
PNR,6.0,7.0
AAL.OQ,0.0,4.0
AOS,6.0,3.0
RHI,4.0,6.0
HII,5.0,2.0
NLSN.N,3.0,5.0
ALK,0.0,4.0
FLS,6.0,6.0
