Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
FB,1,4,16.27,4,24.62,4,14.89,4,26.61,,,,
FB,2,2,4.06,2,32.06,2,5.36,2,37.35,,,,
FB,3,0,-18.83,1,47.59,0,-15.87,1,47.09,,,,
GOOGL,1,4,26.9,4,16.42,4,20.57,4,18.3,,,,
GOOGL,2,0,-10.97,2,18.38,0,-6.95,2,23.42,,,,
GOOGL,3,0,-11.49,1,18.39,0,-10.67,1,22.8,,,,
GOOG,1,4,26.9,4,16.42,4,20.57,4,18.3,,,,
GOOG,2,0,-10.97,2,18.38,0,-6.95,2,23.42,,,,
GOOG,3,0,-11.49,1,18.39,0,-10.67,1,22.8,,,,
DIS,1,0,-4.87,0,-21.92,4,24.86,0,-6.06,,,,
DIS,2,0,-36.23,2,3.14,0,-34.72,2,17.12,,,,
DIS,3,0,-22.35,1,7.56,0,-13.49,1,7.79,,,,
VZ,1,4,2.73,4,1.96,4,3.6,4,0.77,,,,
VZ,2,0,-3.19,2,3.68,0,-3.68,2,3.83,,,,
VZ,3,1,0.89,0,-0.42,0,-9.1,1,0.04,,,,
NFLX,1,4,2.53,4,32.43,4,4.67,4,27.62,,,,
NFLX,2,2,15.53,2,59.21,2,6.6,2,35.08,,,,
NFLX,3,1,8.32,1,42.22,1,5.49,1,32.41,,,,
CMCSA,1,4,0.41,4,14.95,4,7.66,4,15.27,,,,
CMCSA,2,0,-7.7,2,8.62,0,-10.88,2,11.15,,,,
CMCSA,3,0,-4.14,1,5.83,0,-6.3,1,5.32,,,,
T,1,0,-2.03,4,6.26,4,3.39,4,6.11,,,,
T,2,0,-2.26,2,10.4,0,-4.28,2,6.36,,,,
T,3,0,-2.44,0,-4.46,0,-8.63,0,-1.98,,,,
CHTR,1,4,4.71,4,3.94,4,2.93,4,4.88,,,,
CHTR,2,2,0.43,2,4.03,0,-0.36,2,4.94,,,,
CHTR,3,0,-33.01,1,61.56,0,-0.2,1,43.37,,,,
TMUS,1,4,6.61,4,6.72,4,9.06,4,4.07,,,,
TMUS,2,2,57.61,2,8.36,2,59.01,2,6.49,,,,
TMUS,3,1,4.19,1,9.34,0,-6.44,1,8.31,,,,
ATVI,1,4,1.5,0,-11.7,4,1.14,0,-13.48,,,,
ATVI,2,2,14.03,2,10.34,2,8.05,2,6.88,,,,
ATVI,3,0,-3.53,1,7.17,0,-9.97,1,6.19,,,,
TWTR,1,4,45.38,4,11.79,4,36.99,4,13.71,,,,
TWTR,2,0,-24.48,2,31.31,0,-15.38,2,24.52,,,,
TWTR,3,0,-24.48,0,-3.91,0,-19.82,0,-3.41,,,,
EA,1,0,-26.13,4,14.88,0,-21.11,4,11.86,,,,
EA,2,2,4.74,0,-6.33,2,5.19,0,-3.88,,,,
EA,3,1,3.04,1,8.73,0,-12.93,1,6.3,,,,
TTWO,1,4,9.17,4,34.23,4,1.18,4,15.76,,,,
TTWO,2,2,2.58,2,28.64,2,9.31,2,48.83,,,,
TTWO,3,0,-25.99,1,15.28,0,-18.23,1,0.74,,,,
VIAC,1,0,-11.04,0,-6.56,0,-2.53,4,2.06,,,,
VIAC,2,2,7.14,2,2.54,0,-5.91,2,2.69,,,,
VIAC,3,1,26.1,1,112.13,0,-2.94,1,101.54,,,,
OMC,1,4,34.76,0,-1.88,4,14.49,0,-2.2,,,,
OMC,2,0,-14.96,2,0.28,0,-17.79,2,0.11,,,,
OMC,3,0,-25.09,1,0.4,0,-17.73,0,-0.93,,,,
LYV,1,4,144.22,4,9.25,4,148.39,4,7.05,,,,
LYV,2,0,-124.49,2,12.56,0,-94.58,2,11.36,,,,
LYV,3,0,-29.9,1,14.55,0,-52.74,1,23.78,,,,
LUMN,1,0,-0.98,0,-2.04,0,-0.48,0,-4.44,,,,
LUMN,2,0,-1.1,2,25.77,0,-0.69,2,32.78,,,,
LUMN,3,0,-1.84,1,3.17,0,-6.14,1,1.06,,,,
FOXA,1,4,25.83,4,10.68,4,12.37,4,8.03,,,,
FOXA,2,0,-10.73,2,11.35,0,-29.71,2,12.17,,,,
FOXA,3,1,100.73,0,-4.53,0,-8.95,1,2.34,,,,
IPG,1,4,63.39,4,32.07,4,5.46,4,7.39,,,,
IPG,2,2,34.52,2,14.32,0,-6.02,2,7.47,,,,
IPG,3,0,-73.86,0,-24.6,0,-18.94,1,0.28,,,,
DISCK,1,0,-10.25,4,11.28,4,0.79,4,5.6,,,,
DISCK,2,0,-1.59,2,56.34,0,-5.29,2,53.54,,,,
DISCK,3,0,-6.96,1,2.88,0,-6.65,1,5.79,,,,
DISH,1,4,27.2,0,-0.85,4,42.19,0,-5.97,,,,
DISH,2,2,6.12,0,-7.32,0,-0.94,0,-5.35,,,,
DISH,3,0,-3.81,0,-12.55,0,-0.72,0,-5.4,,,,
NWSA,1,4,0.32,0,-7.98,4,10.09,0,-10.58,,,,
NWSA,2,0,-3.85,2,7.65,0,-15.14,2,11.64,,,,
NWSA,3,0,-12.95,1,14.13,0,-8.59,1,10.87,,,,
DISCA,1,0,-10.25,4,11.28,4,0.79,4,5.6,,,,
DISCA,2,0,-1.59,2,56.34,0,-5.29,2,53.54,,,,
DISCA,3,0,-6.96,1,2.88,0,-6.65,1,5.79,,,,
FOX,1,4,25.83,4,10.68,4,12.37,4,8.03,,,,
FOX,2,0,-10.73,2,11.35,0,-29.71,2,12.17,,,,
FOX,3,1,100.73,0,-4.53,0,-8.95,1,2.34,,,,
NWS,1,4,0.32,0,-7.98,4,10.09,0,-10.58,,,,
NWS,2,0,-3.85,2,7.65,0,-15.14,2,11.64,,,,
NWS,3,0,-12.95,1,14.13,0,-8.59,1,10.87,,,,
