Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AMZN,1,4,7.69,4,22.68,4,8.13,4,20.45,,,,
AMZN,2,2,16.21,2,42.16,2,17.84,2,30.93,,,,
AMZN,3,0,-6.77,1,38.16,0,-13.71,1,30.8,,,,
HD,1,0,-11.48,4,1.11,0,-11.87,4,1.87,,,,
HD,2,2,34.45,2,8.16,2,34.65,2,7.23,,,,
HD,3,1,10.18,1,6.32,1,9.61,1,6.67,,,,
NKE,1,4,2.24,0,-7.06,4,6.13,0,-4.38,,,,
NKE,2,2,101.49,2,9.51,2,67.81,2,7.47,,,,
NKE,3,0,-47.4,1,4.21,0,-37.52,1,5.96,,,,
MCD,1,4,68.36,4,3.05,4,44.04,4,0.24,,,,
MCD,2,0,-26.33,2,1.56,0,-20.21,0,-7.87,,,,
MCD,3,0,-17.72,1,4.08,0,-11.86,0,-7.32,,,,
LOW,1,0,-21.54,4,0.84,0,-18.29,4,1.18,,,,
LOW,2,2,42.85,2,2.11,2,38.76,2,3.92,,,,
LOW,3,1,26.76,1,3.51,1,22.76,1,5.54,,,,
SBUX,1,4,711.33,0,-31.34,4,46.92,0,-11.28,,,,
SBUX,2,0,-84.31,2,2.34,0,-29.58,2,7.24,,,,
SBUX,3,0,-37.4,1,7.05,0,-15.52,1,10.42,,,,
BKNG,1,4,1092.7,4,3.71,4,319.05,4,3.71,,,,
BKNG,2,0,-90.13,2,16.79,0,-72.47,2,14.56,,,,
BKNG,3,0,-64.1,1,20.44,0,-31.48,1,18.04,,,,
TJX,1,4,104.61,4,33.28,4,51.74,4,7.04,,,,
TJX,2,2,26872.19,2,7.52,2,51.23,2,8.67,,,,
TJX,3,0,-100.13,1,7.74,0,-63.88,1,8.08,,,,
GM,1,4,6252.08,0,-8.29,4,111.47,0,-6.67,,,,
GM,2,0,-96.94,0,-16.24,0,-48.71,2,1.0,,,,
GM,3,1,81.77,0,-5.05,1,6.11,0,-2.41,,,,
ROST,1,4,72.53,4,10.15,4,39.85,4,7.04,,,,
