Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
PG,1,4,12.58,4,8.6,4,9.15,4,4.83,,,,
PG,2,2,3.94,2,3.2,2,2.81,2,1.27,,,,
PG,3,0,-7.82,0,-0.06,0,-5.63,1,2.73,,,,
KO,1,4,25.24,4,6.66,4,21.01,4,8.65,,,,
KO,2,0,-20.9,0,-5.59,0,-16.87,0,-5.28,,,,
KO,3,0,-4.94,0,-11.45,0,-5.15,0,-13.5,,,,
WMT,1,0,-1.95,4,0.2,0,-2.2,4,1.86,,,,
WMT,2,2,7.54,2,1.7,2,2.32,2,2.81,,,,
WMT,3,0,-3.91,1,1.87,0,-4.98,1,2.98,,,,
PEP,1,4,12.05,4,5.37,4,13.46,4,3.87,,,,
PEP,2,2,14.45,2,1.6,2,14.87,2,1.79,,,,
PEP,3,0,-31.42,1,0.44,0,-32.75,1,1.16,,,,
COST,1,0,-18.9,4,10.66,0,-19.06,4,9.21,,,,
COST,2,2,40.09,2,7.56,2,43.25,2,7.86,,,,
COST,3,1,0.9,1,7.47,0,-4.62,1,9.73,,,,
PM,1,4,12.48,4,2.25,4,11.95,4,0.61,,,,
PM,2,0,-5.87,2,3.01,0,-7.02,2,3.05,,,,
PM,3,0,-3.73,1,5.91,0,-7.26,1,7.73,,,,
TGT,1,0,-2.45,4,5.4,0,-1.49,4,3.66,,,,
TGT,2,2,37.23,2,2.17,2,17.13,2,3.63,,,,
TGT,3,0,-16.11,1,2.19,0,-16.17,1,3.48,,,,
MDLZ,1,4,19.78,0,-0.14,4,12.76,0,-0.27,,,,
MDLZ,2,0,-4.9,2,3.17,0,-11.87,2,0.16,,,,
MDLZ,3,0,-11.16,0,-0.69,0,-2.98,0,-0.1,,,,
MO,1,4,11.35,4,4.41,4,12.17,4,0.86,,,,
MO,2,2,2.27,2,1.44,2,0.32,2,0.68,,,,
MO,3,1,5.77,1,3.47,1,5.08,1,0.81,,,,
CL,1,4,7.22,4,0.8,4,6.57,4,0.96,,,,
CL,2,0,-4.05,0,-0.99,0,-4.88,2,0.58,,,,
CL,3,1,2.19,1,2.03,1,2.04,1,1.7,,,,
EL,1,4,64.66,0,-6.49,4,46.58,0,-3.83,,,,
EL,2,0,-33.71,2,5.9,0,-27.35,2,8.62,,,,
EL,3,0,-29.95,1,15.44,0,-27.66,1,15.72,,,,
DG,1,0,-8.87,4,8.78,0,-5.58,4,8.31,,,,
DG,2,2,8.57,2,8.07,2,2.79,2,9.18,,,,
DG,3,1,14.21,1,6.47,1,18.03,1,6.75,,,,
KMB,1,0,-7.62,4,5.1,4,1.54,0,-0.19,,,,
KMB,2,0,-1.29,0,-6.82,0,-7.93,2,0.75,,,,
KMB,3,1,12.72,0,-1.64,1,9.3,1,0.33,,,,
SYY,1,4,41.78,0,-13.21,4,32.83,0,-12.01,,,,
SYY,2,0,-38.94,2,2.92,0,-35.27,2,2.36,,,,
SYY,3,0,-9.34,1,5.0,0,-8.83,1,6.06,,,,
STZ,1,4,19.7,4,4.44,4,15.13,4,2.8,,,,
STZ,2,2,7.01,2,6.57,2,3.18,2,7.07,,,,
STZ,3,0,-9.58,1,8.79,0,-4.83,1,3.54,,,,
GIS,1,4,8.22,4,5.78,4,8.14,4,4.51,,,,
GIS,2,0,-10.12,2,6.59,0,-13.12,2,7.15,,,,
GIS,3,1,25.51,0,-3.4,1,20.16,1,0.77,,,,
MNST,1,4,11.69,4,9.72,4,13.94,4,10.34,,,,
MNST,2,2,3.5,2,7.38,2,2.99,2,13.0,,,,
MNST,3,1,4.33,1,10.08,1,4.41,1,10.48,,,,
ADM,1,0,-5.96,0,-0.81,0,-7.09,4,0.49,,,,
ADM,2,2,16.51,2,18.85,2,8.76,2,5.78,,,,
ADM,3,0,-18.65,0,-2.76,0,-8.32,0,-2.43,,,,
DLTR,1,4,0.4,4,28.85,0,-1.6,4,3.45,,,,
DLTR,2,2,7.39,0,-1.06,0,-0.15,2,2.6,,,,
DLTR,3,0,-53.64,0,-8.54,0,-0.45,1,7.37,,,,
CLX,1,0,-0.97,4,12.28,0,-3.38,4,8.16,,,,
CLX,2,2,11.66,2,1.98,2,11.22,2,1.47,,,,
CLX,3,1,30.2,1,0.15,1,23.05,1,2.53,,,,
KR,1,0,-1.67,4,1.25,0,-2.51,4,0.36,,,,
KR,2,0,-31.27,0,-2.4,0,-26.62,0,-1.16,,,,
KR,3,1,39.43,1,6.12,1,43.8,1,6.89,,,,
MKC,1,4,1.86,4,2.48,4,2.08,4,0.84,,,,
MKC,2,2,23.32,2,15.34,2,15.6,2,12.1,,,,
MKC,3,0,-25.41,0,-0.93,0,-18.37,1,7.23,,,,
KHC,1,0,-4.45,0,-10.13,0,-3.11,0,-4.91,,,,
KHC,2,2,31.86,0,-3.98,2,7.97,2,0.74,,,,
KHC,3,0,-12.69,0,-4.08,0,-5.8,0,-0.85,,,,
HSY,1,4,36.27,4,1.0,4,30.02,4,2.51,,,,
HSY,2,0,-8.55,2,3.64,0,-16.2,2,3.67,,,,
HSY,3,0,-4.97,1,7.22,0,-1.49,1,1.01,,,,
CHD,1,4,1.0,4,7.78,4,3.91,4,5.11,,,,
CHD,2,2,5.19,2,6.43,2,2.5,2,9.79,,,,
CHD,3,1,1.53,1,8.4,1,1.84,1,8.1,,,,
TSN,1,4,11.0,4,15.84,4,14.35,4,1.84,,,,
TSN,2,2,60.08,0,-1.98,0,-7.95,2,5.87,,,,
