Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
XOM,1,4,27.04,0,-12.9,4,40.73,0,-8.5,,,,
XOM,2,0,-23.32,2,13.41,0,-41.46,2,17.78,,,,
XOM,3,0,-29.63,1,15.09,0,-12.52,1,18.21,,,,
CVX,1,4,35.56,0,-7.11,4,50.68,0,-11.98,,,,
CVX,2,0,-45.18,2,9.19,0,-46.39,2,24.64,,,,
CVX,3,0,-4.6,1,15.75,0,-14.08,1,23.4,,,,
COP,1,4,149.46,0,-10.02,4,56.44,0,-11.06,,,,
COP,2,0,-74.63,2,46.92,0,-55.79,2,25.48,,,,
COP,3,0,-31.8,1,50.97,0,-18.43,1,25.83,,,,
SLB,1,4,47.1,0,-3.23,0,-1.83,4,0.31,,,,
SLB,2,0,-48.13,2,4.71,0,-28.16,2,7.8,,,,
SLB,3,0,-30.23,1,11.95,0,-9.39,1,9.46,,,,
EOG,1,4,358.84,0,-4.93,4,90.75,0,-1.1,,,,
EOG,2,0,-83.82,2,59.26,0,-65.2,2,52.97,,,,
EOG,3,0,-26.96,1,64.51,0,-18.0,1,49.62,,,,
PSX,1,4,8.81,0,-13.06,4,45.96,0,-3.74,,,,
PSX,2,0,-46.47,0,-41.03,0,-47.73,2,24.82,,,,
PSX,3,0,-19.03,1,5.2,0,-28.32,1,25.96,,,,
KMI,1,4,7.14,4,2.14,4,14.02,0,-6.61,,,,
KMI,2,0,-17.0,2,4.5,0,-17.58,2,3.2,,,,
KMI,3,0,-3.9,0,-5.04,0,-7.34,1,4.95,,,,
VLO,1,0,-95.05,0,-12.23,4,50.53,0,-7.79,,,,
VLO,2,2,254.42,2,15.56,0,-53.64,2,26.02,,,,
VLO,3,0,-175.56,1,3.97,0,-21.53,1,26.0,,,,
PXD,1,4,75.83,0,-6.58,4,62.47,4,3.11,,,,
PXD,2,0,-50.75,2,60.95,0,-43.13,2,77.26,,,,
PXD,3,0,-31.68,1,63.78,0,-23.89,1,50.87,,,,
OKE,1,4,26.15,4,6.49,4,30.92,0,-19.29,,,,
OKE,2,0,-16.22,2,20.28,0,-22.27,2,3.44,,,,
OKE,3,0,-1.44,1,8.7,0,-19.78,1,36.46,,,,
HAL,1,4,9.32,0,-23.48,0,-6.91,0,-6.61,,,,
HAL,2,0,-49.82,2,31.14,0,-36.55,2,16.37,,,,
HAL,3,0,-12.85,1,161.72,0,-2.97,1,29.79,,,,
OXY,1,4,97.98,4,7.11,4,40.3,4,14.41,,,,
OXY,2,0,-72.0,2,62.8,0,-55.72,2,42.5,,,,
OXY,3,1,1.57,1,41.07,1,5.27,1,23.96,,,,
HES,1,4,18.79,4,4.43,4,37.7,4,2.58,,,,
HES,2,0,-18.52,2,7.38,0,-37.73,2,15.06,,,,
HES,3,0,-22.36,1,13.4,0,-19.56,1,14.72,,,,
BKR,1,0,-6.44,4,11.19,4,6.61,4,4.2,,,,
BKR,2,2,13.11,2,27.63,0,-12.7,2,33.17,,,,
BKR,3,0,-41.65,1,6.51,0,-14.54,1,31.32,,,,
CXO,1,4,127.94,4,7.58,4,76.7,4,11.11,,,,
CXO,2,0,-57.1,2,63.42,0,-52.06,2,50.0,,,,
CXO,3,0,-34.3,1,65.19,0,-21.26,1,70.36,,,,
FANG,1,4,124.03,4,76.32,4,69.06,4,82.86,,,,
FANG,2,0,-63.59,2,81.32,0,-52.75,2,72.67,,,,
FANG,3,0,-25.49,1,143.09,0,-18.57,1,126.33,,,,
COG,1,4,22.41,0,-4.26,4,15.58,0,-7.38,,,,
COG,2,0,-35.32,2,21.32,0,-22.14,2,22.69,,,,
COG,3,0,-28.19,1,77.59,0,-20.09,1,46.26,,,,
DVN,1,4,155.62,0,-35.12,4,52.33,0,-30.98,,,,
DVN,2,0,-66.46,2,58.89,0,-44.32,2,36.4,,,,
DVN,3,1,4.15,0,-1.64,1,12.73,0,-4.0,,,,
APA,1,4,88.17,0,-17.73,4,46.43,0,-13.9,,,,
APA,2,0,-55.03,2,28.99,0,-43.18,2,24.59,,,,
APA,3,0,-29.62,1,20.89,0,-8.19,1,10.58,,,,
MRO,1,4,72.52,0,-17.84,4,54.03,0,-15.32,,,,
MRO,2,0,-63.96,2,46.12,0,-51.89,2,34.88,,,,
MRO,3,0,-21.74,1,72.39,0,-16.92,1,40.31,,,,
NOV,1,4,1.46,0,-41.48,0,-7.49,4,0.31,,,,
NOV,2,0,-38.84,2,61.88,0,-20.55,2,15.73,,,,
NOV,3,0,-40.43,1,983.17,0,-17.45,1,0.73,,,,
FTI,1,0,-11.09,4,7.83,4,5.61,4,6.82,,,,
FTI,2,2,20.74,0,-9.97,2,0.9,0,-16.63,,,,
FTI,3,0,-35.02,1,61.33,0,-16.01,1,63.67,,,,
HFC,1,0,-61.44,0,-2.46,4,36.67,0,-1.29,,,,
HFC,2,2,349.23,2,47.4,0,-39.34,2,24.3,,,,
HFC,3,0,-150.97,1,53.34,0,-22.4,1,35.27,,,,
