Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
BRK-B,1,0,-18.26,4,952.6,4,10.88,4,3.46,,,,
BRK-B,2,2,175.9,0,-60.25,0,-7.22,2,2.86,,,,
BRK-B,3,0,-265.96,0,-30.55,0,-6.66,1,11.48,,,,
JPM,1,4,26.79,4,5.82,4,26.79,4,5.82,,,,
JPM,2,2,13.06,2,9.75,2,13.06,2,9.75,,,,
JPM,3,0,-26.0,1,3.88,0,-26.0,1,3.88,,,,
V,1,4,5.25,0,-5.11,4,5.46,0,-4.92,,,,
V,2,0,-17.74,2,11.71,0,-17.37,2,11.49,,,,
V,3,0,-3.44,1,12.32,0,-3.3,1,12.26,,,,
MA,1,4,15.05,4,12.93,4,15.05,4,12.93,,,,
MA,2,0,-16.81,2,19.63,0,-16.81,2,19.63,,,,
MA,3,0,-9.18,1,15.97,0,-9.18,1,15.97,,,,
PYPL,1,4,3.48,4,11.1,4,3.76,4,15.02,,,,
PYPL,2,2,35.26,2,12.35,2,13.92,2,18.0,,,,
PYPL,3,0,-15.25,1,24.47,0,-6.91,1,20.77,,,,
BAC,1,4,10.1,0,-3.26,4,10.1,0,-3.26,,,,
BAC,2,0,-4.43,2,5.66,0,-4.43,2,5.66,,,,
BAC,3,0,-15.89,1,4.53,0,-15.89,1,4.53,,,,
C,1,4,28.82,4,0.87,4,28.82,4,0.87,,,,
C,2,0,-15.7,2,0.35,0,-15.7,2,0.35,,,,
C,3,0,-12.14,1,1.91,0,-12.14,1,1.91,,,,
WFC,1,4,117.23,0,-2.64,4,117.23,0,-2.64,,,,
WFC,2,0,-39.24,0,-1.5,0,-39.24,0,-1.5,,,,
WFC,3,0,-28.95,1,1.71,0,-28.95,1,1.71,,,,
BLK,1,4,23.28,4,2.79,4,19.76,4,2.4,,,,
BLK,2,0,-1.62,2,6.13,0,-1.67,2,4.4,,,,
BLK,3,0,-11.1,1,12.81,0,-6.71,1,10.92,,,,
MS,1,0,-14.58,4,2.9,0,-13.1,4,3.27,,,,
MS,2,2,47.96,2,4.81,2,41.39,2,5.7,,,,
MS,3,0,-15.25,1,10.14,0,-12.62,1,9.57,,,,
GS,1,0,-11.17,0,-2.07,0,-10.27,0,-1.28,,,,
GS,2,2,59.98,2,12.08,2,49.95,2,12.06,,,,
GS,3,0,-23.38,1,4.91,0,-18.85,1,4.79,,,,
AXP,1,4,27.61,4,7.09,4,32.12,4,8.1,,,,
AXP,2,0,-5.74,2,7.23,0,-20.41,2,9.19,,,,
AXP,3,0,-31.51,0,-2.12,0,-25.65,1,1.94,,,,
SPGI,1,0,-8.48,4,7.41,0,-4.99,4,7.05,,,,
SPGI,2,2,14.62,2,4.37,2,8.79,2,3.22,,,,
SPGI,3,0,-0.47,1,12.37,1,2.94,1,7.1,,,,
SCHW,1,4,0.13,4,5.84,0,-0.08,4,5.81,,,,
SCHW,2,0,-6.69,2,17.92,0,-6.38,2,17.57,,,,
SCHW,3,1,0.08,1,16.08,1,0.42,1,15.49,,,,
CB,1,4,186.39,4,5.98,4,5.13,4,4.75,,,,
CB,2,0,-55.24,2,9.0,2,18.11,2,1.05,,,,
CB,3,0,-36.94,0,-16.21,0,-12.79,1,2.73,,,,
CME,1,0,-8.64,4,12.73,0,-8.64,4,12.73,,,,
CME,2,0,-22.34,2,18.24,0,-22.34,2,18.24,,,,
CME,3,1,33.73,1,1.38,1,33.73,1,1.38,,,,
TFC,1,4,2.47,4,8.74,4,2.47,4,8.74,,,,
TFC,2,2,6.55,2,2.06,2,6.55,2,2.06,,,,
TFC,3,1,36.6,1,5.37,1,36.6,1,5.37,,,,
ICE,1,4,1.15,4,4.58,4,1.15,4,4.58,,,,
ICE,2,0,-10.52,2,7.24,0,-10.52,2,7.24,,,,
ICE,3,1,20.11,1,2.79,1,20.11,1,2.79,,,,
USB,1,4,30.46,4,1.57,4,30.46,4,1.57,,,,
USB,2,0,-14.49,2,4.68,0,-14.49,2,4.68,,,,
USB,3,0,-8.7,1,3.5,0,-8.7,1,3.5,,,,
PNC,1,4,162.18,4,1.97,4,162.18,4,1.97,,,,
PNC,2,0,-52.86,2,5.26,0,-52.86,2,5.26,,,,
PNC,3,0,-22.01,1,7.87,0,-22.01,1,7.87,,,,
MMC,1,0,-15.91,4,11.84,0,-5.28,4,11.38,,,,
MMC,2,0,-16.49,2,6.84,0,-9.93,2,6.6,,,,
MMC,3,1,14.29,1,6.78,1,9.08,1,6.15,,,,
PGR,1,0,-39.52,4,59.6,0,-0.23,4,22.04,,,,
PGR,2,2,251.62,2,44.19,2,17.7,2,19.16,,,,
PGR,3,0,-32.3,1,41.16,0,-13.2,1,14.51,,,,
AON,1,0,-11.95,4,8.15,0,-4.49,4,2.26,,,,
AON,2,0,-33.1,2,13.66,0,-22.43,2,7.72,,,,
AON,3,1,14.47,1,13.06,1,11.58,1,6.26,,,,
MCO,1,0,-7.55,4,7.66,0,-5.51,4,8.69,,,,
MCO,2,2,12.95,2,6.99,2,11.24,2,5.69,,,,
MCO,3,1,8.25,1,15.61,1,4.64,1,16.64,,,,
MSCI,1,4,4.56,4,10.74,4,3.84,4,8.63,,,,
MSCI,2,0,-0.88,2,14.61,0,-1.72,2,12.54,,,,
MSCI,3,1,1.7,1,11.34,1,2.5,1,10.73,,,,
MET,1,4,38.14,4,2.31,4,13.59,4,2.47,,,,
MET,2,0,-64.33,2,16.69,0,-23.0,2,9.04,,,,
MET,3,1,148.08,0,-4.55,1,6.81,1,2.59,,,,
TRV,1,4,94.65,4,3.11,4,11.81,4,4.29,,,,
TRV,2,0,-42.25,2,4.69,0,-6.41,2,4.77,,,,
TRV,3,0,-13.43,0,-13.92,0,-1.92,1,5.1,,,,
TROW,1,4,22.02,4,3.43,4,12.75,4,4.57,,,,
TROW,2,0,-16.38,2,12.38,0,-3.23,2,10.66,,,,
TROW,3,1,9.44,1,15.04,0,-0.42,1,13.31,,,,
ALL,1,0,-22.14,4,35.91,4,2.71,4,12.21,,,,
ALL,2,2,45.46,0,-9.59,2,11.13,2,1.04,,,,
ALL,3,0,-26.4,1,26.33,0,-12.17,1,5.37,,,,
