Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
JNJ,1,4,20.06,4,0.21,4,14.98,4,0.59,,,,
JNJ,2,0,-13.67,2,6.82,0,-11.38,2,6.71,,,,
JNJ,3,1,0.09,1,1.82,0,-0.27,1,6.34,,,,
UNH,1,0,-22.12,4,6.97,4,4.79,4,7.03,,,,
UNH,2,2,26.85,2,14.54,0,-3.54,2,12.47,,,,
UNH,3,1,4.1,1,8.36,1,5.78,1,8.83,,,,
PFE,1,4,0.68,0,-1.83,4,2.8,0,-3.54,,,,
PFE,2,0,-1.17,2,1.92,0,-1.89,2,2.1,,,,
PFE,3,0,-4.06,1,1.99,0,-5.2,0,-0.53,,,,
MRK,1,4,17.7,4,16.93,4,15.44,4,10.75,,,,
MRK,2,0,-12.2,2,5.11,0,-9.83,2,5.41,,,,
MRK,3,1,6.17,1,4.19,1,1.59,1,0.79,,,,
ABT,1,4,20.22,4,4.4,4,20.81,4,4.34,,,,
ABT,2,0,-8.63,2,12.7,0,-5.15,2,11.64,,,,
ABT,3,0,-8.96,1,35.11,0,-7.07,1,31.35,,,,
ABBV,1,4,9.68,4,3.16,4,23.76,4,1.57,,,,
ABBV,2,2,14.94,2,16.29,2,20.95,2,16.08,,,,
ABBV,3,0,-6.75,1,8.48,0,-0.98,1,10.06,,,,
TMO,1,4,28.2,4,4.37,4,23.19,4,4.86,,,,
TMO,2,2,23.23,2,13.98,2,11.03,2,16.45,,,,
TMO,3,0,-9.65,1,12.87,0,-8.77,1,14.47,,,,
MDT,1,4,23.45,0,-8.6,4,17.52,0,-5.38,,,,
MDT,2,2,6.84,2,2.77,2,8.5,2,2.02,,,,
MDT,3,0,-29.74,1,2.2,0,-22.29,1,0.82,,,,
DHR,1,4,27.7,4,5.03,4,11.06,4,5.06,,,,
DHR,2,2,16.78,2,10.9,2,21.97,2,9.86,,,,
DHR,3,0,-9.65,0,-8.43,0,-10.79,0,-8.08,,,,
BMY,1,4,4.16,4,17.17,4,4.06,4,15.89,,,,
BMY,2,0,-4.64,2,8.32,0,-6.05,2,8.59,,,,
BMY,3,1,38.03,1,2.98,1,35.7,1,6.94,,,,
LLY,1,4,3.2,4,4.68,4,4.39,4,3.84,,,,
LLY,2,0,-7.91,2,8.28,0,-6.15,2,7.61,,,,
LLY,3,0,-3.86,1,0.09,0,-4.16,0,-5.88,,,,
AMGN,1,4,3.05,0,-3.26,4,3.5,0,-1.62,,,,
AMGN,2,2,1.51,2,4.61,2,0.73,2,3.93,,,,
AMGN,3,0,-5.99,0,-0.26,0,-0.58,0,-0.62,,,,
ISRG,1,4,44.02,4,19.43,4,26.48,4,20.25,,,,
ISRG,2,0,-31.87,2,18.26,0,-22.5,2,18.67,,,,
ISRG,3,0,-17.61,1,16.33,0,-13.95,1,15.95,,,,
CVS,1,0,-12.52,4,44.17,4,2.6,4,31.89,,,,
CVS,2,2,11.0,2,8.32,0,-2.16,2,4.95,,,,
CVS,3,1,3.26,0,-1.22,0,-0.13,1,4.08,,,,
ANTM,1,0,-15.23,4,11.04,4,6.47,4,13.16,,,,
ANTM,2,2,19.49,2,13.38,0,-1.21,2,2.27,,,,
ANTM,3,1,35.02,0,-1.19,1,8.08,1,6.11,,,,
SYK,1,4,55.46,4,9.13,4,35.2,4,9.43,,,,
SYK,2,0,-32.38,2,8.74,0,-22.97,2,9.3,,,,
SYK,3,0,-14.31,1,9.32,0,-13.14,1,9.88,,,,
ZTS,1,4,13.02,4,10.64,4,15.37,4,7.47,,,,
ZTS,2,2,1.95,2,11.36,2,0.91,2,9.76,,,,
ZTS,3,0,-7.87,1,9.41,0,-8.36,1,8.57,,,,
CI,1,0,-9.82,4,55.44,4,4.28,4,216.55,,,,
CI,2,2,12.11,2,13.43,2,2.4,2,15.52,,,,
CI,3,0,-7.52,1,8.53,1,0.11,1,5.09,,,,
GILD,1,4,33.27,4,2.89,4,27.88,4,1.46,,,,
GILD,2,0,-10.92,0,-20.53,0,-7.3,0,-15.24,,,,
GILD,3,1,9.13,0,-16.81,0,-5.63,0,-14.09,,,,
BDX,1,4,51.14,0,-4.45,4,24.1,0,-1.0,,,,
BDX,2,0,-15.78,2,6.19,0,-9.36,2,8.18,,,,
BDX,3,0,-0.35,1,30.85,1,0.66,1,32.17,,,,
VRTX,1,0,-6.58,4,52.3,4,0.9,4,36.59,,,,
VRTX,2,2,1.35,2,37.43,2,0.62,2,22.46,,,,
VRTX,3,1,21.19,1,100.19,1,7.21,1,46.2,,,,
EW,1,4,25.2,4,16.17,4,23.34,4,16.79,,,,
EW,2,0,-20.47,2,8.73,0,-18.05,2,8.37,,,,
EW,3,0,-2.74,1,18.17,0,-3.87,1,15.91,,,,
ILMN,1,4,22.53,4,7.11,4,25.43,4,6.3,,,,
ILMN,2,0,-30.51,2,24.0,0,-26.31,2,21.11,,,,
ILMN,3,0,-6.29,1,10.18,0,-9.77,1,14.76,,,,
HUM,1,0,-9.05,4,0.01,4,5.2,4,14.01,,,,
HUM,2,2,48.46,2,7.39,2,0.78,2,5.85,,,,
HUM,3,1,26.86,1,9.59,1,16.2,0,-1.13,,,,
BSX,1,4,47.67,4,9.14,4,32.75,4,9.28,,,,
BSX,2,0,-30.2,2,8.55,0,-21.23,2,8.57,,,,
BSX,3,0,-18.4,1,8.47,0,-12.43,1,7.89,,,,
HCA,1,4,27.47,4,10.08,4,20.27,4,9.98,,,,
HCA,2,0,-13.64,2,7.94,0,-13.94,2,7.02,,,,
HCA,3,0,-10.91,1,3.7,0,-4.9,1,5.12,,,,
BAX,1,4,12.47,4,2.18,4,9.35,4,2.37,,,,
BAX,2,0,-10.04,2,4.93,0,-3.0,2,4.87,,,,
BAX,3,0,-10.89,1,6.48,0,-7.8,1,4.14,,,,
IDXX,1,4,11.41,4,9.99,4,13.21,4,8.75,,,,
IDXX,2,2,5.49,2,13.14,2,1.8,2,12.4,,,,
IDXX,3,1,8.59,1,12.5,1,3.45,1,10.91,,,,
BIIB,1,0,-10.5,4,6.75,0,-8.3,4,6.88,,,,
BIIB,2,2,6.19,2,9.33,2,4.17,2,9.61,,,,
BIIB,3,0,-4.47,1,6.27,0,-3.73,1,7.21,,,,
ALGN,1,4,138.08,4,20.45,4,108.38,4,22.39,,,,
ALGN,2,0,-43.12,2,29.63,0,-36.05,2,33.47,,,,
ALGN,3,0,-16.44,1,37.0,0,-15.21,1,36.44,,,,
A,1,4,17.79,4,1.14,4,17.61,4,3.41,,,,
A,2,2,1.83,2,4.66,2,1.86,2,5.07,,,,
A,3,0,-9.13,1,11.71,0,-8.77,1,9.88,,,,
CNC,1,0,-16.25,4,12.21,4,6.69,4,24.88,,,,
CNC,2,2,44.25,2,33.57,2,6.52,2,23.75,,,,
CNC,3,1,31.12,1,12.78,1,33.68,1,21.53,,,,
ALXN,1,4,11.1,4,22.16,4,9.98,4,20.81,,,,
ALXN,2,0,-2.51,2,15.81,0,-0.01,2,16.34,,,,
ALXN,3,1,4.97,1,14.98,1,4.37,1,15.14,,,,
DXCM,1,4,19.82,4,40.31,4,10.87,4,43.08,,,,
DXCM,2,2,10.76,2,34.91,2,11.53,2,43.58,,,,
DXCM,3,0,-17.07,1,30.05,0,-12.47,1,25.33,,,,
IQV,1,4,20.69,4,3.33,4,10.51,4,6.49,,,,
IQV,2,0,-12.15,2,7.79,0,-8.46,2,7.32,,,,
IQV,3,0,-6.44,1,64.54,0,-4.87,1,42.36,,,,
ZBH,1,4,69.64,4,1.21,4,57.35,4,0.62,,,,
ZBH,2,0,-38.07,0,-0.74,0,-31.26,2,1.66,,,,
ZBH,3,0,-15.99,1,1.66,0,-16.08,1,1.76,,,,
RMD,1,0,-2.32,4,15.02,0,-2.39,4,13.44,,,,
RMD,2,0,-0.1,2,12.8,2,0.12,2,11.38,,,,
RMD,3,1,5.15,1,13.35,1,4.52,1,13.23,,,,
WBA,1,4,5.67,0,-6.85,4,0.33,4,1.95,,,,
WBA,2,0,-14.31,0,-2.33,0,-3.32,2,4.05,,,,
WBA,3,1,3.46,1,5.59,1,4.31,1,11.27,,,,
MCK,1,4,11.11,4,2.29,4,9.21,4,7.81,,,,
MCK,2,0,-19.06,2,5.1,0,-4.88,2,2.86,,,,
MCK,3,1,9.99,0,-0.77,0,-1.08,1,4.95,,,,
MTD,1,4,18.0,4,3.37,4,16.89,4,2.49,,,,
MTD,2,2,6.29,2,6.89,2,6.39,2,7.73,,,,
MTD,3,0,-24.86,1,9.6,0,-23.08,1,8.64,,,,
CERN,1,4,1.65,4,4.35,4,2.88,4,6.08,,,,
CERN,2,0,-3.36,2,3.28,0,-5.77,2,4.36,,,,
CERN,3,0,-0.65,1,6.74,0,-2.11,1,7.21,,,,
VTRS,1,4,11.46,0,-0.44,4,8.82,4,0.58,,,,
VTRS,2,2,9.99,0,-8.12,2,4.28,0,-3.98,,,,
VTRS,3,0,-22.52,0,-0.45,0,-17.94,1,7.5,,,,
WST,1,0,-0.26,4,11.06,4,3.95,4,7.13,,,,
WST,2,2,16.83,2,6.34,2,7.26,2,7.4,,,,
WST,3,1,9.01,1,2.29,1,4.44,1,5.96,,,,
LH,1,4,105.05,4,2.4,4,40.71,4,1.95,,,,
LH,2,2,4.46,2,2.74,0,-1.95,2,9.95,,,,
LH,3,0,-11.3,1,8.33,0,-4.39,1,7.9,,,,
HOLX,1,4,89.49,4,21.11,4,63.68,4,12.15,,,,
HOLX,2,2,15.33,2,2.93,2,8.83,2,4.64,,,,
HOLX,3,0,-12.33,1,3.0,0,-11.1,1,5.2,,,,
TFX,1,4,18.3,4,7.74,4,10.8,4,6.0,,,,
TFX,2,0,-16.99,2,18.15,0,-10.09,2,14.07,,,,
TFX,3,0,-14.58,1,16.63,0,-7.39,1,14.9,,,,
COO,1,4,42.49,0,-8.97,4,17.88,0,-8.39,,,,
COO,2,2,11.53,2,9.35,2,10.15,2,4.76,,,,
COO,3,0,-24.15,1,19.51,0,-18.77,1,18.41,,,,
CTLT,1,0,-25.61,4,22.13,0,-10.75,4,22.89,,,,
CTLT,2,2,40.12,2,6.98,2,24.59,2,2.22,,,,
CTLT,3,1,2.84,1,14.97,1,5.43,1,18.7,,,,
INCY,1,0,-62.45,4,50.97,0,-9.8,4,14.71,,,,
INCY,2,2,164.96,2,313.6,2,21.03,2,22.5,,,,
INCY,3,0,-333.13,0,-69.38,0,-1.88,1,38.93,,,,
DGX,1,4,89.15,4,2.37,4,52.49,4,2.59,,,,
DGX,2,2,15.18,0,-1.22,2,0.27,2,1.74,,,,
DGX,3,0,-16.17,1,2.12,0,-5.4,1,2.61,,,,
PKI,1,4,17.87,4,4.22,4,18.76,4,3.8,,,,
PKI,2,2,44.85,2,26.68,2,24.42,2,23.08,,,,
PKI,3,0,-23.96,1,5.81,0,-19.01,1,6.69,,,,
CAH,1,4,7.86,4,0.5,4,6.48,4,5.08,,,,
CAH,2,0,-15.65,0,-4.83,0,-6.3,2,6.38,,,,
CAH,3,1,9.98,1,9.73,0,-1.45,1,5.26,,,,
VAR,1,4,25.53,4,0.5,4,22.5,0,-1.76,,,,
VAR,2,0,-11.48,2,7.59,0,-12.61,2,10.48,,,,
VAR,3,0,-8.07,1,14.34,0,-4.15,1,11.45,,,,
WAT,1,4,8.01,0,-2.2,4,14.19,0,-0.55,,,,
WAT,2,2,20.67,2,4.8,2,11.84,2,4.8,,,,
WAT,3,0,-39.05,1,6.74,0,-35.09,1,6.54,,,,
STE,1,4,17.16,4,11.58,4,13.04,4,8.94,,,,
STE,2,0,-21.52,2,8.46,0,-18.72,2,6.19,,,,
STE,3,1,9.54,1,6.48,1,6.29,1,0.28,,,,
ABC,1,4,9.8,4,3.92,4,8.55,4,5.74,,,,
ABC,2,0,-11.98,2,9.09,0,-4.33,2,6.94,,,,
ABC,3,1,13.93,1,0.7,0,-0.93,1,9.66,,,,
