Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
HON,1,4,9.68,0,-3.03,4,4.28,0,-12.18,,,,
HON,2,0,-24.85,2,2.95,0,-11.65,2,3.13,,,,
HON,3,0,-7.54,1,6.58,0,-10.88,1,3.13,,,,
UNP,1,4,18.2,4,1.05,4,15.9,0,-4.92,,,,
UNP,2,0,-18.19,2,5.07,0,-18.84,2,7.5,,,,
UNP,3,0,-0.03,1,8.66,1,0.33,1,6.51,,,,
UPS,1,4,1.98,4,3.86,4,3.81,4,3.11,,,,
UPS,2,2,34.23,0,-5.31,2,13.44,2,7.92,,,,
UPS,3,1,156.1,1,18.43,0,-12.32,1,8.07,,,,
BA,1,4,698.77,0,-75.77,4,19.75,0,-24.29,,,,
BA,2,0,-130.35,2,12.9,0,-30.17,2,7.58,,,,
BA,3,1,313.1,1,20.2,0,-5.6,1,0.54,,,,
RTX,1,0,-7.14,4,22.38,4,4.88,4,15.86,,,,
RTX,2,0,-27.32,2,5.63,2,23.78,2,11.14,,,,
RTX,3,0,-43.34,0,-0.87,0,-41.9,1,4.53,,,,
MMM,1,4,18.13,0,-4.41,4,16.36,0,-1.92,,,,
MMM,2,0,-13.62,2,2.69,0,-11.13,2,3.5,,,,
MMM,3,1,0.53,1,4.65,0,-0.44,1,5.14,,,,
CAT,1,4,5.57,0,-2.96,0,-1.16,0,-1.68,,,,
CAT,2,0,-15.12,2,26.04,0,-6.0,2,20.37,,,,
CAT,3,0,-21.28,1,45.35,0,-19.09,1,17.97,,,,
GE,1,4,114.4,4,3.54,4,9.39,0,-1.85,,,,
GE,2,0,-61.43,2,155.51,0,-13.52,0,-2.28,,,,
GE,3,0,-39.24,0,-71.07,0,-21.78,0,-16.9,,,,
LMT,1,0,-3.48,4,13.53,4,1.7,4,11.25,,,,
LMT,2,2,5.83,2,15.68,2,3.64,2,7.61,,,,
LMT,3,0,-1.51,1,16.24,0,-1.43,1,5.65,,,,
DE,1,4,13.2,0,-2.53,4,8.95,0,-9.48,,,,
DE,2,2,11.59,2,2.25,0,-3.74,2,5.13,,,,
DE,3,1,23.86,1,32.57,1,21.46,1,28.37,,,,
ADP,1,4,9.57,4,1.86,4,2.78,4,3.4,,,,
ADP,2,0,-26.09,2,10.39,0,-16.58,2,6.3,,,,
ADP,3,1,14.22,1,8.17,1,10.31,1,7.29,,,,
FDX,1,4,0.58,4,12.78,4,6.43,0,-0.68,,,,
FDX,2,2,43.05,0,-17.08,2,11.31,2,6.48,,,,
FDX,3,0,-10.1,1,7.27,0,-0.74,1,8.51,,,,
CSX,1,4,24.73,4,1.98,4,17.43,0,-2.56,,,,
CSX,2,0,-21.61,2,20.59,0,-21.02,2,7.38,,,,
CSX,3,1,1.66,1,10.19,0,-1.04,1,3.06,,,,
ITW,1,4,44.02,0,-3.93,4,28.98,0,-4.46,,,,
ITW,2,0,-28.52,2,2.6,0,-20.57,2,3.17,,,,
ITW,3,0,-6.22,1,5.57,0,-6.95,1,5.26,,,,
NSC,1,4,26.34,4,1.94,4,20.19,0,-1.41,,,,
NSC,2,0,-27.78,2,9.7,0,-20.57,2,8.6,,,,
NSC,3,1,0.32,1,13.2,0,-2.42,1,6.71,,,,
GPN,1,4,30.67,4,27.45,4,14.71,4,45.91,,,,
GPN,2,0,-19.75,2,10.95,0,-12.17,0,-15.32,,,,
GPN,3,0,-1.86,1,7.75,0,-4.23,1,5.26,,,,
EMR,1,4,16.19,0,-10.06,4,16.45,0,-8.64,,,,
EMR,2,0,-7.67,2,5.15,0,-5.96,2,5.54,,,,
EMR,3,1,-0.0,1,15.57,1,0.26,1,14.05,,,,
NOC,1,4,0.77,4,6.44,4,2.24,4,12.45,,,,
NOC,2,2,6.04,2,15.01,2,3.06,2,15.73,,,,
NOC,3,0,-18.23,1,0.36,0,-1.16,1,5.25,,,,
ETN,1,4,50.66,0,-0.65,4,17.38,0,-1.01,,,,
ETN,2,0,-34.16,2,6.77,0,-19.48,2,5.91,,,,
ETN,3,0,-11.59,1,4.61,0,-8.57,1,3.33,,,,
WM,1,4,10.72,4,5.47,4,8.42,4,3.63,,,,
WM,2,0,-1.36,2,3.68,0,-4.51,2,2.96,,,,
WM,3,0,-9.56,1,6.66,0,-3.04,1,6.44,,,,
ROP,1,4,3.82,4,4.5,4,4.68,4,3.38,,,,
ROP,2,0,-1.53,2,14.48,0,-3.38,2,12.67,,,,
ROP,3,0,-4.04,1,22.83,0,-3.16,1,21.57,,,,
LHX,1,4,1.94,4,129.56,4,0.4,4,172.4,,,,
LHX,2,0,-4.24,2,11.04,0,-3.91,2,10.26,,,,
LHX,3,0,-0.37,1,2.89,0,-4.26,1,4.6,,,,
PH,1,4,2.03,0,-2.57,4,2.21,0,-4.36,,,,
PH,2,0,-12.8,2,0.61,0,-14.63,2,0.13,,,,
PH,3,1,10.61,1,22.52,1,5.85,1,18.9,,,,
JCI,1,4,7.81,0,-3.67,4,11.44,0,-6.89,,,,
JCI,2,2,1.72,2,0.34,0,-1.86,2,2.43,,,,
JCI,3,0,-0.11,1,1.82,0,-2.37,1,2.47,,,,
TT,1,4,15.35,4,6.69,4,11.36,4,5.94,,,,
TT,2,2,31.06,2,10.38,2,18.84,2,10.36,,,,
TT,3,0,-40.33,1,5.27,0,-36.37,1,5.1,,,,
CMI,1,4,46.63,4,4.24,4,32.87,0,-0.84,,,,
CMI,2,0,-31.22,2,12.49,0,-23.13,2,16.36,,,,
CMI,3,0,-1.45,1,14.4,0,-10.16,1,16.67,,,,
