Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AMT,1,4,5.63,4,1.92,4,5.22,4,1.88,,,,
AMT,2,0,-4.73,2,14.22,0,-4.02,2,11.65,,,,
AMT,3,1,4.92,1,15.32,1,3.61,1,15.18,,,,
PLD,1,0,-14.02,4,11.38,0,-12.39,4,13.8,,,,
PLD,2,2,26.97,2,9.48,2,23.74,2,8.23,,,,
PLD,3,1,23.01,1,4.9,1,21.99,1,4.65,,,,
CCI,1,4,4.72,4,7.12,4,3.19,4,7.32,,,,
CCI,2,2,0.74,2,30.01,2,1.34,2,26.2,,,,
CCI,3,1,9.61,1,9.35,1,5.65,1,8.52,,,,
EQIX,1,4,8.59,4,7.06,4,6.15,4,7.47,,,,
EQIX,2,0,-2.57,2,15.89,0,-1.05,2,17.36,,,,
EQIX,3,1,5.97,1,20.28,1,3.63,1,20.37,,,,
DLR,1,4,2.81,4,2.17,4,3.78,4,4.48,,,,
DLR,2,2,60.64,2,24.71,2,32.38,2,24.0,,,,
DLR,3,0,-26.2,1,13.76,0,-6.8,1,15.01,,,,
PSA,1,4,6.6,4,0.07,4,3.43,4,2.05,,,,
PSA,2,0,-3.81,2,4.02,0,-1.77,2,4.14,,,,
PSA,3,0,-6.64,1,4.68,1,1.26,1,4.97,,,,
SBAC,1,4,1.59,4,8.69,4,3.1,4,7.98,,,,
SBAC,2,0,-1.68,2,9.22,0,-1.9,2,7.99,,,,
SBAC,3,1,2.82,1,5.83,1,0.66,1,5.79,,,,
SPG,1,0,-2.59,4,0.42,0,-0.16,4,0.59,,,,
SPG,2,0,-22.28,2,1.59,0,-21.58,2,1.81,,,,
SPG,3,0,-10.02,1,2.03,0,-9.04,1,1.69,,,,
