Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AAPL,1,4,8.86,4,6.67,4,8.4,4,5.51,,,,
AAPL,2,2,1.39,0,-3.38,2,2.35,0,-2.04,,,,
AAPL,3,0,-36.48,1,15.48,0,-36.49,1,15.86,,,,
MSFT,1,4,1.78,4,16.89,0,-2.31,4,13.65,,,,
MSFT,2,2,6.85,2,15.17,2,8.6,2,14.03,,,,
MSFT,3,0,-2.04,1,15.56,0,-5.11,1,14.28,,,,
NVDA,1,4,21.51,0,-5.62,4,22.25,0,-6.81,,,,
NVDA,2,2,21.56,2,23.17,2,25.52,2,20.61,,,,
NVDA,3,0,-0.55,1,43.29,0,-0.81,1,40.58,,,,
ADBE,1,4,7.08,4,17.34,4,6.17,4,15.19,,,,
ADBE,2,2,3.13,2,21.23,2,3.1,2,23.71,,,,
ADBE,3,1,2.8,1,24.54,1,1.2,1,23.67,,,,
INTC,1,0,-7.29,0,-3.65,0,-7.07,4,1.58,,,,
INTC,2,0,-12.56,2,11.87,0,-0.5,2,12.89,,,,
INTC,3,1,1.16,1,6.77,0,-1.89,1,5.68,,,,
CRM,1,4,4.82,4,30.84,4,5.2,4,28.73,,,,
CRM,2,2,6.34,2,26.57,2,5.88,2,26.02,,,,
CRM,3,0,-0.55,1,25.21,1,0.29,1,24.93,,,,
CSCO,1,0,-1.34,0,-3.01,0,-1.85,0,-5.02,,,,
CSCO,2,0,-1.12,2,6.29,2,1.43,2,5.22,,,,
CSCO,3,1,0.09,1,1.68,0,-0.18,1,2.76,,,,
AVGO,1,4,10.04,4,9.42,4,11.1,4,5.71,,,,
AVGO,2,2,3.23,2,14.8,2,1.38,2,8.39,,,,
AVGO,3,0,-1.71,1,25.21,0,-1.98,1,18.21,,,,
QCOM,1,4,98.36,0,-8.92,4,70.57,0,-3.06,,,,
QCOM,2,0,-3.63,2,26.74,0,-6.19,2,7.35,,,,
QCOM,3,0,-1.52,0,-0.79,1,2.74,1,1.59,,,,
ACN,1,4,13.3,4,4.97,4,8.55,4,2.57,,,,
ACN,2,0,-2.5,2,6.57,0,-1.42,2,5.42,,,,
ACN,3,1,5.05,1,12.84,0,-1.35,1,13.31,,,,
TXN,1,4,17.82,0,-10.83,4,17.85,0,-8.88,,,,
TXN,2,0,-0.29,2,6.9,0,-2.7,2,5.5,,,,
TXN,3,0,-0.43,1,16.43,0,-0.63,1,11.9,,,,
ORCL,1,4,5.0,0,-1.21,4,4.62,0,-1.11,,,,
ORCL,2,0,-11.61,2,0.6,0,-10.27,2,0.31,,,,
ORCL,3,1,8.15,1,3.24,1,6.56,1,4.21,,,,
AMD,1,4,45.05,4,15.09,4,44.98,4,3.95,,,,
AMD,2,2,3.67,2,39.45,2,8.17,2,23.26,,,,
AMD,3,0,-13.8,1,78.17,0,-16.03,1,21.63,,,,
IBM,1,0,-3.07,0,-1.21,0,-3.09,0,-3.07,,,,
IBM,2,2,9.78,0,-0.02,2,3.13,2,0.57,,,,
IBM,3,0,-28.63,0,-4.09,0,-19.31,0,-0.98,,,,
NOW,1,4,7.44,4,34.12,4,7.58,4,32.64,,,,
NOW,2,2,1.81,2,40.01,2,2.34,2,35.98,,,,
NOW,3,1,11.16,1,43.01,1,9.94,1,37.92,,,,
INTU,1,0,-28.35,4,12.17,0,-27.15,4,13.19,,,,
INTU,2,0,-41.92,2,11.36,0,-39.51,2,12.6,,,,
INTU,3,1,89.5,1,15.1,1,77.0,1,15.95,,,,
FIS,1,4,19.32,4,30.45,4,7.93,4,22.68,,,,
FIS,2,0,-7.38,0,-0.7,0,-3.77,0,-2.83,,,,
FIS,3,0,-27.01,0,-2.11,0,-7.9,0,-1.85,,,,
MU,1,4,17.3,0,-38.78,4,11.36,0,-8.42,,,,
MU,2,2,30.11,0,-40.18,2,13.36,0,-22.98,,,,
MU,3,0,-0.81,1,112.08,0,-6.75,1,49.55,,,,
AMAT,1,4,8.12,4,20.81,4,6.67,4,17.76,,,,
AMAT,2,2,12.12,0,-15.05,2,11.07,0,-12.55,,,,
AMAT,3,0,-5.44,1,13.69,0,-4.93,1,13.65,,,,
LRCX,1,4,17.64,4,5.74,4,13.8,4,4.05,,,,
LRCX,2,2,9.71,0,-15.62,2,11.51,0,-12.85,,,,
LRCX,3,0,-1.07,1,43.34,0,-3.09,1,38.23,,,,
ADSK,1,4,4.38,4,29.79,4,4.3,4,27.41,,,,
ADSK,2,2,3.49,2,29.94,2,3.09,2,24.95,,,,
ADSK,3,0,-1.6,1,2.34,0,-1.51,1,1.26,,,,
FISV,1,4,23.76,4,78.87,4,9.26,4,74.94,,,,
FISV,2,0,-1.5,2,3.07,0,-8.07,2,2.23,,,,
FISV,3,0,-17.25,1,4.95,0,-6.82,1,3.47,,,,
ADI,1,4,5.19,0,-8.05,4,4.82,0,-6.48,,,,
ADI,2,2,14.87,0,-5.57,2,10.56,0,-3.75,,,,
ADI,3,0,-0.17,1,20.51,1,1.04,1,18.65,,,,
CTSH,1,4,14.68,0,-2.2,4,6.07,4,4.08,,,,
CTSH,2,0,-4.99,2,11.12,0,-5.33,2,8.88,,,,
CTSH,3,0,-3.32,1,5.19,0,-1.38,1,9.81,,,,
KLAC,1,4,9.55,4,24.35,4,5.41,4,27.09,,,,
KLAC,2,2,0.51,2,4.2,2,2.5,2,13.18,,,,
KLAC,3,0,-4.8,1,18.09,0,-5.66,1,16.0,,,,
APH,1,4,21.71,0,-1.47,4,16.9,4,0.29,,,,
APH,2,2,7.86,2,14.94,2,6.74,2,16.98,,,,
APH,3,0,-17.52,1,13.23,0,-13.44,1,11.53,,,,
TEL,1,4,37.06,0,-15.0,4,27.98,0,-9.49,,,,
TEL,2,0,-31.29,0,-7.4,0,-20.25,0,-3.86,,,,
TEL,3,0,-0.1,1,13.44,1,0.85,1,14.8,,,,
SNPS,1,4,3.54,4,10.33,4,6.36,4,9.66,,,,
SNPS,2,2,13.6,2,8.03,2,11.94,2,7.68,,,,
SNPS,3,1,5.53,1,15.02,1,3.23,1,14.54,,,,
XLNX,1,4,9.56,4,1.63,4,5.49,4,3.39,,,,
XLNX,2,0,-6.46,2,22.02,0,-3.9,2,24.0,,,,
XLNX,3,1,9.17,1,4.58,1,4.52,1,4.68,,,,
CDNS,1,4,3.75,4,10.15,4,4.42,4,9.27,,,,
CDNS,2,2,3.63,2,10.18,2,3.31,2,10.04,,,,
CDNS,3,1,3.28,1,9.36,1,3.07,1,6.99,,,,
MCHP,1,4,1.2,0,-1.67,0,-0.02,0,-1.41,,,,
MCHP,2,0,-1.92,2,36.2,0,-1.26,2,34.38,,,,
MCHP,3,1,3.62,1,24.53,1,3.03,1,16.81,,,,
HPQ,1,4,11.95,0,-6.56,4,6.74,0,-3.6,,,,
HPQ,2,0,-4.01,2,4.7,2,14.64,2,0.49,,,,
HPQ,3,0,-13.2,1,11.39,0,-14.7,1,12.33,,,,
ANSS,1,0,-5.29,4,17.73,0,-4.85,4,17.18,,,,
ANSS,2,2,29.17,2,18.63,2,26.45,2,18.11,,,,
ANSS,3,0,-40.48,1,11.62,0,-37.28,1,10.8,,,,
MSI,1,4,16.77,4,11.56,4,15.45,4,7.41,,,,
MSI,2,0,-1.51,2,16.68,0,-2.24,2,15.09,,,,
MSI,3,0,-35.37,1,4.16,0,-30.35,1,5.66,,,,
GLW,1,4,31.73,0,-9.55,4,17.18,4,1.89,,,,
GLW,2,2,22.53,2,10.97,2,7.11,2,11.61,,,,
GLW,3,0,-18.38,1,6.83,0,-15.12,1,7.73,,,,
SWKS,1,4,28.36,0,-2.01,4,29.86,0,-0.62,,,,
SWKS,2,0,-4.82,0,-14.39,0,-3.82,0,-12.7,,,,
SWKS,3,0,-15.46,1,5.91,0,-14.51,1,5.93,,,,
FLT,1,4,15.25,4,9.84,4,11.45,4,8.85,,,,
FLT,2,0,-5.51,2,14.0,0,-20.56,2,8.18,,,,
FLT,3,0,-25.26,1,24.42,0,-5.41,1,22.82,,,,
KEYS,1,4,24.75,0,-0.04,4,20.67,0,-1.91,,,,
KEYS,2,2,17.44,2,20.04,2,12.96,2,10.96,,,,
KEYS,3,0,-21.22,1,24.4,0,-18.26,1,21.61,,,,
FTV,1,4,20.77,4,11.22,4,21.07,4,13.44,,,,
FTV,2,0,-7.02,2,13.68,0,-8.3,2,12.1,,,,
FTV,3,0,-16.73,1,8.58,0,-14.43,1,7.03,,,,
MXIM,1,4,15.08,0,-4.52,4,13.57,0,-5.31,,,,
MXIM,2,0,-1.11,0,-7.72,0,-2.94,0,-6.68,,,,
MXIM,3,1,1.64,1,12.15,1,1.97,1,8.03,,,,
VRSN,1,4,0.77,4,2.77,4,1.12,4,1.37,,,,
VRSN,2,2,1.43,2,5.25,2,0.59,2,4.28,,,,
VRSN,3,1,1.08,1,2.95,1,0.64,1,2.01,,,,
PAYC,1,4,8.79,4,32.28,4,8.23,4,30.25,,,,
PAYC,2,0,-27.46,2,32.24,0,-25.08,2,30.78,,,,
PAYC,3,1,28.21,1,31.95,1,25.31,1,31.57,,,,
ZBRA,1,4,17.66,4,6.01,4,18.41,4,6.33,,,,
ZBRA,2,0,-11.42,2,15.85,0,-9.13,2,13.33,,,,
ZBRA,3,0,-13.05,1,4.14,0,-11.74,1,4.14,,,,
TER,1,0,-2.66,4,9.79,0,-2.29,4,9.24,,,,
TER,2,2,16.26,0,-0.09,2,19.07,0,-1.68,,,,
TER,3,1,5.82,1,27.42,1,7.59,1,21.87,,,,
CDW,1,4,10.48,4,12.3,4,8.95,4,11.03,,,,
CDW,2,0,-1.23,2,10.48,0,-0.54,2,9.49,,,,
CDW,3,0,-2.7,1,5.24,0,-3.26,1,8.49,,,,
QRVO,1,4,50.88,4,11.83,4,34.65,4,4.82,,,,
QRVO,2,0,-3.54,2,6.06,0,-0.04,2,3.93,,,,
QRVO,3,0,-10.21,1,1.01,0,-9.35,0,-1.95,,,,
TYL,1,4,9.38,4,17.59,4,5.41,4,16.16,,,,
TYL,2,2,1.6,2,10.07,0,-1.97,2,11.22,,,,
TYL,3,0,-9.24,1,11.19,0,-4.26,1,10.66,,,,
GRMN,1,4,29.6,4,12.84,4,27.51,4,12.25,,,,
GRMN,2,2,1.67,2,10.11,2,1.61,2,7.24,,,,
GRMN,3,0,-20.72,1,6.48,0,-22.33,1,2.49,,,,
BR,1,0,-51.79,4,2.73,0,-25.3,4,3.82,,,,
BR,2,2,26.58,2,5.83,2,8.96,2,0.75,,,,
BR,3,1,100.96,1,12.35,1,29.03,1,4.52,,,,
AKAM,1,0,-1.64,4,8.23,0,-0.24,4,6.6,,,,
AKAM,2,2,4.48,2,9.16,2,3.98,2,9.06,,,,
AKAM,3,0,-3.63,1,4.83,0,-1.01,1,6.01,,,,
CTXS,1,0,-5.37,4,0.41,0,-3.98,4,1.23,,,,
CTXS,2,0,-9.11,2,5.57,0,-7.2,2,5.28,,,,
CTXS,3,1,7.78,1,2.69,1,6.31,1,3.24,,,,
WDC,1,0,-18.32,4,0.77,0,-8.51,4,1.01,,,,
WDC,2,2,5.11,0,-51.3,2,2.68,0,-19.75,,,,
WDC,3,1,8.88,1,26.89,0,-1.39,1,8.14,,,,
HPE,1,4,8.03,0,-10.5,4,5.75,0,-7.39,,,,
HPE,2,2,7.6,2,2.84,2,13.43,0,-5.57,,,,
HPE,3,0,-16.55,1,6.48,0,-13.53,1,6.86,,,,
ANET,1,4,11.88,4,12.45,4,12.0,4,12.05,,,,
ANET,2,2,1.73,2,29.35,2,3.35,2,30.69,,,,
ANET,3,0,-5.07,1,46.83,0,-5.34,1,45.79,,,,
STX,1,0,-11.04,0,-2.97,0,-8.07,4,1.15,,,,
STX,2,0,-10.19,0,-12.87,0,-7.4,0,-7.1,,,,
STX,3,0,-1.58,1,6.02,1,0.82,1,3.83,,,,
NTAP,1,4,7.0,0,-8.16,4,8.67,0,-11.94,,,,
NTAP,2,0,-7.33,2,6.36,0,-7.0,2,3.84,,,,
NTAP,3,1,-0.0,1,10.26,0,-0.21,1,7.79,,,,
TDY,1,0,-0.27,4,11.51,4,0.77,4,9.02,,,,
TDY,2,0,-0.24,2,12.89,0,-5.26,2,11.44,,,,
TDY,3,0,-11.49,1,19.48,0,-5.95,1,21.11,,,,
LDOS,1,4,22.19,4,2.93,4,11.26,4,8.83,,,,
LDOS,2,0,-3.04,2,5.03,2,0.87,2,0.24,,,,
LDOS,3,0,-7.49,1,52.34,0,-2.2,1,44.4,,,,
IT,1,4,2.19,4,7.5,4,2.21,4,6.79,,,,
IT,2,0,-3.99,2,25.88,0,-4.49,2,20.05,,,,
IT,3,0,-9.97,1,32.85,0,-15.34,1,35.46,,,,
JKHY,1,4,21.3,4,9.36,4,10.05,4,9.3,,,,
JKHY,2,0,-8.86,2,1.94,0,-4.39,2,5.57,,,,
JKHY,3,1,0.58,1,6.05,1,2.45,1,5.94,,,,
NLOK,1,4,1.52,4,4.8,4,1.95,4,1.38,,,,
NLOK,2,2,2.13,0,-4.53,2,-0.0,0,-4.03,,,,
NLOK,3,1,0.39,0,-33.8,0,-0.65,0,-36.33,,,,
FFIV,1,4,5.37,4,3.03,4,5.41,4,4.83,,,,
FFIV,2,0,-1.04,2,4.77,0,-0.03,2,3.75,,,,
FFIV,3,1,0.32,1,3.65,1,2.48,1,3.41,,,,
IPGP,1,4,11.98,0,-24.25,4,7.43,0,-9.95,,,,
IPGP,2,2,32.63,2,0.42,2,18.92,2,3.62,,,,
IPGP,3,0,-17.17,1,44.31,0,-18.71,1,40.02,,,,
