Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
NEE,1,4,7.12,4,16.83,4,13.82,4,14.81,,,,
NEE,2,0,-13.27,2,0.22,0,-8.87,0,-2.6,,,,
NEE,3,1,15.7,1,11.92,1,0.54,1,6.41,,,,
DUK,1,4,28.57,4,7.87,4,23.98,4,2.25,,,,
DUK,2,0,-10.26,2,0.13,0,-8.88,2,4.0,,,,
DUK,3,1,14.0,1,8.95,0,-2.52,1,3.61,,,,
SO,1,4,27.33,0,-0.38,4,21.65,0,-8.84,,,,
SO,2,0,-1.37,0,-2.53,0,-7.93,2,2.01,,,,
SO,3,1,38.32,1,16.24,1,2.12,1,15.76,,,,
AEP,1,4,11.97,4,5.1,4,16.38,0,-3.92,,,,
AEP,2,0,-1.44,0,-4.03,0,-6.76,2,5.0,,,,
AEP,3,1,25.19,1,0.47,1,3.64,0,-5.83,,,,
EXC,1,4,33.88,4,2.7,4,20.86,0,-4.28,,,,
EXC,2,0,-26.53,0,-1.13,0,-16.26,2,7.21,,,,
EXC,3,1,12.86,1,10.76,1,4.85,1,6.99,,,,
SRE,1,0,-19.72,4,14.05,4,4.67,4,7.2,,,,
SRE,2,0,-24.79,2,2.22,0,-16.61,2,4.79,,,,
SRE,3,1,20.31,1,19.61,1,2.92,0,-5.33,,,,
XEL,1,4,42.56,4,6.54,4,23.05,0,-0.07,,,,
XEL,2,0,-2.44,0,-1.88,0,-8.0,2,1.17,,,,
XEL,3,0,-2.47,1,3.87,1,0.46,1,2.67,,,,
ES,1,4,21.16,4,3.75,4,19.99,4,0.93,,,,
ES,2,0,-13.74,2,1.65,0,-17.72,2,8.98,,,,
ES,3,1,19.35,1,3.74,1,15.77,1,1.48,,,,
WEC,1,4,6.08,4,5.85,4,6.61,0,-2.04,,,,
WEC,2,0,-31.27,0,-9.31,0,-26.55,2,0.41,,,,
WEC,3,1,40.2,1,4.64,1,8.27,1,2.36,,,,
PEG,1,4,14.68,4,6.08,4,15.61,4,3.92,,,,
PEG,2,0,-35.59,0,-0.38,0,-26.29,2,6.62,,,,
PEG,3,1,32.98,1,7.09,1,12.23,1,1.43,,,,
AWK,1,4,22.22,4,6.44,4,15.9,4,4.94,,,,
AWK,2,2,17.14,0,-2.36,2,10.31,2,2.47,,,,
AWK,3,0,-5.92,1,5.74,0,-6.43,1,1.67,,,,
EIX,1,4,98.88,4,51.35,4,55.47,0,-2.45,,,,
EIX,2,2,17.94,0,-3.24,2,7.06,2,2.74,,,,
EIX,3,0,-40.73,0,-27.44,0,-6.06,1,3.8,,,,
ED,1,4,29.25,4,8.48,4,22.58,4,1.92,,,,
ED,2,0,-18.63,0,-0.51,0,-15.92,2,2.53,,,,
ED,3,1,19.6,1,5.84,1,9.59,0,-0.35,,,,
DTE,1,4,23.95,4,8.48,4,27.14,0,-10.86,,,,
DTE,2,0,-15.08,0,-0.72,0,-14.53,2,12.73,,,,
DTE,3,1,14.94,1,11.53,0,-4.0,1,18.6,,,,
PPL,1,4,9.19,4,2.01,4,8.4,0,-0.21,,,,
PPL,2,0,-17.55,2,1.67,0,-15.34,2,4.54,,,,
PPL,3,1,12.1,1,0.91,1,5.12,0,-0.93,,,,
ETR,1,4,31.76,4,11.05,4,20.34,0,-1.19,,,,
ETR,2,2,1.68,0,-10.56,0,-0.59,0,-0.59,,,,
ETR,3,1,8.05,0,-2.36,0,-1.43,1,2.11,,,,
AEE,1,4,20.3,0,-1.86,4,16.54,0,-6.04,,,,
AEE,2,2,19.81,2,0.43,0,-2.84,2,1.69,,,,
AEE,3,1,16.07,1,5.66,1,9.04,1,1.58,,,,
CMS,1,4,17.69,4,6.92,4,9.15,0,-0.41,,,,
CMS,2,0,-28.45,0,-4.19,0,-22.59,2,4.41,,,,
CMS,3,1,20.91,1,6.15,1,3.84,1,2.88,,,,
FE,1,4,23.47,0,-0.95,4,19.83,0,-1.98,,,,
FE,2,0,-2.47,2,7.88,0,-6.9,2,3.01,,,,
FE,3,0,-6.05,1,10.35,1,9.15,1,2.25,,,,
AES,1,4,44.27,0,-8.74,4,14.79,0,-5.1,,,,
AES,2,2,3.35,2,3.5,0,-5.18,2,1.96,,,,
AES,3,0,-9.46,1,4.36,0,-3.83,1,2.42,,,,
LNT,1,4,31.01,4,11.49,4,20.56,4,3.2,,,,
LNT,2,0,-4.11,2,5.42,0,-16.66,2,4.5,,,,
LNT,3,1,9.43,1,7.29,1,4.04,1,1.87,,,,
EVRG,1,4,47.21,4,26.66,4,28.1,4,20.39,,,,
EVRG,2,2,9.06,2,57.69,2,6.09,2,66.31,,,,
EVRG,3,1,12.41,0,-1.18,0,-1.32,1,0.35,,,,
ATO,1,0,-12.81,4,8.49,0,-3.67,0,-2.78,,,,
ATO,2,0,-37.99,2,4.42,0,-49.57,0,-6.86,,,,
ATO,3,1,20.05,1,4.43,1,11.66,1,12.89,,,,
CNP,1,4,10.44,4,33.91,4,2.98,4,16.17,,,,
CNP,2,0,-19.39,0,-3.24,0,-27.32,2,10.14,,,,
CNP,3,0,-0.73,1,1.18,0,-32.91,1,27.71,,,,
PNW,1,4,60.38,0,-5.77,4,34.95,0,-5.96,,,,
