Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
AMT,1,4,5.12,4,55.83
AMT,2,2,5.52,0,-6.07
AMT,3,0,-32.75,1,63.93
PLD,1,0,-47.52,0,-17.15
PLD,2,0,-16.23,2,37.1
PLD,3,1,242.1,1,17.56
CCI,1,4,43.6,4,16.78
CCI,2,2,6.44,2,52.01
CCI,3,0,-12.18,0,-15.36
EQIX.OQ,1,0,-5.55,4,21.1
EQIX.OQ,2,2,5.72,2,265.67
EQIX.OQ,3,0,-7.23,0,-32.11
DLR,1,0,-93.67,4,7.07
DLR,2,2,32.52,0,-21.52
DLR,3,0,-74.2,1,7.69
PSA,1,4,0.74,0,-2.23
PSA,2,0,-21.45,2,10.99
PSA,3,0,-4.31,0,-1.27
SBAC.OQ,1,4,8.58,4,125.59
SBAC.OQ,2,2,128.22,0,-48.48
SBAC.OQ,3,0,-234.18,1,8.72
SPG,1,0,-9.49,4,2.97
SPG,2,0,-39.86,2,4.42
SPG,3,0,-29.99,1,10.04
WELL.N,1,0,-307.29,4,17.44
WELL.N,2,0,-20.51,2,71.65
WELL.N,3,0,-66.12,0,-62.93
WY,1,4,345.05,0,-87.2
WY,2,0,-41.77,2,39.99
WY,3,1,189.88,1,29.83
AVB,1,0,-13.22,0,-17.1
AVB,2,0,-4.2,2,10.87
AVB,3,0,-8.75,1,3.48
CBRE.N,1,4,64.88,4,36.79
CBRE.N,2,0,-47.55,2,23.5
CBRE.N,3,0,-66.04,1,30.05
O,1,0,-18.15,4,12.12
O,2,0,-6.93,2,8.6
O,3,0,-0.53,1,3.12
ARE,1,0,-44.1,4,3.9
ARE,2,2,507.61,2,117.39
ARE,3,0,-82.5,1,113.23
EQR,1,0,-24.81,4,54.77
EQR,2,2,12.71,2,4.8
EQR,3,0,-41.18,0,-2.4
VTR,1,4,126.27,4,12.27
VTR,2,0,-124.56,0,-25.96
VTR,3,1,184.57,1,7.4
PEAK.N,1,0,-168.23,0,-79.76
PEAK.N,2,2,1029.63,2,50.42
PEAK.N,3,0,-94.79,1,28.88
ESS,1,0,-3.54,4,26.94
ESS,2,0,-7.89,2,1.9
ESS,3,0,-43.86,1,22.34
DRE,1,4,32.62,4,13.51
DRE,2,2,61.18,0,-23.55
DRE,3,0,-54.43,1,13.8
EXR,1,4,10.73,4,11.78
EXR,2,0,-4.07,2,0.25
EXR,3,0,-3.84,0,-1.89
MAA,1,0,-22.97,4,11.04
MAA,2,2,105.44,2,2.72
MAA,3,0,-36.04,0,-12.78
BXP,1,0,-40.47,4,34.59
BXP,2,2,71.87,0,-5.7
BXP,3,0,-38.5,1,20.83
UDR,1,0,-770.85,4,153.08
UDR,2,0,-156.34,0,-16.04
UDR,3,0,-94.54,0,-1.47
HST.N,1,0,-27.54,4,28.72
HST.N,2,0,-4131.64,2,11.45
HST.N,3,0,-93.16,0,-8.73
IRM,1,4,60.41,0,-23.44
IRM,2,0,-70.72,2,30.39
IRM,3,1,181.12,1,108.07
REG.OQ,1,4,143.55,4,5.49
REG.OQ,2,0,-83.21,2,56.32
REG.OQ,3,0,-8.56,0,-36.54
KIM,1,0,-104.88,4,8.52
KIM,2,2,892.71,0,-29.33
KIM,3,1,19.47,0,-2.1
FRT,1,4,876.3,4,1.33
FRT,2,0,-106.54,0,-1.52
FRT,3,0,-11.22,1,-0.0
VNO,1,0,-70.49,0,-104.43
VNO,2,0,-427.47,2,29.2
VNO,3,0,-17.58,0,-29.51
AIRC.L,1,0,-85.35,0,-12.92
AIRC.L,2,0,-2.48,0,-3.21
AIRC.L,3,0,-1349.9,0,-3.26
SLG,1,0,-120.6,4,3.26
SLG,2,0,-111.43,2,1822.72
SLG,3,1,31.2,1,150.12
