Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AMT,1,4,5.63,4,1.92,4,5.22,4,1.88,4,5.12,4,55.83
AMT,2,0,-4.73,2,14.22,0,-4.02,2,11.65,2,5.52,0,-6.07
AMT,3,1,4.92,1,15.32,1,3.61,1,15.18,0,-32.75,1,63.93
PLD,1,0,-14.02,4,11.38,0,-12.39,4,13.8,0,-47.52,0,-17.15
PLD,2,2,26.97,2,9.48,2,23.74,2,8.23,0,-16.23,2,37.1
PLD,3,1,23.01,1,4.9,1,21.99,1,4.65,1,242.1,1,17.56
CCI,1,4,4.72,4,7.12,4,3.19,4,7.32,4,43.6,4,16.78
CCI,2,2,0.74,2,30.01,2,1.34,2,26.2,2,6.44,2,52.01
CCI,3,1,9.61,1,9.35,1,5.65,1,8.52,0,-12.18,0,-15.36
EQIX,1,4,8.59,4,7.06,4,6.15,4,7.47,0,-5.55,4,21.1
EQIX,2,0,-2.57,2,15.89,0,-1.05,2,17.36,2,5.72,2,265.67
EQIX,3,1,5.97,1,20.28,1,3.63,1,20.37,0,-7.23,0,-32.11
DLR,1,4,2.81,4,2.17,4,3.78,4,4.48,0,-93.67,4,7.07
DLR,2,2,60.64,2,24.71,2,32.38,2,24.0,2,32.52,0,-21.52
DLR,3,0,-26.2,1,13.76,0,-6.8,1,15.01,0,-74.2,1,7.69
PSA,1,4,6.6,4,0.07,4,3.43,4,2.05,4,0.74,0,-2.23
PSA,2,0,-3.81,2,4.02,0,-1.77,2,4.14,0,-21.45,2,10.99
PSA,3,0,-6.64,1,4.68,1,1.26,1,4.97,0,-4.31,0,-1.27
SBAC,1,4,1.59,4,8.69,4,3.1,4,7.98,4,8.58,4,125.59
SBAC,2,0,-1.68,2,9.22,0,-1.9,2,7.99,2,128.22,0,-48.48
SBAC,3,1,2.82,1,5.83,1,0.66,1,5.79,0,-234.18,1,8.72
SPG,1,0,-2.59,4,0.42,0,-0.16,4,0.59,0,-9.49,4,2.97
SPG,2,0,-22.28,2,1.59,0,-21.58,2,1.81,0,-39.86,2,4.42
