Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
AAPL.OQ,1,4,13.68,4,10.23
AAPL.OQ,2,2,1.18,0,-2.62
AAPL.OQ,3,0,-48.84,1,32.58
MSFT.OQ,1,4,24.13,4,14.04
MSFT.OQ,2,2,4.03,2,30.75
MSFT.OQ,3,0,-7.03,1,7.56
NVDA.OQ,1,4,63.06,0,-24.81
NVDA.OQ,2,2,0.27,2,32.47
NVDA.OQ,3,0,-4.18,1,77.84
ADBE.OQ,1,4,136.09,4,71.32
ADBE.OQ,2,0,-13.18,2,13.5
ADBE.OQ,3,1,15.9,1,65.0
INTC.OQ,1,0,-15.34,4,8.67
INTC.OQ,2,0,-11.27,2,39.22
INTC.OQ,3,0,-15.95,1,31.64
CRM,1,4,69.83,0,-81.31
CRM,2,2,525.16,2,128.42
CRM,3,1,139.83,1,43.3
CSCO.OQ,1,0,-4.83,0,-4.24
CSCO.OQ,2,0,-3.12,2,28.85
CSCO.OQ,3,0,-0.67,1,9.37
AVGO.OQ,1,4,92.84,0,-14.63
AVGO.OQ,2,2,22.17,0,-36.41
AVGO.OQ,3,1,54.05,1,136.99
QCOM.OQ,1,4,248.7,4,112.36
QCOM.OQ,2,2,31.69,2,196.63
QCOM.OQ,3,0,-28.44,0,-161.46
ACN,1,4,16.52,4,7.26
ACN,2,2,4.61,2,11.32
ACN,3,0,-1.78,1,9.28
TXN.OQ,1,0,-3.2,0,-6.25
TXN.OQ,2,2,20.94,2,51.22
TXN.OQ,3,1,10.47,1,5.81
ORCL.N,1,4,8.96,4,5.89
ORCL.N,2,0,-22.63,2,14.83
ORCL.N,3,1,25.27,1,10.41
AMD.OQ,1,4,174.58,4,17.05
AMD.OQ,2,0,-3.32,2,126.92
AMD.OQ,3,0,-39.85,0,-101.91
IBM,1,4,9.9,4,1.61
IBM,2,0,-23.09,0,-0.52
IBM,3,0,-43.9,0,-8.41
NOW,1,0,-18.09,4,2448.55
NOW,2,0,-28.53,0,-80.18
NOW,3,0,-90.6,0,-52.96
INTU.OQ,1,0,-55.67,4,17.28
INTU.OQ,2,0,-58.95,2,12.72
INTU.OQ,3,1,351.67,1,38.64
FIS,1,0,-23.21,0,-28.43
FIS,2,2,18.14,2,86.47
FIS,3,1,45.61,0,-6.1
MU.OQ,1,4,26.97,0,-60.01
MU.OQ,2,2,95.75,0,-48.55
MU.OQ,3,0,-8.3,1,162.05
AMAT.OQ,1,4,37.58,4,35.93
AMAT.OQ,2,2,4.3,0,-31.08
AMAT.OQ,3,0,-12.68,1,23.65
LRCX.OQ,1,4,18.33,4,10.22
LRCX.OQ,2,2,21.82,0,-17.85
LRCX.OQ,3,1,13.17,1,77.01
ADSK.OQ,1,4,34.79,4,447.62
ADSK.OQ,2,2,47.95,0,-28.34
ADSK.OQ,3,0,-51.9,0,-81.36
FISV.OQ,1,4,154.1,0,-21.68
FISV.OQ,2,2,7.33,2,14.32
FISV.OQ,3,0,-61.58,1,6.1
ADI.OQ,1,4,0.34,0,-10.79
ADI.OQ,2,2,49.39,0,-9.75
ADI.OQ,3,1,26.03,1,78.27
CTSH.OQ,1,0,-9.26,4,13.81
CTSH.OQ,2,2,9.56,2,4.22
CTSH.OQ,3,0,-22.08,1,43.81
KLAC.OQ,1,4,11.19,4,27.27
KLAC.OQ,2,2,53.49,0,-2.82
KLAC.OQ,3,0,-28.85,1,28.91
APH,1,4,32.66,0,-7.31
APH,2,2,7.32,2,25.0
APH,3,0,-23.61,1,23.33
TEL,1,4,2757.59,0,-75.16
TEL,2,0,-92.89,0,-31.97
TEL,3,1,262.67,1,96.64
SNPS.OQ,1,0,-23.81,4,22.16
SNPS.OQ,2,2,47.03,0,-3.84
SNPS.OQ,3,1,55.52,1,294.93
XLNX.OQ,1,4,105.52,0,-6.16
XLNX.OQ,2,0,-48.26,2,25.38
XLNX.OQ,3,1,15.26,1,16.95
CDNS.OQ,1,4,22.93,4,181.18
CDNS.OQ,2,2,6.64,2,211.28
CDNS.OQ,3,0,-81.49,0,-50.46
MCHP.OQ,1,0,-21.89,4,48.08
MCHP.OQ,2,2,22.9,0,-49.95
MCHP.OQ,3,0,-64.32,1,184.64
HPQ,1,0,-13.22,4,8.13
HPQ,2,2,1.17,2,8.9
HPQ,3,0,-5.46,1,15.78
ANSS.OQ,1,0,-21.94,4,6.94
ANSS.OQ,2,2,110.68,2,49.93
ANSS.OQ,3,0,-72.35,1,8.31
MSI,1,4,50.45,0,-0.89
MSI,2,2,3.96,2,33.07
MSI,3,0,-41.03,1,19.24
GLW,1,0,-3.57,4,17.44
GLW,2,2,165.97,2,318.27
GLW,3,1,100.09,0,-117.8
SWKS.OQ,1,4,75.67,0,-2.05
SWKS.OQ,2,0,-21.69,0,-21.6
SWKS.OQ,3,0,-29.14,1,17.17
FLT,1,4,15.27,4,26.38
FLT,2,0,-23.18,2,35.36
FLT,3,0,-5.89,1,23.49
KEYS.N,1,4,20.36,0,-2.17
KEYS.N,2,2,153.88,0,-5.57
KEYS.N,3,0,-47.35,1,321.69
FTV,1,4,83.76,0,-21.19
FTV,2,2,49.86,2,7.86
FTV,3,0,-53.22,1,7.27
MXIM.OQ,1,0,-15.01,0,-20.79
MXIM.OQ,2,2,29.96,2,19.55
MXIM.OQ,3,1,9.6,1,25.37
VRSN.OQ,1,4,15.95,4,64.98
VRSN.OQ,2,0,-55.13,2,18.83
VRSN.OQ,3,1,128.03,1,7.91
PAYC.N,1,0,-69.96,4,32.26
PAYC.N,2,2,45.93,2,11.91
PAYC.N,3,1,38.7,1,76.21
ZBRA.OQ,1,4,28.96,4,33.07
ZBRA.OQ,2,2,11.6,2,224.7
ZBRA.OQ,3,0,-48.01,1,4187.7
TER.OQ,1,0,-11.91,4,18.08
TER.OQ,2,2,30.71,0,-3.34
TER.OQ,3,1,38.43,1,136.97
CDW.OQ,1,4,4.69,4,19.45
CDW.OQ,2,2,12.8,2,34.43
CDW.OQ,3,0,-7.58,1,21.38
QRVO.OQ,1,4,23.55,4,314.32
QRVO.OQ,2,2,48.84,2,48.0
QRVO.OQ,3,0,-58.09,1,174515.82
TYL,1,0,-27.44,4,1.33
TYL,2,2,12.59,0,-0.76
TYL,3,0,-0.69,1,25.35
GRMN.OQ,1,4,69.81,4,36.39
GRMN.OQ,2,2,14.32,0,-2.62
GRMN.OQ,3,0,-55.43,1,37.39
BR,1,0,-49.77,4,0.94
BR,2,2,34.22,2,8.84
BR,3,1,527.92,1,6.29
AKAM.OQ,1,0,-2.53,4,33.37
AKAM.OQ,2,2,21.32,2,28.94
AKAM.OQ,3,0,-3.96,0,-3.5
CTXS.OQ,1,0,-18.45,4,82.58
CTXS.OQ,2,0,-34.01,2,11.82
CTXS.OQ,3,0,-34.32,1,3.18
WDC.OQ,1,0,-141.33,0,-58.12
WDC.OQ,2,2,603.47,0,-119.62
WDC.OQ,3,1,116.4,1,332.81
HPE,1,4,40.54,0,-55.63
HPE,2,2,437.12,0,-33.82
HPE,3,0,-118.14,1,242.97
ANET.N,1,4,16.26,4,43.83
ANET.N,2,2,5.44,2,23.03
ANET.N,3,0,-46.7,1,140.23
STX.OQ,1,4,9.32,0,-41.65
STX.OQ,2,0,-35.46,2,16.04
STX.OQ,3,1,1.99,1,92.02
NTAP.OQ,1,4,92.57,0,-20.06
NTAP.OQ,2,0,-57.61,2,51.64
NTAP.OQ,3,0,-23.9,1,57.99
TDY,1,4,0.21,4,16.89
TDY,2,2,13.99,2,36.71
TDY,3,0,-28.95,1,16.49
LDOS.N,1,0,-4.49,4,14.42
LDOS.N,2,2,39.04,2,83.66
LDOS.N,3,0,-33.26,0,-30.09
IT,1,0,-17.47,4,56.8
IT,2,0,-24.94,2,334.24
IT,3,1,8.21,0,-85.2
JKHY.OQ,1,4,46.56,4,10.95
JKHY.OQ,2,0,-18.38,2,6.07
JKHY.OQ,3,1,6.07,1,14.06
NLOK.OQ,1,0,-29.34,4,1771.63
NLOK.OQ,2,2,139.58,0,-73.98
NLOK.OQ,3,0,-78.02,1,511.49
FFIV.OQ,1,4,10.16,0,-25.35
FFIV.OQ,2,2,13.22,0,-7.9
FFIV.OQ,3,0,-41.55,1,18.73
IPGP.OQ,1,4,85.77,0,-48.21
IPGP.OQ,2,2,7.78,2,4.93
IPGP.OQ,3,1,47.91,1,49.75
