Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AAPL,1,4,8.86,4,6.67,4,8.4,4,5.51,4,13.68,4,10.23
AAPL,2,2,1.39,0,-3.38,2,2.35,0,-2.04,2,1.18,0,-2.62
AAPL,3,0,-36.48,1,15.48,0,-36.49,1,15.86,0,-48.84,1,32.58
MSFT,1,4,1.78,4,16.89,0,-2.31,4,13.65,4,24.13,4,14.04
MSFT,2,2,6.85,2,15.17,2,8.6,2,14.03,2,4.03,2,30.75
MSFT,3,0,-2.04,1,15.56,0,-5.11,1,14.28,0,-7.03,1,7.56
NVDA,1,4,21.51,0,-5.62,4,22.25,0,-6.81,4,63.06,0,-24.81
NVDA,2,2,21.56,2,23.17,2,25.52,2,20.61,2,0.27,2,32.47
NVDA,3,0,-0.55,1,43.29,0,-0.81,1,40.58,0,-4.18,1,77.84
ADBE,1,4,7.08,4,17.34,4,6.17,4,15.19,4,136.09,4,71.32
ADBE,2,2,3.13,2,21.23,2,3.1,2,23.71,0,-13.18,2,13.5
ADBE,3,1,2.8,1,24.54,1,1.2,1,23.67,1,15.9,1,65.0
INTC,1,0,-7.29,0,-3.65,0,-7.07,4,1.58,0,-15.34,4,8.67
INTC,2,0,-12.56,2,11.87,0,-0.5,2,12.89,0,-11.27,2,39.22
INTC,3,1,1.16,1,6.77,0,-1.89,1,5.68,0,-15.95,1,31.64
CRM,1,4,4.82,4,30.84,4,5.2,4,28.73,4,69.83,0,-81.31
CRM,2,2,6.34,2,26.57,2,5.88,2,26.02,2,525.16,2,128.42
CRM,3,0,-0.55,1,25.21,1,0.29,1,24.93,1,139.83,1,43.3
CSCO,1,0,-1.34,0,-3.01,0,-1.85,0,-5.02,0,-4.83,0,-4.24
CSCO,2,0,-1.12,2,6.29,2,1.43,2,5.22,0,-3.12,2,28.85
CSCO,3,1,0.09,1,1.68,0,-0.18,1,2.76,0,-0.67,1,9.37
AVGO,1,4,10.04,4,9.42,4,11.1,4,5.71,4,92.84,0,-14.63
AVGO,2,2,3.23,2,14.8,2,1.38,2,8.39,2,22.17,0,-36.41
AVGO,3,0,-1.71,1,25.21,0,-1.98,1,18.21,1,54.05,1,136.99
QCOM,1,4,98.36,0,-8.92,4,70.57,0,-3.06,4,248.7,4,112.36
QCOM,2,0,-3.63,2,26.74,0,-6.19,2,7.35,2,31.69,2,196.63
QCOM,3,0,-1.52,0,-0.79,1,2.74,1,1.59,0,-28.44,0,-161.46
ACN,1,4,13.3,4,4.97,4,8.55,4,2.57,4,16.52,4,7.26
ACN,2,0,-2.5,2,6.57,0,-1.42,2,5.42,2,4.61,2,11.32
ACN,3,1,5.05,1,12.84,0,-1.35,1,13.31,0,-1.78,1,9.28
TXN,1,4,17.82,0,-10.83,4,17.85,0,-8.88,0,-3.2,0,-6.25
