Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
AAPL.OQ,6,5
MSFT.OQ,6,7
NVDA.OQ,6,3
ADBE.OQ,5,7
INTC.OQ,0,7
CRM,7,3
CSCO.OQ,0,3
AVGO.OQ,7,1
QCOM.OQ,6,6
ACN,6,7
TXN.OQ,3,3
ORCL.N,5,7
AMD.OQ,4,6
IBM,4,4
NOW,0,4
INTU.OQ,1,7
FIS,3,2
MU.OQ,6,1
AMAT.OQ,6,5
LRCX.OQ,7,5
ADSK.OQ,6,4
FISV.OQ,6,3
ADI.OQ,7,1
CTSH.OQ,2,7
KLAC.OQ,6,5
APH,6,3
TEL,5,1
SNPS.OQ,3,5
XLNX.OQ,5,3
CDNS.OQ,6,6
MCHP.OQ,2,5
HPQ,2,7
ANSS.OQ,2,7
MSI,6,3
GLW,3,6
SWKS.OQ,4,1
FLT,4,7
KEYS.N,6,1
FTV,6,3
MXIM.OQ,3,3
VRSN.OQ,5,7
PAYC.N,3,7
ZBRA.OQ,6,7
TER.OQ,3,5
CDW.OQ,6,7
QRVO.OQ,6,7
TYL,2,5
GRMN.OQ,6,5
BR,3,7
AKAM.OQ,2,6
CTXS.OQ,0,7
WDC.OQ,3,1
HPE,6,1
ANET.N,6,7
STX.OQ,5,3
NTAP.OQ,4,3
TDY,6,7
LDOS.N,2,6
IT,1,6
JKHY.OQ,5,7
NLOK.OQ,2,5
FFIV.OQ,6,1
IPGP.OQ,7,3
