Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
LIN,5,7,4,7,,,23
SHW,6,7,7,7,,,27
APD,4,7,4,1,,,16
ECL,4,7,4,7,,,22
DD,4,2,5,2,,,13
NEM,6,5,4,5,,,20
DOW,4,3,4,3,,,14
FCX,6,3,6,3,,,18
PPG,4,4,4,3,,,15
CTVA,3,2,3,2,,,10
LYB,6,3,4,3,,,16
VMC,2,7,2,7,,,18
NUE,5,3,5,3,,,16
MLM,6,7,6,7,,,26
CE,5,3,5,3,,,16
FMC,1,7,1,6,,,15
ALB,4,7,2,7,,,20
EMN,5,3,5,3,,,16
IFF,5,7,5,7,,,24
MOS,6,3,6,3,,,18
CF,2,6,2,7,,,17
