Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
FB,6,7,6,7,,,26
GOOGL,4,7,4,7,,,22
GOOG,4,7,4,7,,,22
DIS,0,3,4,3,,,10
VZ,5,6,4,7,,,22
NFLX,7,7,7,7,,,28
CMCSA,4,7,4,7,,,22
T,0,6,4,6,,,16
CHTR,6,7,4,7,,,24
TMUS,7,7,6,7,,,27
ATVI,6,3,6,3,,,18
TWTR,4,6,4,6,,,20
EA,3,5,2,5,,,15
TTWO,6,7,6,7,,,26
VIAC,3,3,0,7,,,13
OMC,4,3,4,2,,,13
LYV,4,7,4,7,,,22
LUMN,0,3,0,3,,,6
FOXA,5,6,4,7,,,22
IPG,6,6,4,7,,,23
DISCK,0,7,4,7,,,18
DISH,6,0,4,0,,,10
NWSA,4,3,4,3,,,14
DISCA,0,7,4,7,,,18
FOX,5,6,4,7,,,22
NWS,4,3,4,3,,,14
