Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
FB,6,7,6,7,6,7,39
GOOGL,4,7,4,7,6,7,35
GOOG,4,7,4,7,6,7,35
DIS,0,3,4,3,1,1,12
VZ,5,6,4,7,4,6,32
NFLX,7,7,7,7,5,7,40
CMCSA,4,7,4,7,2,7,31
T,0,6,4,6,1,2,19
CHTR,6,7,4,7,6,6,36
TMUS,7,7,6,7,5,7,39
ATVI,6,3,6,3,6,6,30
TWTR,4,6,4,6,4,7,31
EA,3,5,2,5,1,5,21
TTWO,6,7,6,7,4,7,37
VIAC,3,3,0,7,2,3,18
OMC,4,3,4,2,4,7,24
LYV,4,7,4,7,0,4,26
LUMN,0,3,0,3,2,2,10
FOXA,5,6,4,7,6,3,31
IPG,6,6,4,7,6,6,35
DISCK,0,7,4,7,0,7,25
DISH,6,0,4,0,6,2,18
NWSA,4,3,4,3,4,2,20
DISCA,0,7,4,7,0,7,25
FOX,5,6,4,7,2,5,29
NWS,4,3,4,3,4,2,20
