Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AMZN,6,7,6,7,6,6,38
HD,3,7,3,7,3,7,30
NKE,6,3,6,3,2,2,22
MCD,4,7,4,4,4,7,30
LOW,3,7,3,7,3,5,28
SBUX,4,3,4,3,4,3,21
BKNG,4,7,4,7,6,7,35
TJX,6,7,6,7,4,7,37
GM,5,0,5,2,5,2,19
ROST,6,7,6,7,6,7,39
CMG,4,7,4,7,5,7,34
F,4,0,4,3,6,5,22
EBAY,6,3,6,7,3,6,31
MAR,4,7,4,7,4,1,27
APTV,4,2,4,3,4,2,19
ORLY,6,7,6,7,2,7,35
YUM,4,5,4,0,6,6,25
BLL,7,3,7,3,6,7,33
HLT,4,7,4,7,0,7,29
VFC,4,5,4,5,4,2,24
AZO,3,7,3,7,3,6,29
DHI,7,7,7,7,7,7,42
BBY,6,7,6,7,6,7,39
ETSY,6,7,6,7,6,7,39
LEN,7,7,7,7,6,2,36
IP,4,3,4,3,1,3,18
LVS,4,7,4,7,0,3,25
AMCR,3,4,3,7,2,0,19
TSCO,2,7,2,7,2,7,27
EXPE,4,7,4,7,0,7,29
KMX,2,7,2,7,2,7,27
DRI,6,3,6,3,6,3,27
ULTA,6,7,6,7,6,7,39
DPZ,6,7,6,7,0,7,33
NVR,6,7,6,7,4,7,37
POOL,3,7,3,7,3,7,30
TIF,6,3,6,3,6,3,27
RCL,0,7,0,7,0,7,21
PKG,4,3,4,3,5,3,22
MGM,4,7,4,7,0,0,22
FBHS,4,7,4,7,7,7,36
PHM,6,3,6,7,2,7,31
WHR,4,0,4,1,4,4,17
HAS,4,5,4,5,4,5,27
WRK,5,3,5,3,6,7,29
CCL,1,7,1,7,0,2,18
AAP,5,6,5,6,2,6,30
WYNN,4,3,4,3,0,3,17
LKQ,5,7,4,7,5,6,34
BWA,4,3,4,3,5,3,22
LB,6,2,6,3,6,2,25
ROL,6,7,6,7,6,7,39
TPR,4,3,4,3,4,2,20
MHK,4,1,4,3,4,1,17
NCLH,0,7,0,7,0,7,21
SEE,4,7,4,7,5,6,33
PVH,6,7,6,7,4,2,32
LEG,4,6,4,7,4,4,29
RL,4,2,4,2,4,3,19
HBI,6,7,6,7,2,6,34
GPS,6,7,6,3,4,2,28
UAA,4,7,4,7,4,6,32
UA,4,7,4,7,4,6,32
