Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
PG,6,6,6,7,,,25
KO,4,4,4,4,,,16
WMT,2,7,2,7,,,18
PEP,6,7,6,7,,,26
COST,3,7,2,7,,,19
PM,4,7,4,7,,,22
TGT,2,7,2,7,,,18
MDLZ,4,2,4,2,,,12
MO,7,7,7,7,,,28
CL,5,5,5,7,,,22
EL,4,3,4,3,,,14
DG,3,7,3,7,,,20
KMB,1,4,5,3,,,13
SYY,4,3,4,3,,,14
STZ,6,7,6,7,,,26
GIS,5,6,5,7,,,23
MNST,7,7,7,7,,,28
ADM,2,2,2,6,,,12
DLTR,6,4,0,7,,,17
CLX,3,7,3,7,,,20
KR,1,5,1,5,,,12
MKC,6,6,6,7,,,25
KHC,2,0,2,2,,,6
HSY,4,7,4,7,,,22
CHD,7,7,7,7,,,28
TSN,6,5,5,7,,,23
CAG,2,6,2,7,,,17
K,3,2,3,6,,,14
BF-B,6,1,6,7,,,20
HRL,5,4,5,5,,,19
SJM,5,6,5,2,,,18
LW,4,3,4,7,,,18
CPB,5,7,5,7,,,24
TAP,6,5,6,1,,,18
NWL,6,1,6,1,,,14
