Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
PG,6,6,6,7,4,7,36
KO,4,4,4,4,1,6,23
WMT,2,7,2,7,3,4,25
PEP,6,7,6,7,6,3,35
COST,3,7,2,7,3,7,29
PM,4,7,4,7,6,3,31
TGT,2,7,2,7,2,6,26
MDLZ,4,2,4,2,4,7,23
MO,7,7,7,7,3,3,34
CL,5,5,5,7,5,3,30
EL,4,3,4,3,4,3,21
DG,3,7,3,7,3,7,30
KMB,1,4,5,3,3,3,19
SYY,4,3,4,3,4,3,21
STZ,6,7,6,7,4,3,33
GIS,5,6,5,7,5,6,34
MNST,7,7,7,7,7,7,42
ADM,2,2,2,6,6,3,21
DLTR,6,4,0,7,6,5,28
CLX,3,7,3,7,7,7,34
KR,1,5,1,5,1,2,15
MKC,6,6,6,7,6,7,38
KHC,2,0,2,2,4,5,15
HSY,4,7,4,7,4,3,29
CHD,7,7,7,7,5,7,40
TSN,6,5,5,7,6,5,34
CAG,2,6,2,7,6,6,29
K,3,2,3,6,7,1,22
BF-B,6,1,6,7,6,5,31
HRL,5,4,5,5,4,3,26
SJM,5,6,5,2,3,4,25
LW,4,3,4,7,4,3,25
CPB,5,7,5,7,5,4,33
TAP,6,5,6,1,6,1,25
NWL,6,1,6,1,6,5,25
