Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
XOM,4,3,4,3,,,14
CVX,4,3,4,3,,,14
COP,4,3,4,3,,,14
SLB,4,3,0,7,,,14
EOG,4,3,4,3,,,14
PSX,4,1,4,3,,,12
KMI,4,6,4,3,,,17
VLO,2,3,4,3,,,12
PXD,4,3,4,7,,,18
OKE,4,7,4,3,,,18
HAL,4,3,0,3,,,10
OXY,5,7,5,7,,,24
HES,4,7,4,7,,,22
BKR,2,7,4,7,,,20
CXO,4,7,4,7,,,22
FANG,4,7,4,7,,,22
COG,4,3,4,3,,,14
DVN,5,2,5,2,,,14
APA,4,3,4,3,,,14
MRO,4,3,4,3,,,14
NOV,4,3,0,7,,,14
FTI,2,5,6,5,,,18
HFC,2,3,4,3,,,12
