Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
XOM,4,3,4,3,0,3,17
CVX,4,3,4,3,1,3,18
COP,4,3,4,3,0,7,21
SLB,4,3,0,7,4,3,21
EOG,4,3,4,3,5,7,26
PSX,4,1,4,3,0,3,15
KMI,4,6,4,3,5,2,24
VLO,2,3,4,3,0,2,14
PXD,4,3,4,7,4,7,29
OKE,4,7,4,3,4,7,29
HAL,4,3,0,3,4,3,17
OXY,5,7,5,7,0,3,27
HES,4,7,4,7,0,0,22
BKR,2,7,4,7,1,3,24
CXO,4,7,4,7,0,3,25
FANG,4,7,4,7,1,3,26
COG,4,3,4,3,0,7,21
DVN,5,2,5,2,1,2,17
APA,4,3,4,3,4,1,19
MRO,4,3,4,3,1,2,17
NOV,4,3,0,7,0,0,14
FTI,2,5,6,5,2,0,20
HFC,2,3,4,3,2,3,17
