Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
BRK-B,2,4,4,7,,,17
JPM,6,7,6,7,,,26
V,4,3,4,3,,,14
MA,4,7,4,7,,,22
PYPL,6,7,6,7,,,26
BAC,4,3,4,3,,,14
C,4,7,4,7,,,22
WFC,4,1,4,1,,,10
BLK,4,7,4,7,,,22
MS,2,7,2,7,,,18
GS,2,3,2,3,,,10
AXP,4,6,4,7,,,21
SPGI,2,7,3,7,,,19
SCHW,5,7,1,7,,,20
CB,4,6,6,7,,,23
CME,1,7,1,7,,,16
TFC,7,7,7,7,,,28
ICE,5,7,5,7,,,24
USB,4,7,4,7,,,22
PNC,4,7,4,7,,,22
MMC,1,7,1,7,,,16
PGR,2,7,2,7,,,18
AON,1,7,1,7,,,16
MCO,3,7,3,7,,,20
MSCI,5,7,5,7,,,24
MET,5,6,5,7,,,23
TRV,4,6,4,7,,,21
TROW,5,7,4,7,,,23
ALL,2,5,6,7,,,20
AIG,5,5,5,4,,,19
BK,0,7,0,7,,,14
PRU,4,5,4,7,,,20
AFL,6,6,6,6,,,24
WLTW,0,7,0,7,,,14
DFS,4,7,4,7,,,22
STT,1,3,1,3,,,8
AJG,5,7,5,7,,,24
FRC,6,7,6,7,,,26
AMP,5,3,4,3,,,15
MKTX,3,7,3,7,,,20
FITB,6,5,6,5,,,22
NTRS,4,7,4,7,,,22
SIVB,6,7,6,7,,,26
SYF,4,7,4,7,,,22
HIG,2,7,6,7,,,22
MTB,4,7,4,7,,,22
KEY,6,3,6,3,,,18
RF,4,3,4,3,,,14
CFG,6,7,6,7,,,26
NDAQ,5,7,7,3,,,22
CINF,2,4,2,5,,,13
HBAN,6,7,6,7,,,26
PFG,1,5,5,7,,,18
RJF,4,7,4,7,,,22
L,4,5,4,7,,,20
CBOE,1,3,1,3,,,8
WU,4,3,4,3,,,14
RE,2,4,6,7,,,19
WRB,6,4,6,7,,,23
GL,6,7,6,7,,,26
LNC,4,3,5,7,,,19
AIZ,2,6,4,6,,,18
CMA,6,3,6,3,,,18
ZION,6,3,6,3,,,18
BEN,4,0,4,0,,,8
IVZ,4,5,4,7,,,20
PBCT,4,7,4,7,,,22
UNM,2,5,2,7,,,16
AIV,0,1,0,1,,,2
