Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
BRK-B,2,4,4,7,2,4,23
JPM,6,7,6,7,6,7,39
V,4,3,4,3,0,3,17
MA,4,7,4,7,4,7,33
PYPL,6,7,6,7,2,7,35
BAC,4,3,4,3,3,7,24
C,4,7,4,7,5,7,34
WFC,4,1,4,1,4,2,16
BLK,4,7,4,7,4,7,33
MS,2,7,2,7,2,7,27
GS,2,3,2,3,6,3,19
AXP,4,6,4,7,5,7,33
SPGI,2,7,3,7,3,7,29
SCHW,5,7,1,7,0,7,27
CB,4,6,6,7,6,6,35
CME,1,7,1,7,1,5,22
TFC,7,7,7,7,3,7,38
ICE,5,7,5,7,1,3,28
USB,4,7,4,7,4,6,32
PNC,4,7,4,7,5,7,34
MMC,1,7,1,7,1,5,22
PGR,2,7,2,7,2,7,27
AON,1,7,1,7,1,6,23
MCO,3,7,3,7,3,7,30
MSCI,5,7,5,7,5,7,36
MET,5,6,5,7,5,7,35
TRV,4,6,4,7,4,6,31
TROW,5,7,4,7,6,7,36
ALL,2,5,6,7,2,5,27
AIG,5,5,5,4,5,7,31
BK,0,7,0,7,1,2,17
PRU,4,5,4,7,4,5,29
AFL,6,6,6,6,6,7,37
WLTW,0,7,0,7,0,7,21
DFS,4,7,4,7,4,7,33
STT,1,3,1,3,1,3,12
AJG,5,7,5,7,5,3,32
FRC,6,7,6,7,6,7,39
AMP,5,3,4,3,0,7,22
MKTX,3,7,3,7,1,7,28
FITB,6,5,6,5,6,6,34
NTRS,4,7,4,7,0,3,25
SIVB,6,7,6,7,5,7,38
SYF,4,7,4,7,5,6,33
HIG,2,7,6,7,6,6,34
MTB,4,7,4,7,2,7,31
KEY,6,3,6,3,6,3,27
RF,4,3,4,3,4,7,25
CFG,6,7,6,7,2,7,35
NDAQ,5,7,7,3,7,6,35
CINF,2,4,2,5,2,4,19
HBAN,6,7,6,7,7,7,40
PFG,1,5,5,7,2,1,21
RJF,4,7,4,7,4,7,33
L,4,5,4,7,4,5,29
CBOE,1,3,1,3,1,3,12
WU,4,3,4,3,5,3,22
RE,2,4,6,7,6,4,29
WRB,6,4,6,7,6,6,35
GL,6,7,6,7,6,7,39
LNC,4,3,5,7,4,3,26
AIZ,2,6,4,6,3,4,25
CMA,6,3,6,3,2,7,27
ZION,6,3,6,3,6,7,31
BEN,4,0,4,0,6,1,15
IVZ,4,5,4,7,4,5,29
PBCT,4,7,4,7,5,7,34
UNM,2,5,2,7,2,5,23
AIV,0,1,0,1,3,2,7
