Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
JNJ,5,7,4,7,,,23
UNH,3,7,5,7,,,22
PFE,4,3,4,2,,,13
MRK,5,7,5,7,,,24
ABT,4,7,4,7,,,22
ABBV,6,7,6,7,,,26
TMO,6,7,6,7,,,26
MDT,6,3,6,3,,,18
DHR,6,6,6,6,,,24
BMY,5,7,5,7,,,24
LLY,4,7,4,6,,,21
AMGN,6,2,6,2,,,16
ISRG,4,7,4,7,,,22
CVS,3,6,4,7,,,20
ANTM,3,6,5,7,,,21
SYK,4,7,4,7,,,22
ZTS,6,7,6,7,,,26
CI,2,7,7,7,,,23
GILD,5,4,4,4,,,17
BDX,4,3,5,3,,,15
VRTX,3,7,7,7,,,24
EW,4,7,4,7,,,22
ILMN,4,7,4,7,,,22
HUM,3,7,7,6,,,23
BSX,4,7,4,7,,,22
HCA,4,7,4,7,,,22
BAX,4,7,4,7,,,22
IDXX,7,7,7,7,,,28
BIIB,2,7,2,7,,,18
ALGN,4,7,4,7,,,22
A,6,7,6,7,,,26
CNC,3,7,7,7,,,24
ALXN,5,7,5,7,,,24
DXCM,6,7,6,7,,,26
IQV,4,7,4,7,,,22
ZBH,4,5,4,7,,,20
RMD,1,7,3,7,,,18
WBA,5,1,5,7,,,18
MCK,5,6,4,7,,,22
MTD,6,7,6,7,,,26
CERN,4,7,4,7,,,22
VTRS,6,0,6,5,,,17
WST,3,7,7,7,,,24
LH,6,7,4,7,,,24
HOLX,6,7,6,7,,,26
TFX,4,7,4,7,,,22
COO,6,3,6,3,,,18
CTLT,3,7,3,7,,,20
INCY,2,6,2,7,,,17
DGX,6,5,6,7,,,24
PKI,6,7,6,7,,,26
CAH,5,5,4,7,,,21
VAR,4,7,4,3,,,18
WAT,6,3,6,3,,,18
STE,5,7,5,7,,,24
ABC,5,7,4,7,,,23
ABMD,4,7,4,7,,,22
BIO,4,7,4,7,,,22
XRAY,4,5,4,5,,,18
UHS,6,7,4,7,,,24
HSIC,4,6,4,6,,,20
DVA,6,4,6,3,,,19
PRGO,1,0,1,4,,,6
