Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
JNJ,5,7,4,7,4,6,33
UNH,3,7,5,7,2,7,31
PFE,4,3,4,2,3,3,19
MRK,5,7,5,7,5,6,35
ABT,4,7,4,7,6,7,35
ABBV,6,7,6,7,5,3,34
TMO,6,7,6,7,6,7,39
MDT,6,3,6,3,4,3,25
DHR,6,6,6,6,4,2,30
BMY,5,7,5,7,6,3,33
LLY,4,7,4,6,2,5,28
AMGN,6,2,6,2,5,3,24
ISRG,4,7,4,7,4,7,33
CVS,3,6,4,7,3,4,27
ANTM,3,6,5,7,3,7,31
SYK,4,7,4,7,4,3,29
ZTS,6,7,6,7,5,7,38
CI,2,7,7,7,3,7,33
GILD,5,4,4,4,4,4,25
BDX,4,3,5,3,5,3,23
VRTX,3,7,7,7,3,7,34
EW,4,7,4,7,4,7,33
ILMN,4,7,4,7,4,5,31
HUM,3,7,7,6,2,7,32
BSX,4,7,4,7,4,3,29
HCA,4,7,4,7,4,6,32
BAX,4,7,4,7,5,4,31
IDXX,7,7,7,7,3,7,38
BIIB,2,7,2,7,3,6,27
ALGN,4,7,4,7,5,7,34
A,6,7,6,7,6,3,35
CNC,3,7,7,7,3,7,34
ALXN,5,7,5,7,4,7,35
DXCM,6,7,6,7,6,5,37
IQV,4,7,4,7,5,1,28
ZBH,4,5,4,7,4,5,29
RMD,1,7,3,7,7,5,30
WBA,5,1,5,7,5,1,24
MCK,5,6,4,7,6,2,30
MTD,6,7,6,7,6,7,39
CERN,4,7,4,7,4,1,27
VTRS,6,0,6,5,5,3,25
WST,3,7,7,7,3,5,32
LH,6,7,4,7,6,3,33
HOLX,6,7,6,7,6,6,38
TFX,4,7,4,7,5,4,31
COO,6,3,6,3,6,2,26
CTLT,3,7,3,7,2,7,29
INCY,2,6,2,7,2,6,25
DGX,6,5,6,7,6,7,37
PKI,6,7,6,7,6,5,37
CAH,5,5,4,7,3,2,26
VAR,4,7,4,3,6,1,25
WAT,6,3,6,3,6,7,31
STE,5,7,5,7,5,7,36
ABC,5,7,4,7,1,3,27
ABMD,4,7,4,7,6,3,31
BIO,4,7,4,7,7,6,35
XRAY,4,5,4,5,4,4,26
UHS,6,7,4,7,2,7,33
HSIC,4,6,4,6,4,6,30
DVA,6,4,6,3,4,6,29
PRGO,1,0,1,4,1,5,12
