Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
HON,4,3,4,3,,,14
UNP,4,7,5,3,,,19
UPS,7,5,6,7,,,25
BA,5,3,4,3,,,15
RTX,0,6,6,7,,,19
MMM,5,3,4,3,,,15
CAT,4,3,0,3,,,10
GE,4,6,4,0,,,14
LMT,2,7,6,7,,,22
DE,7,3,5,3,,,18
ADP,5,7,5,7,,,24
FDX,6,5,6,3,,,20
CSX,5,7,4,3,,,19
ITW,4,3,4,3,,,14
NSC,5,7,4,3,,,19
GPN,4,7,4,5,,,20
EMR,5,3,5,3,,,16
NOC,6,7,6,7,,,26
ETN,4,3,4,3,,,14
WM,4,7,4,7,,,22
ROP,4,7,4,7,,,22
LHX,4,7,4,7,,,22
PH,5,3,5,3,,,16
JCI,6,3,4,3,,,16
TT,6,7,6,7,,,26
CMI,4,7,4,3,,,18
VRSK,7,7,5,7,,,26
INFO,4,7,4,7,,,22
TDG,5,3,4,3,,,15
CTAS,2,7,6,7,,,22
PAYX,6,7,6,7,,,26
PCAR,4,7,4,7,,,22
SWK,6,3,6,7,,,22
ROK,4,3,4,3,,,14
FAST,3,7,3,7,,,20
LUV,0,0,4,7,,,11
AME,4,7,4,7,,,22
DAL,0,5,4,7,,,16
CPRT,6,7,4,7,,,24
EFX,7,5,7,7,,,26
RSG,4,7,4,5,,,20
KSU,5,7,5,7,,,24
GWW,5,6,5,7,,,23
DOV,4,7,4,7,,,22
XYL,6,7,6,7,,,26
IR,7,3,7,3,,,20
URI,4,7,4,7,,,22
EXPD,6,3,2,7,,,18
IEX,5,7,4,7,,,23
MAS,6,6,6,6,,,24
J,5,7,5,7,,,24
UAL,0,6,4,7,,,17
WAB,4,7,4,7,,,22
AVY,5,3,4,3,,,15
CHRW,2,2,5,3,,,12
JBHT,6,7,4,7,,,24
TXT,4,2,4,1,,,11
ALLE,4,7,4,7,,,22
HWM,0,5,0,7,,,12
PWR,6,7,4,7,,,24
SNA,4,3,4,3,,,14
PNR,4,7,6,3,,,20
AAL,0,4,4,7,,,15
AOS,6,3,6,3,,,18
RHI,4,7,4,7,,,22
HII,4,3,4,7,,,18
NLSN,4,1,4,1,,,10
ALK,0,5,4,7,,,16
FLS,2,6,2,6,,,16
