Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
HON,4,3,4,3,1.0,3.0,18.0
UNP,4,7,5,3,5.0,7.0,31.0
UPS,7,5,6,7,7.0,3.0,35.0
BA,5,3,4,3,0.0,3.0,18.0
RTX,0,6,6,7,2.0,3.0,24.0
MMM,5,3,4,3,4.0,7.0,26.0
CAT,4,3,0,3,4.0,7.0,21.0
GE,4,6,4,0,0.0,4.0,18.0
LMT,2,7,6,7,7.0,7.0,36.0
DE,7,3,5,3,7.0,3.0,28.0
ADP,5,7,5,7,5.0,7.0,36.0
FDX,6,5,6,3,2.0,5.0,27.0
CSX,5,7,4,3,5.0,7.0,31.0
ITW,4,3,4,3,4.0,7.0,25.0
NSC,5,7,4,3,5.0,7.0,31.0
GPN,4,7,4,5,5.0,7.0,32.0
EMR,5,3,5,3,5.0,3.0,24.0
NOC,6,7,6,7,3.0,3.0,32.0
ETN,4,3,4,3,6.0,3.0,23.0
WM,4,7,4,7,4.0,1.0,27.0
ROP,4,7,4,7,4.0,7.0,33.0
LHX,4,7,4,7,5.0,3.0,30.0
PH,5,3,5,3,1.0,3.0,20.0
JCI,6,3,4,3,5.0,5.0,26.0
TT,6,7,6,7,2.0,7.0,35.0
CMI,4,7,4,3,5.0,7.0,30.0
VRSK,7,7,5,7,7.0,3.0,36.0
INFO,4,7,4,7,6.0,3.0,31.0
TDG,5,3,4,3,5.0,3.0,23.0
CTAS,2,7,6,7,4.0,7.0,33.0
PAYX,6,7,6,7,6.0,7.0,39.0
PCAR,4,7,4,7,4.0,7.0,33.0
SWK,6,3,6,7,6.0,5.0,33.0
ROK,4,3,4,3,2.0,5.0,21.0
FAST,3,7,3,7,3.0,7.0,30.0
LUV,0,0,4,7,0.0,3.0,14.0
AME,4,7,4,7,6.0,7.0,35.0
DAL,0,5,4,7,0.0,6.0,22.0
CPRT,6,7,4,7,6.0,7.0,37.0
EFX,7,5,7,7,5.0,1.0,32.0
RSG,4,7,4,5,6.0,7.0,33.0
KSU,5,7,5,7,5.0,7.0,36.0
GWW,5,6,5,7,5.0,7.0,35.0
DOV,4,7,4,7,4.0,7.0,33.0
XYL,6,7,6,7,7.0,3.0,36.0
IR,7,3,7,3,4.0,7.0,31.0
URI,4,7,4,7,2.0,7.0,31.0
EXPD,6,3,2,7,6.0,3.0,27.0
IEX,5,7,4,7,5.0,7.0,35.0
MAS,6,6,6,6,7.0,6.0,37.0
J,5,7,5,7,2.0,7.0,33.0
UAL,0,6,4,7,0.0,6.0,23.0
WAB,4,7,4,7,4.0,0.0,26.0
AVY,5,3,4,3,4.0,7.0,26.0
CHRW,2,2,5,3,2.0,2.0,16.0
JBHT,6,7,4,7,6.0,5.0,35.0
TXT,4,2,4,1,4.0,6.0,21.0
ALLE,4,7,4,7,6.0,7.0,35.0
HWM,0,5,0,7,4.0,7.0,23.0
PWR,6,7,4,7,6.0,7.0,37.0
SNA,4,3,4,3,4.0,7.0,25.0
PNR,4,7,6,3,6.0,7.0,33.0
AAL,0,4,4,7,0.0,4.0,19.0
AOS,6,3,6,3,6.0,3.0,27.0
RHI,4,7,4,7,4.0,6.0,32.0
HII,4,3,4,7,5.0,2.0,25.0
NLSN,4,1,4,1,3.0,5.0,18.0
ALK,0,5,4,7,0.0,4.0,20.0
FLS,2,6,2,6,6.0,6.0,28.0
