Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AMT,5,7,5,7,,,24
PLD,3,7,3,7,,,20
CCI,7,7,7,7,,,28
EQIX,5,7,5,7,,,24
DLR,6,7,6,7,,,26
PSA,4,7,5,7,,,23
SBAC,5,7,5,7,,,24
SPG,0,7,0,7,,,14
WELL,0,6,0,7,,,13
WY,7,1,5,3,,,16
AVB,0,7,1,7,,,15
CBRE,4,7,4,7,,,22
O,1,7,3,7,,,18
ARE,7,7,5,7,,,26
EQR,0,7,0,7,,,14
VTR,5,5,1,7,,,18
PEAK,6,2,7,4,,,19
ESS,0,7,0,7,,,14
DRE,6,7,6,7,,,26
EXR,4,7,4,7,,,22
MAA,0,7,5,7,,,19
BXP,5,7,5,7,,,24
UDR,1,5,1,5,,,12
HST,0,3,4,2,,,9
IRM,4,3,4,7,,,18
REG,5,7,5,7,,,24
KIM,4,1,4,1,,,10
FRT,4,7,4,7,,,22
VNO,0,0,0,2,,,2
SLG,5,0,4,0,,,9
