Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AMT,5,7,5,7,6,5,35
PLD,3,7,3,7,1,3,24
CCI,7,7,7,7,6,6,40
EQIX,5,7,5,7,2,6,32
DLR,6,7,6,7,2,5,33
PSA,4,7,5,7,4,2,29
SBAC,5,7,5,7,6,5,35
SPG,0,7,0,7,0,7,21
WELL,0,6,0,7,0,6,19
WY,7,1,5,3,5,3,24
AVB,0,7,1,7,0,3,18
CBRE,4,7,4,7,4,7,33
O,1,7,3,7,0,7,25
ARE,7,7,5,7,2,7,35
EQR,0,7,0,7,2,6,22
VTR,5,5,1,7,5,5,28
PEAK,6,2,7,4,2,3,24
ESS,0,7,0,7,0,7,21
DRE,6,7,6,7,6,5,37
EXR,4,7,4,7,4,6,32
MAA,0,7,5,7,2,6,27
BXP,5,7,5,7,2,5,31
UDR,1,5,1,5,0,4,16
HST,0,3,4,2,0,6,15
IRM,4,3,4,7,5,3,26
REG,5,7,5,7,4,6,34
KIM,4,1,4,1,3,4,17
FRT,4,7,4,7,4,5,31
VNO,0,0,0,2,0,2,4
SLG,5,0,4,0,1,7,17
