Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AAPL,6,5,6,5,,,22
MSFT,6,7,2,7,,,22
NVDA,6,3,6,3,,,18
ADBE,7,7,7,7,,,28
INTC,1,3,0,7,,,11
CRM,6,7,7,7,,,27
CSCO,1,3,2,3,,,9
AVGO,6,7,6,7,,,26
QCOM,4,2,5,3,,,14
ACN,5,7,4,7,,,23
TXN,4,3,4,3,,,14
ORCL,5,3,5,3,,,16
AMD,6,7,6,7,,,26
IBM,2,0,2,2,,,6
NOW,7,7,7,7,,,28
INTU,1,7,1,7,,,16
FIS,4,4,4,4,,,16
MU,6,1,6,1,,,14
AMAT,6,5,6,5,,,22
LRCX,6,5,6,5,,,22
ADSK,6,7,6,7,,,26
FISV,4,7,4,7,,,22
ADI,6,1,7,1,,,15
CTSH,4,3,4,7,,,18
KLAC,6,7,6,7,,,26
APH,6,3,6,7,,,22
TEL,4,1,5,1,,,11
SNPS,7,7,7,7,,,28
XLNX,5,7,5,7,,,24
CDNS,7,7,7,7,,,28
MCHP,5,3,1,3,,,12
HPQ,4,3,6,3,,,16
ANSS,2,7,2,7,,,18
MSI,4,7,4,7,,,22
GLW,6,3,6,7,,,22
SWKS,4,1,4,1,,,10
FLT,4,7,4,7,,,22
KEYS,6,3,6,3,,,18
FTV,4,7,4,7,,,22
MXIM,5,1,5,1,,,12
VRSN,7,7,7,7,,,28
PAYC,5,7,5,7,,,24
ZBRA,4,7,4,7,,,22
TER,3,5,3,5,,,16
CDW,4,7,4,7,,,22
QRVO,4,7,4,6,,,21
TYL,6,7,4,7,,,24
GRMN,6,7,6,7,,,26
BR,3,7,3,7,,,20
AKAM,2,7,2,7,,,18
CTXS,1,7,1,7,,,16
WDC,3,5,2,5,,,15
HPE,6,3,6,1,,,16
ANET,6,7,6,7,,,26
STX,0,1,1,5,,,7
NTAP,5,3,4,3,,,15
TDY,0,7,4,7,,,18
LDOS,4,7,6,7,,,24
IT,4,7,4,7,,,22
JKHY,5,7,5,7,,,24
NLOK,7,4,6,4,,,21
FFIV,5,7,5,7,,,24
IPGP,6,3,6,3,,,18
