Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AAPL,6,5,6,5,6,5,33
MSFT,6,7,2,7,6,7,35
NVDA,6,3,6,3,6,3,27
ADBE,7,7,7,7,5,7,40
INTC,1,3,0,7,0,7,18
CRM,6,7,7,7,7,3,37
CSCO,1,3,2,3,0,3,12
AVGO,6,7,6,7,7,1,34
QCOM,4,2,5,3,6,6,26
ACN,5,7,4,7,6,7,36
TXN,4,3,4,3,3,3,20
ORCL,5,3,5,3,5,7,28
AMD,6,7,6,7,4,6,36
IBM,2,0,2,2,4,4,14
NOW,7,7,7,7,0,4,32
INTU,1,7,1,7,1,7,24
FIS,4,4,4,4,3,2,21
MU,6,1,6,1,6,1,21
AMAT,6,5,6,5,6,5,33
LRCX,6,5,6,5,7,5,34
ADSK,6,7,6,7,6,4,36
FISV,4,7,4,7,6,3,31
ADI,6,1,7,1,7,1,23
CTSH,4,3,4,7,2,7,27
KLAC,6,7,6,7,6,5,37
APH,6,3,6,7,6,3,31
TEL,4,1,5,1,5,1,17
SNPS,7,7,7,7,3,5,36
XLNX,5,7,5,7,5,3,32
CDNS,7,7,7,7,6,6,40
MCHP,5,3,1,3,2,5,19
HPQ,4,3,6,3,2,7,25
ANSS,2,7,2,7,2,7,27
MSI,4,7,4,7,6,3,31
GLW,6,3,6,7,3,6,31
SWKS,4,1,4,1,4,1,15
FLT,4,7,4,7,4,7,33
KEYS,6,3,6,3,6,1,25
FTV,4,7,4,7,6,3,31
MXIM,5,1,5,1,3,3,18
VRSN,7,7,7,7,5,7,40
PAYC,5,7,5,7,3,7,34
ZBRA,4,7,4,7,6,7,35
TER,3,5,3,5,3,5,24
CDW,4,7,4,7,6,7,35
QRVO,4,7,4,6,6,7,34
TYL,6,7,4,7,2,5,31
GRMN,6,7,6,7,6,5,37
BR,3,7,3,7,3,7,30
AKAM,2,7,2,7,2,6,26
CTXS,1,7,1,7,0,7,23
WDC,3,5,2,5,3,1,19
HPE,6,3,6,1,6,1,23
ANET,6,7,6,7,6,7,39
STX,0,1,1,5,5,3,15
NTAP,5,3,4,3,4,3,22
TDY,0,7,4,7,6,7,31
LDOS,4,7,6,7,2,6,32
IT,4,7,4,7,1,6,29
JKHY,5,7,5,7,5,7,36
NLOK,7,4,6,4,2,5,28
FFIV,5,7,5,7,6,1,31
IPGP,6,3,6,3,7,3,28
