Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
NEE,5,7,5,5,,,22
DUK,5,7,4,7,,,23
SO,5,1,5,3,,,14
AEP,5,5,5,2,,,17
EXC,5,5,5,3,,,18
SRE,1,7,5,6,,,19
XEL,4,5,5,3,,,17
ES,5,7,5,7,,,24
WEC,5,5,5,3,,,18
PEG,5,5,5,7,,,22
AWK,6,5,6,7,,,24
EIX,6,4,6,3,,,19
ED,5,5,5,6,,,21
DTE,5,5,4,3,,,17
PPL,5,7,5,2,,,19
ETR,7,4,4,1,,,16
AEE,7,3,5,3,,,18
CMS,5,5,5,3,,,18
FE,4,3,5,3,,,15
AES,6,3,4,3,,,16
LNT,5,7,5,7,,,24
EVRG,7,6,6,7,,,26
ATO,1,7,1,1,,,10
CNP,4,5,4,7,,,20
PNW,7,1,6,3,,,17
NI,0,5,1,7,,,13
NRG,3,6,6,7,,,22
