Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
NEE,5,7,5,5,2,7,31
DUK,5,7,4,7,5,3,31
SO,5,1,5,3,7,2,23
AEP,5,5,5,2,7,6,30
EXC,5,5,5,3,4,5,27
SRE,1,7,5,6,1,4,24
XEL,4,5,5,3,5,7,29
ES,5,7,5,7,5,7,36
WEC,5,5,5,3,5,7,30
PEG,5,5,5,7,7,6,35
AWK,6,5,6,7,6,7,37
EIX,6,4,6,3,6,5,30
ED,5,5,5,6,5,3,29
DTE,5,5,4,3,5,3,25
PPL,5,7,5,2,1,2,22
ETR,7,4,4,1,6,5,27
AEE,7,3,5,3,7,7,32
CMS,5,5,5,3,5,7,30
FE,4,3,5,3,7,5,27
AES,6,3,4,3,5,2,23
LNT,5,7,5,7,5,6,35
EVRG,7,6,6,7,7,2,35
ATO,1,7,1,1,1,7,18
CNP,4,5,4,7,2,5,27
PNW,7,1,6,3,7,3,27
NI,0,5,1,7,1,5,19
NRG,3,6,6,7,2,6,30
