Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
NEE,1,0,-1.79,4,6.06
NEE,2,2,417.4,2,7.6
NEE,3,0,-77.1,1,11.81
DUK,1,4,273.44,0,-6.38
DUK,2,0,-186.72,2,14.68
DUK,3,1,32.12,1,27.95
SO,1,4,36.96,0,-3.38
SO,2,2,9.74,2,13.18
SO,3,1,93.42,0,-9.18
D,1,4,27.1,0,-5.4
D,2,2,254.77,2,18.94
D,3,0,-79.31,0,-5.47
AEP.O,1,4,43.69,4,1.89
AEP.O,2,2,4.6,2,9.94
AEP.O,3,1,93.85,0,-14.13
EXC.OQ,1,4,43.56,4,48.5
EXC.OQ,2,0,-6.45,0,-48.88
EXC.OQ,3,0,-24.68,1,196.14
SRE,1,0,-21.45,4,41.65
SRE,2,0,-27.49,0,-13.22
SRE,3,1,66.32,0,-12.35
XEL.OQ,1,4,109.71,4,6.92
XEL.OQ,2,0,-2.71,2,7.26
XEL.OQ,3,1,0.84,1,4.27
ES,1,4,35.48,4,1.51
ES,2,0,-25.99,2,7.01
ES,3,1,32.39,1,4.99
WEC,1,4,10.43,4,7.12
WEC,2,0,-46.57,2,6.35
WEC,3,1,85.53,1,8.95
PEG,1,4,5.15,4,42.0
PEG,2,2,0.67,2,73.46
PEG,3,1,2.52,0,-6.35
AWK,1,4,49.18,4,6.02
AWK,2,2,41.94,2,11.02
AWK,3,0,-5.97,1,18.11
EIX,1,4,54.07,4,20.04
EIX,2,2,55.75,0,-11.52
EIX,3,0,-43.64,1,15.35
ED,1,4,159.17,0,-3.8
ED,2,0,-49.39,2,3.4
ED,3,1,26.55,1,4.3
DTE,1,4,41.97,0,-0.82
DTE,2,0,-0.34,2,8.72
DTE,3,1,22.63,1,21.55
PPL,1,0,-20.59,0,-7.82
PPL,2,0,-35.47,2,22.33
PPL,3,1,49.16,0,-24.45
ETR,1,4,43.18,4,11.4
ETR,2,2,198.28,0,-11.03
ETR,3,0,-68.21,1,4.0
AEE,1,4,50.24,4,1.06
AEE,2,2,66.57,2,19.6
AEE,3,1,54.88,1,3.34
CMS,1,4,60.19,4,3.0
CMS,2,0,-43.42,2,2.36
CMS,3,1,71.16,1,9.6
FE,1,4,49.84,4,69.21
FE,2,2,2.69,0,-29.64
FE,3,1,14.51,1,52.67
AES,1,4,545.39,0,-61.74
AES,2,0,-150.21,2,1619.15
AES,3,1,2961.84,0,-109.21
LNT.OQ,1,4,82.89,4,7.52
LNT.OQ,2,0,-22.59,2,13.76
LNT.OQ,3,1,50.47,0,-3.52
EVRG.N,1,4,192.99,0,-6.95
EVRG.N,2,2,43.04,2,37.62
EVRG.N,3,1,29.98,0,-6.43
ATO,1,0,-38.39,4,10.67
ATO,2,0,-74.68,2,8.84
ATO,3,1,131.48,1,10.95
CNP,1,0,-18.35,4,92.28
CNP,2,2,108.75,0,-52.93
CNP,3,0,-671.82,1,56.92
PNW,1,4,78.75,0,-18.01
PNW,2,2,545.33,2,1.14
PNW,3,1,149.88,1,12.29
NI,1,0,-114.32,4,1825.64
NI,2,0,-85.23,0,-108.93
NI,3,1,105.48,1,8.21
NRG,1,0,-13.33,4,634.24
NRG,2,2,137.13,2,1207.87
NRG,3,0,-96.1,0,-53.35
