Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
NEE,1,4,7.12,4,16.83,4,13.82,4,14.81,0,-1.79,4,6.06
NEE,2,0,-13.27,2,0.22,0,-8.87,0,-2.6,2,417.4,2,7.6
NEE,3,1,15.7,1,11.92,1,0.54,1,6.41,0,-77.1,1,11.81
DUK,1,4,28.57,4,7.87,4,23.98,4,2.25,4,273.44,0,-6.38
DUK,2,0,-10.26,2,0.13,0,-8.88,2,4.0,0,-186.72,2,14.68
DUK,3,1,14.0,1,8.95,0,-2.52,1,3.61,1,32.12,1,27.95
SO,1,4,27.33,0,-0.38,4,21.65,0,-8.84,4,36.96,0,-3.38
SO,2,0,-1.37,0,-2.53,0,-7.93,2,2.01,2,9.74,2,13.18
SO,3,1,38.32,1,16.24,1,2.12,1,15.76,1,93.42,0,-9.18
AEP,1,4,11.97,4,5.1,4,16.38,0,-3.92,4,43.69,4,1.89
AEP,2,0,-1.44,0,-4.03,0,-6.76,2,5.0,2,4.6,2,9.94
AEP,3,1,25.19,1,0.47,1,3.64,0,-5.83,1,93.85,0,-14.13
EXC,1,4,33.88,4,2.7,4,20.86,0,-4.28,4,43.56,4,48.5
EXC,2,0,-26.53,0,-1.13,0,-16.26,2,7.21,0,-6.45,0,-48.88
EXC,3,1,12.86,1,10.76,1,4.85,1,6.99,0,-24.68,1,196.14
SRE,1,0,-19.72,4,14.05,4,4.67,4,7.2,0,-21.45,4,41.65
SRE,2,0,-24.79,2,2.22,0,-16.61,2,4.79,0,-27.49,0,-13.22
SRE,3,1,20.31,1,19.61,1,2.92,0,-5.33,1,66.32,0,-12.35
XEL,1,4,42.56,4,6.54,4,23.05,0,-0.07,4,109.71,4,6.92
XEL,2,0,-2.44,0,-1.88,0,-8.0,2,1.17,0,-2.71,2,7.26
XEL,3,0,-2.47,1,3.87,1,0.46,1,2.67,1,0.84,1,4.27
ES,1,4,21.16,4,3.75,4,19.99,4,0.93,4,35.48,4,1.51
ES,2,0,-13.74,2,1.65,0,-17.72,2,8.98,0,-25.99,2,7.01
ES,3,1,19.35,1,3.74,1,15.77,1,1.48,1,32.39,1,4.99
