Stock,Quarterly Diluted Normalized EPS Total Score,Quarterly Revenue Total Score,Quarterly Gross Profit Total Score,Annual Diluted Normalized EPS Total Score,Annual Revenue Total Score,Annual Gross Profit Total Score
LIN,2,4,5,1,7,7
SHW,6,7,6,7,7,7
APD,4,4,4,7,1,7
ECL,4,4,4,7,7,7
DD,4,5,5,2,2,6
NEM,5,4,6,5,5,5
DOW,5,4,5,2,2,2
FCX,6,6,6,3,3,3
PPG,4,4,4,5,3,4
CTVA.N,3,3,3,5,3,5
LYB,4,4,6,3,3,3
VMC,2,2,2,6,7,7
NUE,3,3,3,3,3,3
MLM,6,6,6,7,7,5
CE,5,5,5,3,3,3
FMC,1,1,1,3,7,7
ALB,4,2,4,7,7,7
EMN,5,5,5,3,3,3
IFF,3,3,3,5,7,7
MOS,2,6,6,3,3,3
CF,2,2,2,6,7,6
