Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
FB.OQ,1,4,50.9,P,4,14.89,P,4,16.27,P,4,2.01,P,4,26.61,P,4,24.62,P
FB.OQ,2,2,5.23,P,2,5.36,P,2,4.06,P,2,22.9,P,2,37.35,P,2,32.06,P
FB.OQ,3,0,-22.69,P,0,-15.87,P,0,-18.83,P,1,76.33,P,1,47.09,P,1,47.59,P
GOOGL.OQ,1,4,61.89,P,4,20.57,P,4,26.9,P,4,2.43,P,4,18.3,P,4,16.42,P
GOOGL.OQ,2,2,2.58,P,0,-6.95,P,0,-10.97,P,2,42.29,P,2,23.42,P,2,18.38,P
GOOGL.OQ,3,0,-35.67,P,0,-10.67,P,0,-11.49,P,1,26.18,P,1,22.8,P,1,18.39,P
GOOG.O,1,4,61.89,P,4,20.57,P,4,26.9,P,4,2.43,P,4,18.3,P,4,16.42,P
GOOG.O,2,2,2.58,P,0,-6.95,P,0,-10.97,P,2,42.29,P,2,23.42,P,2,18.38,P
GOOG.O,3,0,-35.67,P,0,-10.67,P,0,-11.49,P,1,26.18,P,1,22.8,P,1,18.39,P
DIS,1,4,68.41,N,4,24.86,P,0,-4.87,P,0,-56.95,P,0,-6.06,P,0,-21.92,P
DIS,2,0,-151.08,N,0,-69.72,P,0,-72.13,P,0,-27.92,P,2,17.12,P,2,3.14,P
DIS,3,1,25.23,P,1,86.51,P,1,77.65,P,1,21.78,P,1,7.79,P,1,7.56,P
VZ,1,4,6.01,P,4,3.6,P,4,2.73,P,4,11.09,P,4,0.77,P,4,1.96,P
VZ,2,0,-5.66,P,0,-3.68,P,0,-3.19,P,2,34.29,P,2,3.83,P,2,3.44,P
