Stock,Quarterly Diluted Normalized EPS Total Score,Quarterly Revenue Total Score,Quarterly Gross Profit Total Score,Annual Diluted Normalized EPS Total Score,Annual Revenue Total Score,Annual Gross Profit Total Score
FB.OQ,6,6,6,7,7,7
GOOGL.OQ,6,4,4,7,7,7
GOOG.O,6,4,4,7,7,7
DIS,5,5,1,1,3,3
VZ,4,4,5,6,7,6
NFLX.OQ,5,7,7,7,7,7
CMCSA.OQ,2,4,4,7,7,7
T,1,4,0,2,6,6
CHTR.OQ,6,4,6,6,7,7
TMUS.OQ,5,6,7,7,7,7
ATVI.OQ,6,6,6,6,3,3
TWTR.N,4,4,4,7,6,6
EA.OQ,1,2,3,5,5,5
TTWO.OQ,4,6,4,7,7,7
VIAC.O,2,0,2,3,7,3
OMC,4,4,4,7,2,1
LYV,4,4,4,6,7,7
LUMN.N,2,0,0,2,3,2
FOXA.OQ,6,4,5,3,7,6
IPG,6,4,6,6,6,6
DISCK.O,0,4,0,7,7,7
DISH.OQ,6,4,6,2,0,0
NWSA.OQ,4,4,4,2,3,3
DISCA.OQ,0,4,0,7,7,7
FOX.TA,2,6,6,5,7,7
NWS.O,4,4,4,2,3,3
