Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
AMZN.OQ,1,4,10.13,P,4,8.14,P,4,7.69,P,4,15.93,P,4,20.45,P,4,22.68,P
AMZN.OQ,2,2,237.66,P,2,17.84,P,2,16.21,P,2,335.7,P,2,30.93,P,2,42.16,P
AMZN.OQ,3,0,-22.58,P,0,-13.71,P,0,-6.77,P,0,-7.08,P,1,30.8,P,1,38.16,P
HD,1,0,-21.24,P,0,-11.87,P,0,-11.48,P,4,4.37,P,4,1.87,P,4,1.11,P
HD,2,2,62.64,P,2,34.65,P,2,34.45,P,2,32.76,P,2,7.23,P,2,8.16,P
HD,3,1,17.52,P,1,9.61,P,1,10.18,P,1,14.7,P,1,6.67,P,1,6.32,P
NKE,1,0,-18.42,P,4,6.13,P,4,2.24,P,0,-26.93,P,0,-4.38,P,0,-7.06,P
NKE,2,2,288.4,P,2,67.81,P,2,101.49,P,2,4.14,P,2,7.47,P,2,9.51,P
NKE,3,0,-165.35,N,0,-37.52,P,0,-47.4,P,0,-4.61,P,1,5.96,P,1,4.21,P
MCD,1,4,191.9,P,4,44.04,P,4,68.36,P,4,4.71,P,4,0.24,P,4,3.05,P
MCD,2,0,-50.46,P,0,-20.21,P,0,-26.33,P,2,18.02,P,0,-7.87,P,2,1.56,P
MCD,3,0,-23.62,P,0,-11.86,P,0,-17.72,P,1,15.41,P,0,-7.32,P,1,4.08,P
LOW,1,0,-46.25,P,0,-18.29,P,0,-21.54,P,4,46.49,P,4,1.18,P,4,0.15,P
LOW,2,2,111.59,P,2,38.76,P,2,42.85,P,0,-15.05,P,2,3.92,P,2,2.11,P
LOW,3,1,731.39,P,1,22.76,P,1,30.76,P,1,28.41,P,1,5.54,P,1,3.51,P
SBUX.OQ,1,4,189.32,P,4,46.92,P,4,670.39,P,0,-58.16,P,0,-11.28,P,0,-31.64,P
SBUX.OQ,2,0,-293.45,N,0,-29.58,P,0,-84.31,P,2,9.75,P,2,7.24,P,2,1.85,P
SBUX.OQ,3,0,-62.87,P,0,-15.52,P,0,-37.4,P,1,16.7,P,1,10.42,P,1,7.24,P
TJX,1,4,499.38,P,4,51.74,P,4,104.61,P,4,8.85,P,4,7.04,P,4,32.55,P
TJX,2,2,75.88,N,2,51.23,P,2,4915.47,P,2,22.53,P,2,8.67,P,2,8.56,P
TJX,3,0,-191.74,N,0,-63.88,P,0,-100.73,N,1,13.14,P,1,8.08,P,1,7.31,P
GM,1,4,1239.15,P,4,111.47,P,4,567.87,P,0,-24.53,P,0,-6.67,P,0,-0.87,P
GM,2,0,-67.84,P,0,-48.71,P,0,-62.09,P,2,24.33,P,2,1.0,P,0,-22.69,P
GM,3,1,201.83,P,1,6.11,P,1,52.03,P,0,-11.21,P,0,-2.41,P,0,-4.2,P
ROST.OQ,1,4,494.69,P,4,39.85,P,4,72.53,P,4,7.96,P,4,7.04,P,4,5.77,P
ROST.OQ,2,2,107.17,P,2,45.7,P,2,1377.72,P,2,27.63,P,2,6.01,P,2,4.04,P
ROST.OQ,3,0,-168.03,N,0,-58.25,P,0,-103.98,N,1,17.94,P,1,9.85,P,1,10.81,P
CMG,1,4,635.68,P,4,17.34,P,4,56.26,P,4,62.49,P,4,14.83,P,4,20.48,P
CMG,2,0,-85.84,P,0,-3.26,P,0,-23.78,P,2,26.85,P,2,8.68,P,2,15.14,P
CMG,3,1,5.84,P,0,-2.04,P,0,-7.09,P,1,419.47,P,1,14.65,P,1,50.24,P
F,1,4,2041.6,P,4,93.59,P,4,693.07,P,4,63.88,P,0,-2.77,P,0,-14.46,P
F,2,2,128.75,P,0,-43.56,P,0,-188.83,N,0,-23.2,P,2,2.27,P,0,-10.98,P
F,3,0,-113.39,N,0,-13.58,P,0,-65.47,P,1,6049.28,P,1,3.28,P,0,-2.08,P
EBAY.OQ,1,0,-47.35,P,0,-45.67,P,0,-47.61,P,4,10.57,P,4,0.5,P,0,-0.86,P
EBAY.OQ,2,2,138.03,P,2,102.06,P,2,101.41,P,2,14.65,P,2,8.25,P,2,8.54,P
EBAY.OQ,3,1,3.86,P,0,-15.85,P,0,-14.88,P,0,-71.46,P,1,6.76,P,1,5.65,P
