Stock,Quarterly Diluted Normalized EPS Total Score,Quarterly Revenue Total Score,Quarterly Gross Profit Total Score,Annual Diluted Normalized EPS Total Score,Annual Revenue Total Score,Annual Gross Profit Total Score
AMZN.OQ,6,6,6,6,7,7
HD,3,3,3,7,7,7
NKE,2,6,6,2,3,3
MCD,4,4,4,7,4,7
LOW,3,3,3,5,7,7
SBUX.OQ,4,4,4,3,3,3
TJX,6,6,6,7,7,7
GM,5,5,5,2,2,0
ROST.OQ,6,6,6,7,7,7
CMG,5,4,4,7,7,7
F,6,4,4,5,3,0
EBAY.OQ,3,2,2,6,7,3
MAR.OQ,4,4,4,1,7,1
APTV.N,4,4,4,2,3,2
ORLY.OQ,2,6,6,7,7,7
YUM,6,4,4,6,0,4
BLL,6,7,7,7,3,3
HLT.N,4,4,4,7,7,7
VFC,4,4,4,2,6,6
AZO,3,3,3,6,7,7
DHI,7,7,7,7,7,7
BBY,6,6,6,7,7,7
ETSY.OQ,6,6,6,7,7,7
LEN,6,6,6,2,7,7
IP,1,4,4,3,3,3
LVS,4,4,4,3,7,7
AMCR.N,2,3,3,0,7,4
TSCO.OQ,2,2,2,7,7,7
EXPE.OQ,4,4,4,7,7,7
KMX,2,2,2,7,7,7
DRI,6,6,6,3,3,3
ULTA.OQ,6,6,6,7,7,7
DPZ,0,6,6,7,7,7
NVR,4,6,6,7,7,7
POOL.OQ,3,3,3,7,7,7
GPC,4,4,4,6,7,7
TIF,6,6,6,3,3,3
RCL,4,0,4,7,7,7
PKG,5,4,4,3,3,3
MGM,4,4,4,0,7,7
FBHS.N,7,4,4,7,7,7
PHM,2,2,2,7,7,6
WHR,4,4,4,4,1,0
HAS.OQ,4,4,5,5,5,5
WRK,6,5,4,7,3,3
CCL,4,1,1,2,7,7
AAP,2,5,5,6,6,6
WYNN.OQ,0,4,4,3,3,3
LKQ.OQ,5,4,5,6,7,7
BWA,5,4,4,3,3,3
LB,6,6,6,2,3,2
ROL,6,6,6,7,7,7
TPR,6,4,4,2,3,3
MHK,4,4,4,1,3,1
NCLH.N,6,0,4,7,7,7
SEE,5,4,4,6,7,7
PVH,6,6,6,2,7,7
LEG,4,4,4,4,7,6
RL,6,4,4,3,2,3
HBI,2,6,6,6,7,7
GPS,6,6,6,2,3,3
UAA,6,4,4,6,7,7
UA,6,4,4,6,7,7
