Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
PG,1,4,37.67,P,4,9.15,P,4,12.58,P,4,3.62,P,4,4.83,P,4,7.64,P
PG,2,0,-1.95,P,2,2.81,P,2,3.94,P,2,14.39,P,2,1.27,P,2,1.55,P
PG,3,0,-17.06,P,0,-5.62,P,0,-7.82,P,1,2.9,P,1,2.73,P,1,0.31,P
KO,1,0,-8.53,P,4,21.01,P,4,25.24,P,4,8.93,P,4,8.65,P,4,6.66,P
KO,2,0,-7.56,P,0,-16.87,P,0,-20.9,P,2,31.03,P,0,-5.28,P,0,-5.59,P
KO,3,1,1.67,P,0,-5.15,P,0,-4.94,P,0,-20.48,P,0,-13.5,P,0,-11.45,P
WMT,1,0,-29.39,P,0,-2.2,P,0,-1.95,P,4,51.31,P,4,1.86,P,4,0.2,P
WMT,2,2,69.05,P,2,2.32,P,2,7.54,P,0,-10.77,P,2,2.81,P,2,1.7,P
WMT,3,1,11.01,P,0,-4.98,P,0,-3.91,P,0,-10.56,P,1,2.98,P,1,1.87,P
PEP.OQ,1,4,22.5,P,4,13.46,P,4,12.17,P,0,-39.36,P,4,3.87,P,4,5.37,P
PEP.OQ,2,2,39.62,P,2,14.87,P,2,14.21,P,2,70.28,P,2,1.79,P,2,1.6,P
PEP.OQ,3,0,-16.27,P,0,-32.75,P,0,-31.42,P,1,18.04,P,1,1.16,P,1,0.44,P
COST.OQ,1,0,-19.48,P,0,-19.06,P,0,-18.39,P,4,27.27,P,4,9.21,P,4,10.66,P
COST.OQ,2,2,57.2,P,2,43.25,P,2,39.22,P,2,11.87,P,2,7.86,P,2,7.56,P
COST.OQ,3,1,13.74,P,0,-4.62,P,1,0.9,P,1,17.45,P,1,9.73,P,1,7.47,P
PM,1,4,15.2,P,4,11.95,P,4,12.48,P,0,-1.35,P,4,0.61,P,4,2.25,P
PM,2,2,9.73,P,0,-7.02,P,0,-5.87,P,2,3.87,P,2,3.05,P,2,3.01,P
PM,3,0,-2.95,P,0,-7.26,P,0,-3.73,P,1,9.55,P,1,7.73,P,1,5.91,P
TGT,1,0,-17.91,P,0,-1.49,P,0,-2.45,P,4,14.86,P,4,3.66,P,4,5.4,P
TGT,2,2,451.66,P,2,17.13,P,2,43.04,P,2,12.71,P,2,3.63,P,2,2.17,P
TGT,3,0,-61.89,P,0,-16.17,P,0,-19.52,P,0,-3.49,P,1,3.48,P,1,2.19,P
MDLZ.OQ,1,4,86.83,P,4,12.76,P,4,19.78,P,4,5.2,P,0,-0.27,P,0,-0.14,P
MDLZ.OQ,2,0,-16.83,P,0,-11.87,P,0,-4.9,P,2,23.69,P,2,0.16,P,2,3.17,P
MDLZ.OQ,3,0,-3.81,P,0,-2.98,P,0,-11.16,P,1,9.33,P,0,-0.1,P,0,-0.69,P
MO,1,0,-57.79,P,4,11.87,P,4,13.08,P,0,-27.11,P,0,-1.0,P,4,1.98,P
MO,2,2,0.14,P,2,0.13,P,2,14.41,P,2,18.08,P,0,-0.83,P,2,3.77,P
MO,3,1,70.79,P,1,5.86,P,0,-6.93,P,1,14.61,P,0,-0.65,P,1,3.7,P
CL,1,4,9.55,P,4,6.57,P,4,7.22,P,0,-2.61,P,4,0.96,P,4,0.77,P
CL,2,0,-11.73,P,0,-4.88,P,0,-3.89,P,2,4.49,P,2,0.58,P,0,-0.99,P
CL,3,1,5.12,P,1,2.04,P,1,2.15,P,1,0.78,P,1,1.7,P,1,2.03,P
EL,1,4,305.07,P,4,46.58,P,4,64.58,P,0,-16.09,P,0,-3.83,P,0,-6.4,P
EL,2,0,-207.34,N,0,-27.35,P,0,-33.72,P,2,19.97,P,2,8.62,P,2,5.88,P
EL,3,0,-78.31,P,0,-27.66,P,0,-29.97,P,1,19.53,P,1,15.72,P,1,15.47,P
DG,1,0,-26.17,P,0,-5.58,P,0,-8.87,P,4,13.5,P,4,8.31,P,4,8.78,P
DG,2,2,21.78,P,2,2.79,P,2,8.57,P,2,31.65,P,2,9.18,P,2,8.07,P
DG,3,1,22.21,P,1,18.03,P,1,14.21,P,1,1.45,P,1,6.75,P,1,6.47,P
KMB,1,0,-30.09,P,4,1.54,P,0,-7.62,P,0,-14.16,P,0,-0.19,P,4,5.1,P
KMB,2,2,3.25,P,0,-7.93,P,0,-1.29,P,2,29.73,P,2,0.75,P,0,-6.82,P
KMB,3,1,33.09,P,1,9.3,P,1,12.72,P,1,4.59,P,1,0.33,P,0,-1.55,P
SYY,1,4,179.26,P,4,32.83,P,4,41.78,P,0,-59.47,P,0,-12.01,P,0,-13.21,P
SYY,2,0,-474.79,N,0,-35.27,P,0,-38.94,P,2,39.07,P,2,2.36,P,2,2.92,P
SYY,3,0,-87.04,P,0,-8.83,P,0,-9.34,P,1,14.46,P,1,6.06,P,1,5.0,P
STZ,1,4,394.1,P,4,15.13,P,4,23.02,P,0,-92.34,P,4,2.8,P,4,1.75,P
STZ,2,0,-134.83,N,2,3.18,P,2,4.05,P,2,70.66,P,2,7.07,P,2,7.02,P
STZ,3,0,-23.08,P,0,-4.83,P,0,-3.82,P,1,56.27,P,1,3.54,P,1,8.34,P
GIS,1,4,8.16,P,4,8.14,P,4,8.22,P,4,5.34,P,4,4.51,P,4,6.12,P
GIS,2,0,-1.26,P,0,-13.12,P,0,-10.12,P,2,10.89,P,2,7.15,P,2,7.74,P
GIS,3,1,39.6,P,1,20.16,P,1,25.51,P,0,-1.07,P,1,0.77,P,0,-3.88,P
MNST.OQ,1,4,11.62,P,4,13.94,P,4,11.46,P,4,13.54,P,4,10.34,P,4,9.69,P
MNST.OQ,2,2,13.03,P,2,2.99,P,2,3.79,P,2,16.94,P,2,13.0,P,2,7.33,P
MNST.OQ,3,1,10.33,P,1,4.41,P,1,4.35,P,1,20.59,P,1,10.48,P,1,9.98,P
ADM,1,4,0.2,P,0,-7.09,P,0,-5.96,P,0,-2.64,P,4,0.49,P,0,-0.81,P
ADM,2,2,5.71,P,2,8.76,P,2,16.51,P,2,39.17,P,2,5.78,P,2,18.85,P
ADM,3,0,-32.47,P,0,-8.32,P,0,-18.65,P,1,9.14,P,0,-2.43,P,0,-2.76,P
DLTR.OQ,1,4,0.4,P,0,-1.6,P,4,0.43,P,4,471.8,P,4,3.45,P,4,1.34,P
DLTR.OQ,2,2,19.95,P,0,-0.15,P,2,6.76,P,0,-83.74,P,2,2.6,P,0,-1.06,P
DLTR.OQ,3,0,-7.22,P,0,-0.45,P,0,-8.45,P,1,29.49,P,1,7.37,P,1,9.81,P
CLX,1,4,34.13,P,0,-3.38,P,0,-0.97,P,4,16.61,P,4,8.16,P,4,12.28,P
CLX,2,2,26.99,P,2,11.22,P,2,11.66,P,2,11.51,P,2,1.47,P,2,1.98,P
CLX,3,1,29.81,P,1,23.05,P,1,30.2,P,1,4.82,P,1,2.53,P,1,0.15,P
KR,1,0,-21.46,P,0,-2.51,P,0,-1.67,P,0,-6.13,P,4,0.93,P,4,2.76,P
KR,2,0,-32.1,P,0,-26.62,P,0,-31.27,P,2,93.08,P,0,-1.22,P,0,-2.71,P
KR,3,1,285.36,P,1,43.8,P,1,58.08,P,0,-45.62,P,1,6.35,P,1,4.51,P
MKC,1,4,3.6,P,4,2.08,P,4,1.86,P,4,7.54,P,4,0.84,P,4,2.48,P
MKC,2,2,36.26,P,2,15.6,P,2,23.32,P,2,21.91,P,2,12.1,P,2,16.68,P
MKC,3,0,-32.68,P,0,-18.37,P,0,-25.41,P,1,5.36,P,1,7.23,P,0,-2.06,P
KHC.OQ,1,4,263.86,P,0,-3.11,P,0,-4.41,P,4,480.61,P,0,-4.91,P,0,-10.13,P
KHC.OQ,2,0,-59.29,P,2,7.97,P,2,31.79,P,0,-86.28,P,2,0.74,P,0,-3.98,P
KHC.OQ,3,0,-8.4,P,0,-5.8,P,0,-12.64,P,1,2.21,P,0,-0.85,P,0,-3.53,P
HSY,1,4,64.38,P,4,30.02,P,4,36.27,P,0,-3.21,P,4,2.51,P,4,1.0,P
HSY,2,0,-2.86,P,0,-16.2,P,0,-8.55,P,2,38.84,P,2,3.67,P,2,3.64,P
HSY,3,0,-13.66,P,0,-1.49,P,0,-4.97,P,1,22.85,P,1,1.01,P,1,7.22,P
CHD,1,4,13.07,P,4,3.91,P,4,1.0,P,4,8.78,P,4,5.11,P,4,7.78,P
CHD,2,0,-17.55,P,2,2.5,P,2,5.19,P,2,23.45,P,2,9.79,P,2,6.43,P
CHD,3,1,59.08,P,1,1.84,P,1,1.53,P,1,4.91,P,1,8.1,P,1,8.74,P
TSN,1,4,8.42,P,4,14.35,P,4,11.0,P,4,27.3,P,4,1.84,P,4,17.5,P
TSN,2,2,119.62,P,0,-7.95,P,2,60.08,P,0,-5.71,P,2,5.87,P,0,-1.45,P
TSN,3,0,-39.05,P,1,0.67,P,0,-29.81,P,1,15.87,P,1,4.68,P,0,-0.43,P
CAG,1,4,5.99,P,0,-18.52,P,0,-12.08,P,4,21.64,P,4,15.89,P,4,17.12,P
CAG,2,2,45.88,P,2,28.68,P,2,33.15,P,2,12.38,P,2,20.16,P,2,12.72,P
CAG,3,0,-24.73,P,0,-9.42,P,0,-12.92,P,0,-26.6,P,1,1.42,P,1,0.06,P
K,1,4,2.15,P,0,-1.04,P,0,-0.17,P,0,-8.51,P,4,0.23,P,0,-6.34,P
K,2,2,4.92,P,2,1.55,P,2,7.7,P,0,-1.72,P,2,5.39,P,2,3.34,P
K,3,1,97.03,P,1,5.86,P,1,12.6,P,1,92.96,P,0,-0.86,P,0,-4.25,P
BFB.N,1,4,13.36,P,4,30.81,P,4,24.95,P,4,17.39,P,4,1.17,P,0,-1.8,P
BFB.N,2,2,53.26,P,2,6.21,P,2,2.65,P,0,-5.36,P,2,2.34,P,0,-1.63,P
BFB.N,3,0,-40.2,P,0,-21.13,P,0,-18.67,P,1,14.5,P,1,8.48,P,1,8.96,P
HRL,1,4,15.19,P,4,1.62,P,4,8.37,P,0,-7.46,P,4,1.17,P,0,-3.11,P
HRL,2,0,-10.94,P,0,-1.69,P,0,-11.51,P,2,2.45,P,0,-0.51,P,0,-4.79,P
HRL,3,0,-6.5,P,1,1.59,P,1,1.91,P,1,11.55,P,1,4.13,P,0,-0.86,P
SJM,1,0,-2.71,P,4,3.15,P,4,5.52,P,4,19.79,P,0,-0.47,P,4,2.96,P
SJM,2,2,2.7,P,0,-5.75,P,0,-1.65,P,0,-3.94,P,2,6.54,P,2,2.67,P
SJM,3,1,0.07,P,1,6.07,P,1,3.74,P,0,-0.28,P,0,-0.48,P,0,-0.04,P
LW,1,4,5648.57,P,4,2.9,P,4,92.44,P,0,-21.27,P,4,0.96,P,0,-10.79,P
LW,2,0,-101.45,N,0,-9.64,P,0,-55.63,P,2,34.47,P,2,9.72,P,2,14.1,P
LW,3,0,-20.71,P,0,-8.04,P,0,-12.17,P,1,0.89,P,1,8.07,P,1,12.93,P
CPB,1,4,215.38,P,4,11.01,P,4,8.4,P,4,3.02,P,4,7.2,P,4,10.71,P
CPB,2,0,-54.87,P,0,-5.81,P,0,-6.95,P,0,-11.07,P,2,22.55,P,2,10.54,P
CPB,3,1,12.26,P,1,3.52,P,1,8.33,P,0,-6.39,P,1,13.33,P,1,0.9,P
TAP,1,4,70.42,P,4,9.99,P,4,14.87,P,0,-32.71,P,0,-1.77,P,4,0.39,P
TAP,2,2,899.59,P,2,19.05,P,2,67.81,P,0,-12.43,P,0,-2.12,P,0,-12.2,P
TAP,3,0,-114.27,N,0,-15.42,P,0,-35.44,P,1,294.26,P,1,125.24,P,1,152.71,P
