Stock,Quarterly Diluted Normalized EPS Total Score,Quarterly Revenue Total Score,Quarterly Gross Profit Total Score,Annual Diluted Normalized EPS Total Score,Annual Revenue Total Score,Annual Gross Profit Total Score
PG,4,6,6,7,7,7
KO,1,4,4,6,4,4
WMT,3,2,2,4,7,7
PEP.OQ,6,6,6,3,7,7
COST.OQ,3,2,3,7,7,7
PM,6,4,4,3,7,7
TGT,2,2,2,6,7,7
MDLZ.OQ,4,4,4,7,2,2
MO,3,7,6,3,0,7
CL,5,5,5,3,7,5
EL,4,4,4,3,3,3
DG,3,3,3,7,7,7
KMB,3,5,1,3,3,4
SYY,4,4,4,3,3,3
STZ,4,6,6,3,7,7
GIS,5,5,5,6,7,6
MNST.OQ,7,7,7,7,7,7
ADM,6,2,2,3,6,2
DLTR.OQ,6,0,6,5,7,5
CLX,7,3,3,7,7,7
KR,1,1,1,2,5,5
MKC,6,6,6,7,7,6
KHC.OQ,4,2,2,5,2,0
HSY,4,4,4,3,7,7
CHD,5,7,7,7,7,7
TSN,6,5,6,5,7,4
CAG,6,2,2,6,7,7
K,7,3,3,1,6,2
BFB.N,6,6,6,5,7,1
HRL,4,5,5,3,5,0
SJM,3,5,5,4,2,6
LW,4,4,4,3,7,3
CPB,5,5,5,4,7,7
TAP,6,6,6,1,1,5
NWL.OQ,6,6,6,5,3,3
