Stock,Quarterly Diluted Normalized EPS Total Score,Quarterly Revenue Total Score,Quarterly Gross Profit Total Score,Annual Diluted Normalized EPS Total Score,Annual Revenue Total Score,Annual Gross Profit Total Score
XOM,4,4,4,3,3,3
CVX,5,4,4,3,3,3
COP,2,4,4,7,3,3
SLB,6,0,4,3,7,2
EOG,5,5,5,7,7,3
PSX,6,4,4,3,3,3
KMI,5,4,4,2,3,6
MPC,4,2,2,7,7,7
WMB,6,4,4,5,3,6
VLO,0,4,0,2,3,3
PXD,4,4,4,7,7,3
HAL,5,0,4,3,3,3
OXY,4,5,5,3,7,7
HES,6,4,4,3,7,7
BKR,1,2,2,3,7,7
CXO,6,4,4,3,7,7
FANG.OQ,5,4,4,3,7,7
COG,0,0,0,7,3,3
DVN,5,5,5,3,2,2
APA.N,6,4,4,1,3,3
MRO,5,5,5,3,3,3
NOV,2,0,4,3,7,3
FTI,2,6,2,0,5,5
HFC,2,4,2,3,3,7
